"previous_screening_sequence","previous_covidence_number","next_screening_sequence","next_covidence_number","gap_size","previous_vote_registered","queue_count_changed","next_citation_distinct","visible_citation_bypassed","notes"
"1619","4492","1620","4494","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1621","4495","1622","4497","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1622","4497","1623","4501","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1623","4501","1624","4505","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1624","4505","1625","4509","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1625","4509","1626","4514","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1628","4516","1629","4523","6","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1629","4523","1630","4529","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1632","4531","1633","4533","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1633","4533","1634","4535","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1634","4535","1635","4876","340","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1636","4877","1637","4879","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1637","4879","1638","4881","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1638","4881","1639","4884","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1639","4884","1640","4887","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1640","4887","1641","4890","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1641","4890","1642","4892","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1643","4893","1644","4895","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1644","4895","1645","4897","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1645","4897","1646","4902","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1646","4902","1647","4905","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1647","4905","1648","4908","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1649","4909","1650","4911","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1650","4911","1651","4914","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1654","4917","1655","4921","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1656","4922","1657","4924","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1657","4924","1658","4926","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1658","4926","1659","4931","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1661","4933","1662","4936","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1662","4936","1663","4938","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1667","4942","1668","4944","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1670","4946","1671","4948","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1673","4950","1674","4952","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1674","4952","1675","4958","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1682","4965","1683","4967","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1684","4968","1685","4971","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1686","4972","1687","4975","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1689","4977","1690","4981","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1690","4981","1691","4983","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1692","4984","1693","4988","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1695","4990","1696","4993","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1696","4993","1697","4995","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1697","4995","1698","4997","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1701","5000","1702","5002","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1705","5005","1706","5008","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1708","5010","1709","5012","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1709","5012","1710","5014","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1710","5014","1711","5019","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1713","5021","1714","5024","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1715","5025","1716","5027","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1719","5030","1720","5034","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1720","5034","1721","5038","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1724","5041","1725","5043","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1725","5043","1726","5049","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1726","5049","1727","5054","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1727","5054","1728","5056","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1728","5056","1729","5062","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1730","5063","1731","5065","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1731","5065","1732","5068","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1732","5068","1733","5072","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1734","5073","1735","5076","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1738","5079","1739","5086","6","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1740","5087","1741","5090","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1743","5092","1744","5095","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1745","4553","1746","4555","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1746","4555","1747","4557","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1747","4557","1748","4561","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1749","4562","1750","4564","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1750","4564","1751","4568","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1753","4570","1754","4573","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1758","4577","1759","4579","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1759","4579","1760","4581","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1760","4581","1761","4585","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1761","4585","1762","4604","18","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1762","4604","1763","4606","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1763","4606","1764","4612","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1764","4612","1765","4616","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1765","4616","1766","4619","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1766","4619","1767","4623","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1768","4624","1769","4627","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1774","4632","1775","4635","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1775","4635","1776","4637","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1777","4638","1778","4642","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1779","4643","1780","4645","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1780","4645","1781","4653","7","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1781","4653","1782","4655","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1782","4655","1783","4659","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1784","4660","1785","4673","12","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1785","4673","1786","4677","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1786","4677","1787","4680","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1787","4680","1788","4682","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1790","4684","1791","4686","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1792","4687","1793","4690","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1796","4693","1797","4697","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1797","4697","1798","4701","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1798","4701","1799","4707","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1799","4707","1800","4710","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1800","4710","1801","4714","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1801","4714","1802","4717","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1802","4717","1803","4721","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1803","4721","1804","4728","6","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1804","4728","1805","4737","8","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1805","4737","1806","4745","7","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1806","4745","1807","4750","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1807","4750","1808","4752","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1808","4752","1809","4754","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1809","4754","1810","4757","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1810","4757","1811","4762","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1811","4762","1812","4770","7","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1813","4771","1814","4773","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1814","4773","1815","4783","9","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1815","4783","1816","4796","12","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1816","4796","1817","4806","9","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1818","4807","1819","4809","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1819","4809","1820","4812","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1820","4812","1821","4815","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1821","4815","1822","4818","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1822","4818","1823","4821","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1823","4821","1824","4824","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1824","4824","1825","4827","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1825","4827","1826","4832","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1828","4834","1829","4836","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1829","4836","1830","4839","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1830","4839","1831","4841","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1831","4841","1832","4851","9","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1833","4852","1834","4854","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1835","4855","1836","4857","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1838","4859","1839","4871","11","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1839","4871","1840","4875","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1840","4875","1841","5075","199","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1843","4106","1844","4108","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1845","4109","1846","4112","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1848","4114","1849","4116","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1849","4116","1850","4120","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1852","4122","1853","4124","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1857","4128","1858","4130","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1858","4130","1859","4135","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1859","4135","1860","4139","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1860","4139","1861","4143","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1861","4143","1862","4145","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1862","4145","1863","4151","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1863","4151","1864","4153","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1865","4154","1866","4158","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1866","4158","1867","4162","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1867","4162","1868","4164","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1868","4164","1869","4169","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1869","4169","1870","4172","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1870","4172","1871","4181","8","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1871","4181","1872","4188","6","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1874","4190","1875","4192","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1876","4193","1877","4197","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1878","4198","1879","4202","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1879","4202","1880","4204","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1881","4205","1882","4207","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1882","4207","1883","4210","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1883","4210","1884","4212","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1886","4214","1887","4216","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1887","4216","1888","4218","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1888","4218","1889","4221","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1890","4222","1891","4225","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1891","4225","1892","4227","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1893","4228","1894","4235","6","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1895","4236","1896","4240","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1896","4240","1897","4243","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1900","4246","1901","4249","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1901","4249","1902","4252","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1903","4253","1904","4255","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1904","4255","1905","4258","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1905","4258","1906","4260","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1906","4260","1907","4262","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1907","4262","1908","4264","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1909","4265","1910","4268","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1910","4268","1911","4274","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1912","4275","1913","4277","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1913","4277","1914","4281","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1917","4284","1918","4286","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1922","4290","1923","4293","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1923","4293","1924","4299","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1925","4300","1926","4304","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1927","4305","1928","4314","8","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1929","4315","1930","4317","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1932","4319","1933","4321","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1934","4322","1935","4325","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1937","4327","1938","4538","210","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1938","4538","1939","4540","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1939","4540","1940","4544","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1940","4544","1941","4549","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1942","3696","1943","3699","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1944","3700","1945","3702","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1949","3706","1950","3708","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1950","3708","1951","3713","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1953","3715","1954","3717","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1954","3717","1955","3721","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1957","3723","1958","3725","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1959","3726","1960","3731","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1964","3735","1965","3737","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1965","3737","1966","3745","7","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1967","3746","1968","3750","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1975","3757","1976","3759","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1976","3759","1977","3761","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1977","3761","1978","3766","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1979","3767","1980","3769","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1980","3769","1981","3771","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1981","3771","1982","3773","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1984","3775","1985","3777","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1985","3777","1986","3781","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1986","3781","1987","3783","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1987","3783","1988","3786","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1988","3786","1989","3788","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1993","3792","1994","3795","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1994","3795","1995","3797","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1995","3797","1996","3799","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1999","3802","2000","3804","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"2000","3804","2001","3806","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"2004","3809","2005","3811","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"2005","3811","2006","3813","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"2006","3813","2007","3816","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
