priority,study,outcome,timepoint,outcome_family,rows,data_type,analysed_n_i,analysed_n_c,randomised_n_i,randomised_n_c,intervention,comparator,source_location,source_qc,eligibility,status
2 - not currently pooled,Pan 2023,First solid food tolerance time,Postoperative,Functional recovery,1,Median/IQR,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 816; Table 9,NOT REPORTED,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,NRS in the mobile state,1 h after operation,Pain,1,Other (describe),52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 815; Table 7,Results text specifies the NRS was assessed 'while in the mobile state'. Table prints parenthetical values but does not label them as SD/IQR in Table 7; statistic type therefore left as Other (describe).,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,NRS in the mobile state,24 h after operation,Pain,1,Other (describe),52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 815; Table 7,Results text specifies the NRS was assessed 'while in the mobile state'. Table prints parenthetical values but does not label them as SD/IQR in Table 7; statistic type therefore left as Other (describe).,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Nausea incidence,Within 24 h after operation,PONV,1,Other (describe),52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 815; Table 7,Nausea is discussed generally but is not separately tabulated as an incidence outcome.,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,PACU Aldrete score,PACU,Functional recovery,1,Mean/SD,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 815; Table 6,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,PACU highest NRS score,PACU,Pain,1,Other (describe),52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 815; Table 6,The table does not define the parenthetical statistic for this row; do not assume SD or IQR.,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,PACU retention time,PACU,Functional recovery,1,Mean/SD,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 815; Table 6,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Pain subscale,24 h after operation,Quality of recovery,1,Mean/SD,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 816; Table 10,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Participants using analgesic drugs,Within 24 h after operation,Rescue analgesia,1,Events/total,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 815; Table 7,"The table reports use of analgesic drugs, not a drug dose or opioid amount.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Participants using antiemetic drugs,Within 24 h after operation,Rescue antiemetic,1,Events/total,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 815; Table 7,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Physical comfort,24 h after operation,Quality of recovery,1,Mean/SD,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 816; Table 10,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Physical independence,24 h after operation,Quality of recovery,1,Mean/SD,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 816; Table 10,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Postoperative hospitalization time,Postoperative hospitalization,Length of stay,1,Mean/SD,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 816; Table 9,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Psychological support,24 h after operation,Quality of recovery,1,Mean/SD,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 816; Table 10,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Removing the catheter time,Postoperative,Functional recovery,1,Median/IQR,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 816; Table 9,NOT REPORTED,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Resting pain,Postoperative,Pain,1,Other (describe),52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,pp. 810–816; Methods + Tables 6–7,A separate resting-pain outcome is not reported.,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Time of conscious,PACU/recovery,Functional recovery,1,Mean/SD,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 815; Table 6,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Time of extubation,PACU/recovery,Functional recovery,1,Mean/SD,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 815; Table 6,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Time of respiratory recovery,PACU/recovery,Functional recovery,1,Mean/SD,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 815; Table 6,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Utilization of remedial drugs in PACU,PACU,Rescue medication,1,Events/total,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 815; Table 6,Table 6 does not specify which remedial drug(s) were used.,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Vomiting incidence,1 h after operation,PONV,1,Events/total,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 815; Table 7,The table reports counts and rounded percentages.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Pan 2023,Vomiting incidence,Within 24 h after operation,PONV,1,Events/total,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 815; Table 7,The table reports counts and rounded percentages.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sim 2002,Alfentanil requirement rate,Intraoperative,Intraoperative opioid,2,Mean/SD,30,30,30,30,Preoperative EA,Placebo EA,Figure 2 / alfentanil requirement,No significant placebo-controlled intraoperative opioid-sparing effect,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sim 2002,Drowsiness,0–24 h,Opioid-related adverse effect,2,Published percentage,30.0,30.0,30.0,30.0,Preoperative EA (Group II),Placebo EA (Group I),Acupuncture in Medicine 2002;20:60–61; Table 2,Raw event counts are NOT REPORTED and were not reconstructed from rounded percentages.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sim 2002,Mean resting VAS over first 24 h,0–24 h mean across 6-hourly assessments,Pain,2,Mean/SD,30.0,30.0,30.0,30.0,Preoperative EA (Group II),Placebo EA (Group I),Acupuncture in Medicine 2002;20:60–61; Table 2,"Table footnote states these are mean values over 24 h, not the exact 24-h point measurement.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sim 2002,PONV,0–24 h,PONV,2,Published percentage,30.0,30.0,30.0,30.0,Preoperative EA (Group II),Placebo EA (Group I),Acupuncture in Medicine 2002;20:60–61; Table 2,Raw event counts are NOT REPORTED and were not reconstructed from rounded percentages.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sim 2002,Postoperative IV PCA morphine,6-12 h,Opioid consumption,1,Median/IQR width as printed,30,30,30,30,Preoperative EA,Placebo EA,6-12-h morphine interval,Source reports median (IQR) as 0.03 (0.05) vs 0.10 (0.11); IQR is reported as a single width rather than Q1/Q3,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sim 2002,Postoperative IV PCA morphine in interval,0–6 h,Opioid consumption,2,Graph only,30.0,30.0,30.0,30.0,Preoperative EA (Group II),Placebo EA (Group I),Acupuncture in Medicine 2002;20:60; Figure 3,Exact numerical interval value is not printed. No visual digitization performed.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sim 2002,Postoperative IV PCA morphine in interval,12–18 h,Opioid consumption,2,Graph only,30.0,30.0,30.0,30.0,Preoperative EA (Group II),Placebo EA (Group I),Acupuncture in Medicine 2002;20:60; Figure 3,Exact numerical interval value is not printed. No visual digitization performed.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sim 2002,Postoperative IV PCA morphine in interval,18–24 h,Opioid consumption,2,Graph only,30.0,30.0,30.0,30.0,Preoperative EA (Group II),Placebo EA (Group I),Acupuncture in Medicine 2002;20:60; Figure 3,Exact numerical interval value is not printed. No visual digitization performed.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sim 2002,Postoperative IV PCA morphine in interval,6–12 h,Opioid consumption,1,Median/IQR width as printed,30.0,30.0,30.0,30.0,Postoperative EA (Group III),Placebo EA (Group I),Acupuncture in Medicine 2002;20:60; Results text + Figure 3,"The paper states nonparametric data are presented as median (interquartile range), but prints a single parenthetical IQR value rather than Q1 and Q3. Pairwise P is printed for Group II vs I and II vs III, not Group III vs I.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sim 2002,Pruritus,0–24 h,Opioid-related adverse effect,2,Published percentage,30.0,30.0,30.0,30.0,Preoperative EA (Group II),Placebo EA (Group I),Acupuncture in Medicine 2002;20:60–61; Table 2,Raw event counts are NOT REPORTED and were not reconstructed from rounded percentages.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sim 2002,Resting VAS,6 h,Pain,2,Other (describe),30.0,30.0,30.0,30.0,Preoperative EA (Group II),Placebo EA (Group I),Acupuncture in Medicine 2002;20:59–61; Outcomes/Results text,Exact group values for this individual clock-time assessment are NOT REPORTED. Do not substitute the Table 2 24-h mean.,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sim 2002,Resting VAS,12 h,Pain,2,Other (describe),30.0,30.0,30.0,30.0,Preoperative EA (Group II),Placebo EA (Group I),Acupuncture in Medicine 2002;20:59–61; Outcomes/Results text,Exact group values for this individual clock-time assessment are NOT REPORTED. Do not substitute the Table 2 24-h mean.,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sim 2002,Resting VAS,18 h,Pain,2,Other (describe),30.0,30.0,30.0,30.0,Preoperative EA (Group II),Placebo EA (Group I),Acupuncture in Medicine 2002;20:59–61; Outcomes/Results text,Exact group values for this individual clock-time assessment are NOT REPORTED. Do not substitute the Table 2 24-h mean.,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sim 2002,Resting VAS,24 h,Pain,2,Other (describe),30.0,30.0,30.0,30.0,Preoperative EA (Group II),Placebo EA (Group I),Acupuncture in Medicine 2002;20:59–61; Outcomes/Results text,Exact group values for this individual clock-time assessment are NOT REPORTED. Do not substitute the Table 2 24-h mean.,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,AIS score,First night before surgery after preoperative stimulation,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,AIS score,First postoperative night,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,AIS score,Third postoperative night,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Bradycardia,0-24 h,Other adverse events,1,Events/total,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 3,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Dizziness,0-24 h,Other adverse events,1,Events/total,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 3,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Nausea and vomiting adverse event,0-24 h,PONV,1,Events/total,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 3,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Postoperative VAS pain score,2 h after surgery,Pain,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 3,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Postoperative VAS pain score,4 h after surgery,Pain,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 3,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Postoperative VAS pain score,6 h after surgery,Pain,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 3,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Postoperative VAS pain score,24 h after surgery,Pain,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 3,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,REM sleep,First night before surgery after preoperative stimulation,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,REM sleep,First postoperative night,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,REM sleep,Third postoperative night,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Respiratory depression,0-24 h,Other adverse events,1,Events/total,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 3,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Sleep efficiency,First night before surgery after preoperative stimulation,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Sleep efficiency,First postoperative night,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Sleep efficiency,Third postoperative night,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Stable sleep,First night before surgery after preoperative stimulation,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Stable sleep,First postoperative night,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Stable sleep,Third postoperative night,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Unstable sleep,First night before surgery after preoperative stimulation,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Unstable sleep,First postoperative night,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Song 2020,Unstable sleep,Third postoperative night,Sleep quality,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 2,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Activity-evoked VAS during coughing,1 h,Pain,3,Graph only,91.0,90.0,95.0,95.0,Preoperative true TEAS only (TSS),All-period sham TEAS (SSS),Clin J Pain 2017;33:343–344; Figure 2,Exact numerical values are not printed in text/table. No visual digitization performed.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Activity-evoked VAS during coughing,6 h,Pain,3,Graph only,91.0,90.0,95.0,95.0,Preoperative true TEAS only (TSS),All-period sham TEAS (SSS),Clin J Pain 2017;33:343–344; Figure 2,Exact numerical values are not printed in text/table. No visual digitization performed.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Activity-evoked VAS during coughing,48 h,Pain,3,Graph only,91.0,90.0,95.0,95.0,Preoperative true TEAS only (TSS),All-period sham TEAS (SSS),Clin J Pain 2017;33:343–344; Figure 2,Exact numerical values are not printed in text/table. No visual digitization performed.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Additional antiemetic requirement,Within 48 h after surgery,Rescue antiemetic,3,Published percentage (95% CI),91.0,90.0,95.0,95.0,Preoperative true TEAS only (TSS),All-period sham TEAS (SSS),Clin J Pain 2017;33:344; Table 2,Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Author-defined intraoperative morphine-equivalent exposure,Intraoperative,Intraoperative opioid,4,Study-defined converted metric,91,90,95,95,Pre/intraoperative TEAS timing arms,All-period sham TEAS,Table 2 / intraoperative anesthetic consumption,Values ~1.5-1.6 mg/kg across all four groups; study-specific conversion of sufentanil/remifentanil | V34: Historical aggregate placeholder superseded for active analysis by three audit arm-specific converted-metric rows; no double counting. Author-defined intraoperative metric is not review postoperative MME.,EXCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Extubation time,Postoperative,Functional recovery,3,Mean/SD,91.0,90.0,95.0,95.0,Preoperative true TEAS only (TSS),All-period sham TEAS (SSS),Clin J Pain 2017;33:344; Table 2,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Length of stay in PACU,Postoperative,Functional recovery,3,Mean/SD,91.0,90.0,95.0,95.0,Preoperative true TEAS only (TSS),All-period sham TEAS (SSS),Clin J Pain 2017;33:344; Table 2,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Nausea,Within 48 h after surgery,PONV,3,Published percentage (95% CI),91.0,90.0,95.0,95.0,Preoperative true TEAS only (TSS),All-period sham TEAS (SSS),Clin J Pain 2017;33:344; Table 2,Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Patient satisfaction — extremely satisfied,Postoperative assessment; exact clock time not separately stated,Patient satisfaction,3,Published percentage (95% CI),91.0,90.0,95.0,95.0,Preoperative true TEAS only (TSS),All-period sham TEAS (SSS),Clin J Pain 2017;33:344; Table 2,Only percentages and 95% confidence intervals are printed. Raw event counts are NOT REPORTED and were not reverse-engineered.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Postoperative opioid consumption,0-24 h,Opioid consumption,1,Not applicable / not reported,,,95,95,True TEAS timing arms,All-period sham TEAS,Postoperative analgesia protocol,"Postoperative rescue analgesia was flurbiprofen axetil (NSAID), not an opioid",NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Resting VAS,1 h,Pain,3,Graph only,91.0,90.0,95.0,95.0,Preoperative true TEAS only (TSS),All-period sham TEAS (SSS),Clin J Pain 2017;33:343–344; Figure 2,Exact numerical values are not printed in text/table. No visual digitization performed.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Resting VAS,6 h,Pain,3,Graph only,91.0,90.0,95.0,95.0,Preoperative true TEAS only (TSS),All-period sham TEAS (SSS),Clin J Pain 2017;33:343–344; Figure 2,Exact numerical values are not printed in text/table. No visual digitization performed.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Resting VAS,24 h,Pain,3,Graph only,91.0,90.0,95.0,95.0,Preoperative true TEAS only (TSS),All-period sham TEAS (SSS),Clin J Pain 2017;33:343–344; Figure 2,Exact numerical values are not printed in text/table. No visual digitization performed.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Resting VAS,48 h,Pain,3,Graph only,91.0,90.0,95.0,95.0,Preoperative true TEAS only (TSS),All-period sham TEAS (SSS),Clin J Pain 2017;33:343–344; Figure 2,Exact numerical values are not printed in text/table. No visual digitization performed.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Sun 2017,Supplemental flurbiprofen axetil requirement,Within 48 h,Rescue analgesia,3,Published percentage,91,90,95,95,Preoperative true TEAS only,All-period sham TEAS (SSS),Table 2 / supplemental analgesic requirement,Do not convert printed percentages to exact event counts without confirmation,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
