Canonical study,Comparison ID,Intervention arm,Comparator arm,Outcome family,Outcome/result,Timepoint/window,Data type,Randomized n intervention,Randomized n comparator,Analyzed n intervention,Analyzed n comparator,Mean intervention,SD intervention,Median intervention,Q1 intervention,Q3 intervention,Events intervention,Mean comparator,SD comparator,Median comparator,Q1 comparator,Q3 comparator,Events comparator,Unit/scale,Reported P,Directly reported?,Derived/converted?,Derived effect measure,Derived effect,Exact 0-24 h postoperative opioid?,Primary opioid meta-analysis eligible?,Other analysis eligibility,Shared-control / multi-arm issue,Source-QC issue,Source location,Source PDF URL,Record status,AF lock IDs,AF target(s),AF endpoint stratum(s),AF reconciliation action(s),AF include strict,AF include sensitivity,AF overall RoB,AF unresolved priority,AF hold/exclude note,AF source-truth result(s)
Guo 2023,GUO23_TEAS_vs_SHAM_POCD30,Perioperative TEAS,Sham/no-current TEAS,Neurocognitive,Postoperative cognitive dysfunction (MoCA decline ≥1 SD),POD30,Events/total,64,64,55,55,,,,,,2,,,,,,22,participants,<0.001,Percentages reported; counts derived from n=55 completers,Yes,RR,0.0909090909090909,No,No,Eligible only as complete-case POCD result; attrition sensitivity needed,No,"18/128 randomized participants excluded from analysis, including conversions, repeat surgery, refusal and deaths",Primary POCD result,https://drive.google.com/file/d/1Idfl7rfZhgAUJHDpsmgzp17ADiGvrU8C/view?usp=drivesdk,SOURCE-VERIFIED / COUNTS DERIVED + HIGH ATTRITION,,,,,0,0,,,,
Guo 2023,GUO23_TEAS_vs_SHAM_REMI,Perioperative TEAS,Sham/no-current TEAS,Intraoperative opioid,Remifentanil consumption,Intraoperative,Mean/SD,64,64,55,55,0.87,0.3,,,,,1.01,0.39,,,,,mg remifentanil,0.040,Yes,No,MD,-0.14,No,No,Eligible for intraoperative opioid-sparing analysis,No,Complete-case n=55/group,Perioperative anesthetic table,https://drive.google.com/file/d/1Idfl7rfZhgAUJHDpsmgzp17ADiGvrU8C/view?usp=drivesdk,SOURCE-VERIFIED,F-intra-010,F-intra,F_intraop_titrated_requirement,MATCHED,0,1,Some concerns,,,0.87±0.30 vs1.01±0.39 mg; P=0.040
Guo 2023,GUO23_PAINPOD1,Perioperative TEAS,Sham/no-current TEAS,Pain,NRS pain intensity,POD1,Graph-only continuous data,64,64,55,55,,,,,,,,,,,,,NRS,<0.001,No,No,,,No,No,Not ready for continuous pooling without digitization/author data,No,Exact means/SDs are figure-only,Figure 3B,https://drive.google.com/file/d/1Idfl7rfZhgAUJHDpsmgzp17ADiGvrU8C/view?usp=drivesdk,FIGURE ONLY / DIGITIZATION NEEDED,,,,,0,0,,,,
Guo 2023,GUO23_OPIOID24,Perioperative TEAS,Sham/no-current TEAS,Opioid consumption,Actual postoperative sufentanil consumption,0-24 h,Not reported,64,64,55,55,,,,,,,,,,,,,µg sufentanil,,No,No,,,No,No,Not eligible for continuous 24-h opioid/MME meta-analysis,No,PCIA prescription is reported but actual delivered 24-h/48-h sufentanil is not,Postoperative PCIA section,https://drive.google.com/file/d/1Idfl7rfZhgAUJHDpsmgzp17ADiGvrU8C/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,,,,,0,0,,,,
Grech 2016,GRECH16_EA_vs_CTRL_PACU_MME_WOMEN,Intraoperative low-frequency EA,Sham/control,Opioid consumption,PACU analgesic requirement in women-only subgroup,PACU,Graph-only morphine-equivalent outcome,11,9,9,9,,,,,,,,,,,,,mg morphine-equivalent,Significant; authors report ~60% lower in EA women,No,No,,,No,No,Not quantitatively meta-analysis-ready without exact graph values or author data,No,Post hoc women-only subgroup excludes two men from EA arm; exact means/SEM are not tabulated,Figure 1D / women-only PACU analgesic requirement,https://drive.google.com/file/d/1U3KShiAZKL8n9hxSpBkhuhuQHW2EN-IY/view?usp=drivesdk,GRAPH ONLY / POST-HOC SUBGROUP,,,,,0,0,,,,
Grech 2016,GRECH16_EA_vs_CTRL_OPIOID24,Intraoperative low-frequency EA,Sham/control,Opioid consumption,Exact cumulative 24-h postoperative morphine-equivalent consumption,0-24 h,Not reported,11,9,,,,,,,,,,,,,,,mg morphine-equivalent,,No,No,,,No,No,Not eligible for continuous 24-h opioid/MME meta-analysis,No,Day-1 analgesic use is graphical and exact 24-h mean/dispersion is not tabulated,Postoperative analgesic figures,https://drive.google.com/file/d/1U3KShiAZKL8n9hxSpBkhuhuQHW2EN-IY/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,,,,,0,0,,,,
Grech 2016,GRECH16_EA_vs_CTRL_PAIN,Intraoperative low-frequency EA,Sham/control,Pain,Postoperative VAS pain,PACU and POD1-3,Graph-only continuous data,11,9,,,,,,,,,,,,,,,VAS 0-10,No significant overall difference,No,No,,,No,No,Not ready for continuous pooling without digitization,No,Exact numeric pain means/SEM are not tabulated,Postoperative pain figures,https://drive.google.com/file/d/1U3KShiAZKL8n9hxSpBkhuhuQHW2EN-IY/view?usp=drivesdk,FIGURE ONLY,,,,,0,0,,,,
Gao 2021,GAO21_TEAS_vs_SHAM_POI,Postoperative TEAS,Sham/no-current TEAS,GI recovery,Postoperative paralytic ileus: no flatus >72 h,Postoperative,Events/total,303,307,303,307,,,,,,98,,,,,,126,participants,0.026,Yes,No,RR,0.788045471213788,No,No,Eligible for dichotomous POI analysis,No,Full ITT of all 610 randomized; participant sensory masking limited because active TEAS was perceptible,Primary POI outcome,https://drive.google.com/file/d/1QbM6CNi8KfBXmMTqG1ASm3hK05cz_hKQ/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Gao 2021,GAO21_TEAS_vs_SHAM_FLATUS,Postoperative TEAS,Sham/no-current TEAS,GI recovery,Time to first flatus,Postoperative,Mean/SD,303,307,303,307,63.4,29,,,,,76.3,37.9,,,,,hours,0.001,Yes,No,MD,-12.899999999999999,No,No,Eligible for GI-recovery analysis,No,Full randomized sample retained; participant awareness may influence self-reported GI milestones,GI recovery outcomes,https://drive.google.com/file/d/1QbM6CNi8KfBXmMTqG1ASm3hK05cz_hKQ/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Gao 2021,GAO21_TEAS_vs_SHAM_DEFEC,Postoperative TEAS,Sham/no-current TEAS,GI recovery,Time to first defecation,Postoperative,Mean/SD,303,307,303,307,106.7,65.6,,,,,121.5,65.6,,,,,hours,0.005,Yes,No,MD,-14.799999999999997,No,No,Eligible for GI-recovery analysis,No,Full randomized sample retained; participant awareness may influence self-reported GI milestones,GI recovery outcomes,https://drive.google.com/file/d/1QbM6CNi8KfBXmMTqG1ASm3hK05cz_hKQ/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Gao 2021,GAO21_TEAS_vs_SHAM_DIET,Postoperative TEAS,Sham/no-current TEAS,GI recovery,Time to resume normal diet,Postoperative,Mean/SD,303,307,303,307,373.9,224.9,,,,,425.5,235.6,,,,,hours,0.006,Yes,No,MD,-51.60000000000002,No,No,Eligible for GI-recovery analysis,No,Full randomized sample retained; participant awareness may influence self-reported GI milestones,GI recovery outcomes,https://drive.google.com/file/d/1QbM6CNi8KfBXmMTqG1ASm3hK05cz_hKQ/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Gao 2021,GAO21_OPIOID24,Postoperative TEAS,Sham/no-current TEAS,Opioid consumption,Exact cumulative postoperative opioid consumption,0-24 h,Not reported,303,307,303,307,,,,,,,,,,,,,mg/µg,,No,No,,,No,No,Not eligible for continuous 24-h opioid/MME meta-analysis,No,"Main article reports only whether postoperative analgesia was used, not drug-specific dose/route/PCA consumption",Postoperative analgesia section,https://drive.google.com/file/d/1QbM6CNi8KfBXmMTqG1ASm3hK05cz_hKQ/view?usp=drivesdk,MISSING / NOT REPORTED,,,,,0,0,,,,
Yeh 2010,YEH10_AES_vs_SHAM_MORPH24,True-acupoint AES,Electrical sham/nonmeridian AES,Opioid consumption,24-h morphine PCA dose,First 24 postoperative hours,Mean/SD,,,33,30,18.6,9.7,,,,,21.6,13.1,,,,,mg morphine; source explicitly calls PCA epidural,AES-vs-sham pairwise significance NR,Yes,No,MD,-3,Yes,Conditional,SOURCE VALID BUT META-ANALYSIS HOLD until PCA route and report overlap with Yeh 2011 are resolved,Yes,Probable overlapping publication/cohort with Yeh 2011. Five of 99 entrants did not complete and randomized arm assignment of losses is NR. Do not treat both papers as independent.,Table 4 / 24-h opiate dose,https://drive.google.com/file/d/1a1s31PQPWGnaVkYUtNUxO22F3QFTcwmi/view?usp=drivesdk,SOURCE-VERIFIED / DUPLICATE-OVERLAP HOLD,F-postop-dose-003,F-postop-dose,F_postop_delivered_dose_or_solution,MATCHED,0,0,Some concerns,P1,HOLD overlap review,True18.6±9.7 vs sham21.6±13.1 mg
Yeh 2010,YEH10_AES_vs_CONTROL_MORPH24,True-acupoint AES,No-AES control,Opioid consumption,24-h morphine PCA dose,First 24 postoperative hours,Mean/SD,,,33,31,18.6,9.7,,,,,27.2,12.5,,,,,mg morphine; source explicitly calls PCA epidural,0.02,Yes,No,MD,-8.599999999999998,Yes,Conditional,Use only if no-treatment comparator is prespecified AND overlap with Yeh 2011 is resolved,Yes,Same probable overlapping cohort issue; route must not be silently recoded as IV.,Table 4 / 24-h opiate dose,https://drive.google.com/file/d/1a1s31PQPWGnaVkYUtNUxO22F3QFTcwmi/view?usp=drivesdk,SOURCE-VERIFIED / DUPLICATE-OVERLAP HOLD,,,,,0,0,,,,
Yeh 2011,YEH11_AES_vs_SHAM_MORPH24,True-acupoint AES,Electrical sham/nonacupoint AES,Opioid consumption,24-h IV morphine PCA dose,First 24 postoperative hours,Mean/SD,30,30,30,30,19.3,9.7,,,,,21.6,13.1,,,,,mg IV morphine,AES-vs-sham pairwise significance NR,Yes,No,MD,-2.3000000000000007,Yes,Conditional,SOURCE VALID BUT META-ANALYSIS HOLD until overlap with Yeh 2010 is resolved,Yes,"Highly similar to Yeh 2010 in population, acupoints, comparator and 24-h opioid values; do not count independently until cohort/publication linkage is adjudicated.",Table 3 / 24-h opiate dose,https://drive.google.com/file/d/1ZJ60ZvJ5Q7sRu1iptK_tLLfBXxZZ_Hwl/view?usp=drivesdk,SOURCE-VERIFIED / DUPLICATE-OVERLAP HOLD,F-postop-dose-010,F-postop-dose,F_postop_delivered_dose_or_solution,MATCHED,0,0,Some concerns,P1,HOLD — potential overlap,AES19.3±9.7 vs sham21.6±13.1 vs control28.0±12.1 mg
Yeh 2011,YEH11_AES_vs_CONTROL_MORPH24,True-acupoint AES,No-AES control,Opioid consumption,24-h IV morphine PCA dose,First 24 postoperative hours,Mean/SD,30,30,30,30,19.3,9.7,,,,,28,12.1,,,,,mg IV morphine,0.023,Yes,No,MD,-8.7,Yes,Conditional,Use only if no-treatment contrast is prespecified and overlap is resolved,Yes,Sequential allocation without sealed envelopes; probable overlapping publication family with Yeh 2010.,Table 3 / 24-h opiate dose,https://drive.google.com/file/d/1ZJ60ZvJ5Q7sRu1iptK_tLLfBXxZZ_Hwl/view?usp=drivesdk,SOURCE-VERIFIED / DUPLICATE-OVERLAP HOLD,,,,,0,0,,,,
Wong 2006,WONG06_EA_vs_SHAM_MORPHD0,Postoperative electroacupuncture,Nonpenetrating sham acupuncture,Opioid consumption,IV PCA morphine consumption,Day 0,Mean/SD,13,14,13,12,8.3,4.9,,,,,7.8,6.4,,,,,mg IV morphine,0.84,Yes,No,MD,0.5000000000000009,No,No,Eligible only at the published postoperative-day/3-day window; not a strict 0-24-h endpoint,No,Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.,Table 2 / postoperative PCA morphine,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk,SOURCE-VERIFIED / DAY-LABEL WINDOW QC,,,,,0,0,,,,
Wong 2006,WONG06_EA_vs_SHAM_MORPHD1,Postoperative electroacupuncture,Nonpenetrating sham acupuncture,Opioid consumption,IV PCA morphine consumption,Day 1,Mean/SD,13,14,13,12,18,8.8,,,,,18.8,9.8,,,,,mg IV morphine,0.83,Yes,No,MD,-0.8000000000000007,No,No,Eligible only at the published postoperative-day/3-day window; not a strict 0-24-h endpoint,No,Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.,Table 2 / postoperative PCA morphine,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk,SOURCE-VERIFIED / DAY-LABEL WINDOW QC,,,,,0,0,,,,
Wong 2006,WONG06_EA_vs_SHAM_MORPHD2,Postoperative electroacupuncture,Nonpenetrating sham acupuncture,Opioid consumption,IV PCA morphine consumption,Day 2,Mean/SD,13,14,13,12,7.5,5,,,,,15.7,12,,,,,mg IV morphine,0.035,Yes,No,MD,-8.2,No,No,Eligible only at the published postoperative-day/3-day window; not a strict 0-24-h endpoint,No,Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.,Table 2 / postoperative PCA morphine,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk,SOURCE-VERIFIED / DAY-LABEL WINDOW QC,,,,,0,0,,,,
Wong 2006,WONG06_EA_vs_SHAM_MORPHTOTAL,Postoperative electroacupuncture,Nonpenetrating sham acupuncture,Opioid consumption,IV PCA morphine consumption,First 3 postoperative days total,Mean/SD,13,14,13,12,33.9,12.8,,,,,42.3,21.3,,,,,mg IV morphine,0.25,Yes,No,MD,-8.399999999999999,No,No,Eligible only at the published postoperative-day/3-day window; not a strict 0-24-h endpoint,No,Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.,Table 2 / postoperative PCA morphine,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk,SOURCE-VERIFIED / DAY-LABEL WINDOW QC,B-002,B,B_0-72h_cumulative_opioid,MATCHED,0,1,Some concerns,,,33.9±12.8 vs 42.3±21.3 mg
Wong 2006,WONG06_EA_vs_SHAM_OPIOID24,Postoperative electroacupuncture,Nonpenetrating sham acupuncture,Opioid consumption,Exact total opioid exposure,0-24 h,Not reported,13,14,13,12,,,,,,,,,,,,,mg MME,,No,No,,,No,No,Not eligible for strict 24-h opioid/MME meta-analysis,No,Day labels are not defined as exact consecutive 24-h windows and scheduled dextropropoxyphene contributes additional opioid exposure.,Timing/analgesia protocol,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk,MISSING / EXACT 24H TOTAL NOT REPORTED,,,,,0,0,,,,
El-Rakshy 2009,ELR09_EA_vs_CTRL_MORPH24,Intraoperative EA + PCA,PCA alone/no acupuncture,Opioid consumption,Total IV morphine analgesia,First 24 h,Mean/SD,,,42,53,35.3,18,,,,,36.9,18,,,,,mg IV morphine,0.961,Yes,No,MD,-1.6000000000000014,Yes,Yes,Eligible only with outcome-specific denominators exactly as printed,No,Publication has irreconcilable allocation/analyzed group labels. Use Table 2 n=42 EA and n=53 control for this result; do not substitute overall study denominators.,Table 2 / total analgesia in 24 h,https://drive.google.com/file/d/12AfIox-MgnMU15U-mdvZgaTKnukXKvAR/view?usp=drivesdk,SOURCE-VERIFIED / OUTCOME-SPECIFIC DENOMINATORS,F-postop-dose-007,F-postop-dose,F_postop_delivered_dose_or_solution,MATCHED,0,1,High,P2,,35.3±18.0 vs36.9±18.0 mg
El-Rakshy 2009,ELR09_EA_vs_CTRL_MORPH4,Intraoperative EA + PCA,PCA alone/no acupuncture,Opioid consumption,Total IV morphine analgesia,First 4 h,Mean/SD,,,40,53,13.4,7.5,,,,,13.2,8.6,,,,,mg IV morphine,0.675,Yes,No,MD,0.20000000000000107,No,No,Eligible for 4-h opioid analysis only,No,Again preserve outcome-specific n=40 EA and n=53 control.,Table 2 / first 4 h,https://drive.google.com/file/d/12AfIox-MgnMU15U-mdvZgaTKnukXKvAR/view?usp=drivesdk,SOURCE-VERIFIED / OUTCOME-SPECIFIC DENOMINATORS,,,,,0,0,,,,
An 2014,AN14_EA_vs_CTRL_FENT48,Intraoperative electroacupuncture,No acupuncture control,Opioid consumption,Total postoperative fentanyl PCIA dose,Through reported 48-h PCIA period,Mean/SD,45,43,41,40,0.67,0.09,,,,,0.73,0.12,,,,,mg fentanyl,NS,Yes,No,MD,-0.05999999999999994,No,No,Eligible for 48-h fentanyl analysis; not a 24-h endpoint,No,Seven of 88 randomized patients were excluded from analysis; total fentanyl is not isolated to 0-24 h.,Opioid/PCIA results,https://drive.google.com/file/d/1Ygu3g28udKuPe0OS95oge2ryIGNeJ0te/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION + 48H WINDOW,A-003,A,A_0-48h_cumulative_opioid,MATCHED,1,0,Some concerns,P1,,0.67±0.09 vs 0.73±0.12 mg
An 2014,AN14_EA_vs_CTRL_OPIOID24,Intraoperative electroacupuncture,No acupuncture control,Opioid consumption,Exact cumulative postoperative fentanyl,0-24 h,Not reported,45,43,41,40,,,,,,,,,,,,,mg/µg fentanyl,,No,No,,,No,No,Not eligible for continuous 24-h opioid/MME meta-analysis,No,Published bolus activity is split 0-6 h and 6-48 h; exact 0-24-h fentanyl cannot be reconstructed.,PCIA results,https://drive.google.com/file/d/1Ygu3g28udKuPe0OS95oge2ryIGNeJ0te/view?usp=drivesdk,MISSING / 24H NOT RECONSTRUCTABLE,,,,,0,0,,,,
Chen 2015,CHEN15Q_TEAS_vs_CTRL_QOR40,Preoperative TEAS,Electrodes/device with no stimulation,Quality of recovery,Global QoR-40,24 h,Median/IQR,42,42,41,42,,,183,172,190,,,,168,154,183,,QoR-40 points,<0.001,Yes,No,,,No,No,Eligible for 24-h QoR analysis using median/IQR methods,No,One TEAS participant excluded for protocol breach; active 6-9 mA stimulation vs no-current control may compromise patient blinding for a patient-reported primary outcome.,Table 2 / global QoR-40,https://drive.google.com/file/d/1ZtE8GImDcpDJH1tOvzqazoh_S4Gd67oH/view?usp=drivesdk,SOURCE-VERIFIED / SUBJECTIVE BLINDING QC,,,,,0,0,,,,
Chen 2015,CHEN15Q_TEAS_vs_CTRL_PONV24,Preoperative TEAS,Electrodes/device with no stimulation,PONV,PONV incidence,0-24 h,Events/total,42,42,41,42,,,,,,10,,,,,,26,participants,0.001,Yes,No,RR,0.3939962476547842,No,No,Eligible for dichotomous 24-h PONV analysis,No,Use analyzed denominators 41 and 42.,Table 3 / PONV,https://drive.google.com/file/d/1ZtE8GImDcpDJH1tOvzqazoh_S4Gd67oH/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Chen 2015,CHEN15Q_TEAS_vs_CTRL_RESCUEMORPH24,Preoperative TEAS,Electrodes/device with no stimulation,Opioid consumption,Cumulative rescue IV morphine dose derived from fixed 2-mg rescue administrations,0-24 h,Median/IQR,42,42,41,42,,,2,2,6,,,,7,4,14,,mg IV morphine,0.004,No,Yes,,,Yes,Conditional,Potentially eligible as a derived median/IQR 24-h morphine endpoint,No,"Source reports rescue-administration count 1 (1-3) vs 3.5 (2-7); each rescue administration was fixed at morphine 2 mg. Linear conversion to mg is exact, but the source itself reports counts rather than dose.",Methods + Table 3,https://drive.google.com/file/d/1ZtE8GImDcpDJH1tOvzqazoh_S4Gd67oH/view?usp=drivesdk,DERIVED FROM FIXED 2-MG RESCUE DOSE,,,,,0,0,,,,
Chen 2015 (Hyperalgesia),CHEN15H_TEAS_vs_SHAM_RESCUECOUNT24,Preoperative TEAS,Electrodes/no-current sham,Opioid demand,Cumulative number of rescue sufentanil PCIA boluses,0-24 h,Median/IQR,30,30,29,30,,,3,2,4,,,,7,6,8,,boluses,<0.001,Yes,No,,,Yes,No,Eligible as 24-h rescue-bolus count; shared with fixed 0.05 µg/kg bolus protocol,No,One TEAS participant excluded for protocol breach. Do not convert using group-average body weight to absolute µg.,Table 2 / cumulative rescue analgesia,https://drive.google.com/file/d/13YKAZZsc2VQEPqkw1Ye40BYDZSRpI6N3/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,F-rescue-opioid-002,F-rescue-opioid,F_rescue_opioid,MATCHED,1,0,Some concerns,,,3 (2–4) vs7 (6–8); P<0.001
Chen 2015 (Hyperalgesia),CHEN15H_TEAS_vs_SHAM_SUFKG24,Preoperative TEAS,Electrodes/no-current sham,Opioid consumption,Derived cumulative sufentanil dose from fixed 0.05 µg/kg bolus,0-24 h,Median/IQR,30,30,29,30,,,0.15,0.1,0.2,,,,0.35,0.3,0.4,,µg/kg sufentanil,<0.001,No,Yes,,,Yes,Conditional,Potentially eligible as weight-normalized 24-h opioid endpoint if protocol accepts µg/kg,No,Exact linear conversion from 0.05 µg/kg per bolus × reported bolus count. Do not convert to absolute µg or MME without individual body weights.,PCIA protocol + Table 2,https://drive.google.com/file/d/13YKAZZsc2VQEPqkw1Ye40BYDZSRpI6N3/view?usp=drivesdk,DERIVED / WEIGHT-NORMALIZED,,,,,0,0,,,,
Chen 2015 (Hyperalgesia),CHEN15H_TEAS_vs_SHAM_PONV24,Preoperative TEAS,Electrodes/no-current sham,PONV,PONV incidence,0-24 h,Events/total,30,30,29,30,,,,,,5,,,,,,13,participants,0.03,Yes,No,RR,0.3978779840848807,No,No,Eligible for dichotomous 24-h PONV analysis,No,Use 29 analyzed TEAS and 30 control; one TEAS protocol-breach exclusion.,Table 2 / PONV,https://drive.google.com/file/d/13YKAZZsc2VQEPqkw1Ye40BYDZSRpI6N3/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Ao 2021,AO21_TEAS_vs_SHAM_PCA48,Repeated perioperative TEAS,Sham/no current,Opioid demand,Cumulative PCA solution consumption,48 h,Mean/SD,35,35,32,33,102.8,7.4,,,,,120.6,9.2,,,,,mL PCA solution,NR,Yes,No,MD,-17.799999999999997,No,No,Eligible as directly reported 48-h PCA-volume outcome; not as 24-h opioid dose,No,Exact 24-h sufentanil total is not reported; the earlier 24-h VAS row is graph-digitized and remains derived.,48-h PCA result,https://drive.google.com/file/d/1tNFnY0fJpx53hrtY4DIaE1RsNjE55Xvd/view?usp=drivesdk,SOURCE-VERIFIED / 48H ONLY,F-PCA-003,F-PCA,F_PCA_behavior,MATCHED,0,1,Some concerns,,,102.8±7.4 vs120.6±9.2 mL;6.2±3.7 vs12.3±4.6 presses
Chen 2020,CHEN20_TEAS_vs_SHAM_SUF48,Perioperative TEAS,Sham low/zero-current protocol,Opioid consumption,Cumulative postoperative PCIA sufentanil consumption,0-48 h,Mean/SD,40,40,40,40,118.52,9.77,,,,,140.15,7.87,,,,,µg sufentanil,<0.001,Yes,No,MD,-21.63,No,No,Target A strict 0-48 h cumulative opioid,No,48-h cumulative pump result; preserve native µg. Registration retrospective.,"Secondary endpoints / Figure 4, 48-h cumulative PCIA sufentanil",https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,A-001,A,A_0-48h_cumulative_opioid,NORMALIZED_V22,1,0,Some concerns,,,118.52±9.77 vs 140.15±7.87 μg
Yang 2024,YANG24_EA_vs_UC_MORPH72,Perioperative EA + usual care,Usual care,Opioid consumption,Cumulative morphine use via IV PCA,0-72 h / POD1-3,Mean/SD,90,90,90,90,127,12,,,,,127.5,12.5,,,,,mg morphine,0.785,Yes,No,MD,-0.5,No,No,Target B strict 0-72 h cumulative opioid,No,Extracted from PCA device records; full ITT.,Table 3 / cumulative POD1-3 morphine use,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,B-001,B,B_0-72h_cumulative_opioid,NORMALIZED_V22,1,0,Some concerns,P2,,127.0±12.0 vs 127.5±12.5 mg
Yang 2024,YANG24_EA_vs_UC_NAUSEA24,Perioperative EA + usual care,Usual care,PONV,Postoperative nausea incidence,0-24 h,Events/total,90,90,90,90,,,,,,24,,,,,,40,participants,0.013,Yes,No,RR,0.6,No,No,Separate 0-24 h nausea analysis; do not combine with vomiting/PONV composite,No,Nausea is subjective in an open-label EA-vs-usual-care comparison; result-specific High RoB.,Table 3 / 0-24 h nausea,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,D-006,D,D_nausea_0-24h,NORMALIZED_V22,1,0,High,P2,,24/90 vs 40/90
Hou 2023,HOU23_TEAS_vs_SHAM_REMI,Perioperative TEAS,Sham/no-current TEAS,Intraoperative opioid,Intraoperative remifentanil consumption,Intraoperative,Median/IQR,37,37,36,36,,,950,750,1238,,,,1000,881,1144,,µg remifentanil,0.572,Yes,No,,,No,No,Target F titrated intraoperative opioid candidate,No,TCI target 2.0-3.0 ng/mL; detailed within-range titration algorithm not reported.,Intraoperative anesthetic-consumption result,https://drive.google.com/file/d/161WdTRehgwvDHvQ8OkRf8U9TbUmVQgaR/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,F-intra-002,F-intra,F_intraop_titrated_requirement,NORMALIZED_V22,1,0,Some concerns,,,950 (750–1238) vs1000 (881–1144) μg; P=0.572
Yang 2024,YANG24_EA_vs_UC_REMI,Perioperative EA + usual care,Usual care,Intraoperative opioid,Intraoperative remifentanil consumption,Intraoperative,Median/IQR,90,90,90,90,,,0.5,0.3,0.6,,,,0.5,0.4,0.7,,mg remifentanil,0.75,Yes,No,,,No,No,Target F titrated intraoperative opioid candidate,No,Preoperative EA occurred before surgery; anesthetist blinded.,Intraoperative anesthetic-consumption table,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,F-intra-011,F-intra,F_intraop_titrated_requirement,NORMALIZED_V22,1,0,Some concerns,P2,,0.5 (0.3–0.6) vs0.5 (0.4–0.7) mg; P=0.75
Liang 2021,LIANG21_TEAS_vs_CTRL_REMI,Preoperative TEAS,Control/no stimulation,Intraoperative opioid,Intraoperative remifentanil consumption,Intraoperative,Mean/SD,37,38,35,35,521.5,206.8,,,,,464.7,156,,,,,µg remifentanil,NR; stated non-significant,Yes,No,MD,56.8,No,No,Target F sensitivity / titrated intraoperative opioid,No,Five randomized participants excluded; printed intraoperative sufentanil unit is likely erroneous and must not be silently corrected.,Table 1 / intraoperative anesthetic consumption,https://drive.google.com/file/d/1guriAcqNbJNXpfd_UjYwevULLVSeiHXS/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,F-intra-012,F-intra,F_intraop_titrated_requirement,NORMALIZED_V22,0,1,Some concerns,P1,,"521.5±206.8 vs464.7±156.0 μg; exact P NR, stated NS"
Pan 2023,PAN23_TEAS_vs_CONTROL_REMI,TEAS,Control/usual care,Intraoperative opioid,Intraoperative remifentanil consumption,Intraoperative,Mean/SD,60,60,52,53,740.1,276.9,,,,,854,287.5,,,,,µg remifentanil,0.04,Yes,No,MD,-113.9,No,No,Target F sensitivity / High-RoB titrated intraoperative opioid,No,15/120 excluded; titrating anesthesiologist blinding not established.,Table 2 / intraoperative remifentanil dose,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / HIGH ROB,F-intra-013,F-intra,F_intraop_titrated_requirement,NORMALIZED_V22,0,1,High,,,740.1±276.9 vs854.0±287.5 μg; P=0.04
