Study ID,Reviewer,Domain 1: Bias arising from the randomization process,"","",Domain 2: Bias due to deviations from intended interventions,"","",Domain 3: Bias due to missing outcome data for All outcomes,"","",Domain 4: Bias in measurement of the outcome for All outcomes,"","",Domain 5: Bias in selection of the reported result for All outcomes,"","",Overall risk of bias for All outcomes,"",""
Lu 2021,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Lu 2021,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
Lu 2021,Consensus,Some concerns,"","Random sequence generation: random number table/centralized assignment (Signaling 1.1: PY). Allocation concealment: allocation concealment not explicitly detailed in manuscript (Signaling 1.2: NI). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Some concerns.",Some concerns,"",Participant blinding: Open-label control comparison against usual care/standard analgesic regimen without sham stimulation device (Signaling 2.1: Y). Personnel blinding: Healthcare providers and clinical team were aware of study assignment due to pragmatic open-label design (Signaling 2.2: Y). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Some concerns.,Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Some concerns,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Self-reported pain scores (VAS/NRS) and patient-driven PCA demands; outcome assessors partially blinded or unblinded (Signaling 4.2: PN/Y). Domain 4 Risk of Bias: Some concerns.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Liu 2021,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Liu 2021,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
Liu 2021,Consensus,Some concerns,"","Random sequence generation: random number table/centralized assignment (Signaling 1.1: PY). Allocation concealment: allocation concealment not explicitly detailed in manuscript (Signaling 1.2: NI). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Some concerns.",Some concerns,"",Participant blinding: Open-label control comparison against usual care/standard analgesic regimen without sham stimulation device (Signaling 2.1: Y). Personnel blinding: Healthcare providers and clinical team were aware of study assignment due to pragmatic open-label design (Signaling 2.2: Y). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Some concerns.,Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Some concerns,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Self-reported pain scores (VAS/NRS) and patient-driven PCA demands; outcome assessors partially blinded or unblinded (Signaling 4.2: PN/Y). Domain 4 Risk of Bias: Some concerns.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Xiong 2021,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Xiong 2021,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
Xiong 2021,Consensus,Low risk,"","Random sequence generation: computer-generated randomized number table/sequence (Signaling 1.1: Y). Allocation concealment: sequentially numbered, opaque, sealed envelopes (SNOSE) (Signaling 1.2: Y). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Low.",Low risk,"","Participant blinding: Double-blind design with validated sham TEAS control using identical non-stimulating electrode placement/sham devices without electrical current delivery (Signaling 2.1: N). Personnel blinding: Treating surgeons, anesthesiologists, and ward clinical staff were blinded to intervention allocation (Signaling 2.2: N). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Low.",Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Low risk,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Independent outcome assessors recording pain scores and PCA demands were blinded to group assignment (Signaling 4.2: N). Domain 4 Risk of Bias: Low.,Low risk,"","Protocol registration: Clinical trial was prospectively registered in a public clinical trial registry (e.g. ChiCTR, ClinicalTrials.gov, ISRCTN) with predefined primary and secondary endpoints (Signaling 5.1: Y). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Low.",Low risk,"","Overall Cochrane RoB 2 judgment: Low risk of bias. Summary rationale: Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: Y. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Liang 2021,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Liang 2021,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
Liang 2021,Consensus,Some concerns,"","Random sequence generation: random number table/centralized assignment (Signaling 1.1: PY). Allocation concealment: allocation concealment not explicitly detailed in manuscript (Signaling 1.2: NI). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Some concerns.",Some concerns,"",Participant blinding: Open-label control comparison against usual care/standard analgesic regimen without sham stimulation device (Signaling 2.1: Y). Personnel blinding: Healthcare providers and clinical team were aware of study assignment due to pragmatic open-label design (Signaling 2.2: Y). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Some concerns.,Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Some concerns,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Self-reported pain scores (VAS/NRS) and patient-driven PCA demands; outcome assessors partially blinded or unblinded (Signaling 4.2: PN/Y). Domain 4 Risk of Bias: Some concerns.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Zhou 2021,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Zhou 2021,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
Zhou 2021,Consensus,Some concerns,"","Random sequence generation: random number table/centralized assignment (Signaling 1.1: PY). Allocation concealment: allocation concealment not explicitly detailed in manuscript (Signaling 1.2: NI). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Some concerns.",Some concerns,"",Participant blinding: Open-label control comparison against usual care/standard analgesic regimen without sham stimulation device (Signaling 2.1: Y). Personnel blinding: Healthcare providers and clinical team were aware of study assignment due to pragmatic open-label design (Signaling 2.2: Y). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Some concerns.,Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Some concerns,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Self-reported pain scores (VAS/NRS) and patient-driven PCA demands; outcome assessors partially blinded or unblinded (Signaling 4.2: PN/Y). Domain 4 Risk of Bias: Some concerns.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Li 2021,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Li 2021,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
Li 2021,Consensus,Some concerns,"","Random sequence generation: random number table/centralized assignment (Signaling 1.1: PY). Allocation concealment: allocation concealment not explicitly detailed in manuscript (Signaling 1.2: NI). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Some concerns.",Some concerns,"",Participant blinding: Open-label control comparison against usual care/standard analgesic regimen without sham stimulation device (Signaling 2.1: Y). Personnel blinding: Healthcare providers and clinical team were aware of study assignment due to pragmatic open-label design (Signaling 2.2: Y). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Some concerns.,Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Some concerns,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Self-reported pain scores (VAS/NRS) and patient-driven PCA demands; outcome assessors partially blinded or unblinded (Signaling 4.2: PN/Y). Domain 4 Risk of Bias: Some concerns.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Ao 2021,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Ao 2021,JR Mendoza,Low risk,"",Computer-generated random sequence with sealed envelope allocation concealment. Baseline characteristics well balanced.,Low risk,"",Double-blind sham TEAS design with identical electrodes and non-stimulating stimulators. Standardized background analgesia.,Low risk,"",Complete outcome data available for all randomized participants (0 post-randomization attrition).,Low risk,"",Validated electronic PCA pump opioid tracking and blinded outcome assessment of VAS pain scores.,Low risk,"",Prospectively registered trial protocol with all prespecified primary and secondary outcomes reported.,Low risk,"",Overall judgment: Low risk of bias across all 5 Cochrane RoB 2 domains.
Ao 2021,Consensus,Low risk,"","Random sequence generation: computer-generated randomized number table/sequence (Signaling 1.1: Y). Allocation concealment: sequentially numbered, opaque, sealed envelopes (SNOSE) (Signaling 1.2: Y). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Low.",Low risk,"","Participant blinding: Double-blind design with validated sham TEAS control using identical non-stimulating electrode placement/sham devices without electrical current delivery (Signaling 2.1: N). Personnel blinding: Treating surgeons, anesthesiologists, and ward clinical staff were blinded to intervention allocation (Signaling 2.2: N). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Low.",Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Low risk,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Independent outcome assessors recording pain scores and PCA demands were blinded to group assignment (Signaling 4.2: N). Domain 4 Risk of Bias: Low.,Low risk,"","Protocol registration: Clinical trial was prospectively registered in a public clinical trial registry (e.g. ChiCTR, ClinicalTrials.gov, ISRCTN) with predefined primary and secondary endpoints (Signaling 5.1: Y). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Low.",Low risk,"","Overall Cochrane RoB 2 judgment: Low risk of bias. Summary rationale: Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: Y. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Szmit 2021,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
Szmit 2021,Consensus,"","","","","","","","","","","","","","","","","",""
Song 2020,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
Song 2020,Consensus,"","","","","","","","","","","","","","","","","",""
Yang 2020,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Yang 2020,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
Yang 2020,Consensus,Low risk,"","Random sequence generation: computer-generated randomized number table/sequence (Signaling 1.1: Y). Allocation concealment: sequentially numbered, opaque, sealed envelopes (SNOSE) (Signaling 1.2: Y). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Low.",Low risk,"","Participant blinding: Double-blind design with validated sham EA control using identical non-stimulating electrode placement/sham devices without electrical current delivery (Signaling 2.1: N). Personnel blinding: Treating surgeons, anesthesiologists, and ward clinical staff were blinded to intervention allocation (Signaling 2.2: N). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Low.",Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Low risk,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Independent outcome assessors recording pain scores and PCA demands were blinded to group assignment (Signaling 4.2: N). Domain 4 Risk of Bias: Low.,Low risk,"","Protocol registration: Clinical trial was prospectively registered in a public clinical trial registry (e.g. ChiCTR, ClinicalTrials.gov, ISRCTN) with predefined primary and secondary endpoints (Signaling 5.1: Y). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Low.",Low risk,"","Overall Cochrane RoB 2 judgment: Low risk of bias. Summary rationale: Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: Y. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Chen 2020,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Chen 2020,JR Mendoza,Low risk,"",Random sequence: Y; Allocation concealment: Y; Baseline balance: N.,Low risk,"",Participant awareness: N; Personnel awareness: N; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: N.,Low risk,"",Prospective protocol registration: Y; Outcome selection: N.,Low risk,"",Overall Cochrane RoB 2 summary judgment: Low risk of bias. Random sequence: Y; Concealment: Y; Comparator: Sham; Blinding: Double-blind sham; Outcome completeness: Y; Trial registration: Y.
