id	study	contrast	family	outcome	time	type	ni	nc	mi	sdi	mc	sdc	ei	ec	unit	eligibility	QC
V33-OD-0357	Zhang 2018	ZHANG18_TEA_vs_SHAM_DEFEC	GI recovery	Time to first defecation	Postoperative	Graph-only mean±SE	21	21							hours	GRAPH ONLY	Exact group mean±SE values are shown only in Figure 2a; do not visually infer. Source text reports a 31.7% reduction.
V33-OD-0358	Zhang 2018	ZHANG18_TEA_vs_SHAM_FLATUS	GI recovery	Time to first flatus	Postoperative	Graph-only mean±SE	21	21							hours	GRAPH ONLY	Exact group mean±SE values are shown only in Figure 2a; do not visually infer. Source text reports a 35.9% reduction.
V33-OD-0359	Zhang 2018	ZHANG18_TEA_vs_SHAM_DIET	GI recovery	Time to resume diet	Postoperative	Graph-only mean±SE	21	21							days	GRAPH ONLY	Exact group mean±SE values are shown only in Figure 2b; do not visually infer. Source text reports a 26.5% reduction.
V33-OD-0360	Zhang 2018	ZHANG18_TEA_vs_SHAM_POI96	GI recovery	Prolonged postoperative ileus / time to first defecation >96 h	Postoperative	Events/total	21	21					0	5	participants	HOLD	Text reports 0/21 TEA vs 5/21 sham, but Table 2 lists 33 non-endpoint + 11 endpoint patients (44 total) despite 42 randomized. Preserve raw text counts but hold quantitative use.
V33-OD-0361	Zhang 2018	ZHANG18_TEA_vs_SHAM_AMB	Functional recovery	Time to ambulation	Postoperative	Graph-only mean±SE	21	21							days	GRAPH ONLY	Exact group mean±SE values are shown only in Figure 2b; source text reports a 42.8% reduction.
V33-OD-0362	Zhang 2018	ZHANG18_TEA_vs_SHAM_LOS	Functional recovery	Postoperative hospital length of stay	Postoperative	Graph-only mean±SE	21	21							days	GRAPH ONLY	Exact group mean±SE values are shown only in Figure 2b; source text reports a 30.2% reduction. Adjusted regression coefficient for TEA was −6.3 days (95% CI −12.0 to −0.6).
V33-OD-0363	Zhang 2018	ZHANG18_TEA_vs_SHAM_PAINPOD1	Pain	VAS pain score	Postoperative day 1	Graph-only mean±SE	21	21							VAS 0–10	GRAPH ONLY	Figure 2c shows POD1 means±SE but exact values are not tabulated. The Results text highlights significant reductions only on POD2 and POD3.
V33-OD-0364	Zhang 2018	ZHANG18_TEA_vs_SHAM_PAINPOD2	Pain	VAS pain score	Postoperative day 2	Graph-only mean±SE	21	21							VAS 0–10	GRAPH ONLY	Exact group mean±SE values are shown only in Figure 2c; source text reports a 50.8% reduction.
V33-OD-0365	Zhang 2018	ZHANG18_TEA_vs_SHAM_PAINPOD3	Pain	VAS pain score	Postoperative day 3	Graph-only mean±SE	21	21							VAS 0–10	GRAPH ONLY	Exact group mean±SE values are shown only in Figure 2c; source text reports a 64.9% reduction.
V33-OD-0366	Yu 2020	YU20_TEAS_vs_CTRL_RESCUEOP24	Rescue opioid use	Participants requiring rescue sufentanil	0-24 h postoperative	Events/total	30	30					13	24	participants	INCLUDE	Binary incidence of rescue analgesia, NOT cumulative opioid dose. Rescue dose/number of administrations not reported, so no MME is derivable.
V33-OD-0367	Yu 2020	YU20_TEAS_vs_CTRL_PAIN_POD1	Pain	Resting pain VAS	POD1 (~24 h)	Mean/SD	30	30	3.7	1.53	4.73	1.53			VAS 0-10	HOLD	SOURCE CONFLICT: Table 2 reports TEAS 3.70 (1.53); the abstract reports 3.70 +/- 1.41 for the same result. Table 2's TEAS SD is also identical to the control SD (1.53), which is itself suspicious. Tab
V33-OD-0368	Yu 2020	YU20_TEAS_vs_CTRL_PAIN_POD2	Pain	Resting pain VAS	POD2 (~48 h)	Mean/SD	30	30	1.83	0.98	2.3	0.95			VAS 0-10	HOLD	TWO SOURCE CONFLICTS. (1) SD: Table 2 gives TEAS 1.83 (0.98); the abstract gives 1.83 +/- 0.88. (2) P value: the Results text states 'P = 0.042 and P = 0.26 for T1 and T2 respectively', i.e. POD2 non-
V33-OD-0369	Yao 2015	YAO15_TEAS_vs_CTRL_RESCUECOUNT24	Rescue opioid use	Cumulative number of rescue analgesia administrations	0-24 h postoperative	Median/IQR	35	36							administrations	NARRATIVE ONLY	Rescue was IV sufentanil 0.05 ug/kg per administration. Do NOT multiply the median count by 0.05 ug/kg and a mean body weight to manufacture cumulative MME: the product of a median count and a mean we
V33-OD-0370	Yao 2015	YAO15_TEAS_vs_CTRL_TIMETORESCUE	Rescue analgesia	Time to first rescue analgesia	0-24 h postoperative	Median/range	35	36							minutes	NARRATIVE ONLY	The intervention arm's upper bound of 1440 min is the full 24-h observation window, i.e. censoring at end of follow-up. Treating this as an IQR bound would be wrong; it is a range. Not pooled as a mea
V33-OD-0371	Yao 2015	YAO15_TEAS_vs_CTRL_NAUSEA24	PONV	Postoperative nausea	0-24 h postoperative	Events/total	35	36					17	26	participants	INCLUDE	Reported as 17 (48.6%) vs 26 (72.2%); denominators confirmed from Table 3 headers.
V33-OD-0372	Yao 2015	YAO15_TEAS_vs_CTRL_VOMIT24	PONV	Postoperative vomiting	0-24 h postoperative	Events/total	35	36					7	19	participants	INCLUDE	Source-extracted during verification of the supplementary nausea row; the supplement did not list it. Reported as 7 (20.0%) vs 19 (52.8%).
V33-OD-0373	Zhu 2022	ZHU22_PRE_vs_USUAL_INTRAOPSUF	Intraoperative opioid	Intraoperative sufentanil	Intraoperative	Mean/SD	101	101	38.1	4.97	37.8	4.87			ug sufentanil	INCLUDE	Reported in Table 1 among baseline/anaesthesia parameters, with a single 4-group omnibus P (0.892); no pairwise contrast is reported. Do not enter more than one Zhu 2022 contrast into a pairwise model
V33-OD-0374	Zhu 2022	ZHU22_30MIN_vs_USUAL_INTRAOPSUF	Intraoperative opioid	Intraoperative sufentanil	Intraoperative	Mean/SD	98	101	39.1	4.83	37.8	4.87			ug sufentanil	INCLUDE	See ZHU22_PRE_vs_USUAL_INTRAOPSUF.
V33-OD-0375	Zhu 2022	ZHU22_COMB_vs_USUAL_INTRAOPSUF	Intraoperative opioid	Intraoperative sufentanil	Intraoperative	Mean/SD	100	101	39	5.12	37.8	4.87			ug sufentanil	INCLUDE	See ZHU22_PRE_vs_USUAL_INTRAOPSUF.
V33-OD-0376	Zhu 2022	ZHU22_PRE_vs_USUAL_INTRAOPREMI	Intraoperative opioid	Intraoperative remifentanil	Intraoperative	Mean/SD	101	101	0.58	0.23	0.57	0.26			mg remifentanil	INCLUDE	Table 1 baseline/anaesthesia parameter with a single 4-group omnibus P (0.948).
V33-OD-0377	Zhu 2022	ZHU22_30MIN_vs_USUAL_INTRAOPREMI	Intraoperative opioid	Intraoperative remifentanil	Intraoperative	Mean/SD	98	101	0.58	0.23	0.57	0.26			mg remifentanil	INCLUDE	See ZHU22_PRE_vs_USUAL_INTRAOPREMI.
V33-OD-0378	Zhu 2022	ZHU22_COMB_vs_USUAL_INTRAOPREMI	Intraoperative opioid	Intraoperative remifentanil	Intraoperative	Mean/SD	100	101	0.5	0.25	0.57	0.26			mg remifentanil	INCLUDE	See ZHU22_PRE_vs_USUAL_INTRAOPREMI.
V33-OD-0379	Pan 2023	PAN23_TEAS_vs_CTRL_INTRAOPREMI	Intraoperative opioid	Intraoperative remifentanil	Intraoperative	Mean/SD	52	53	740.1	276.9	854	287.5			ug remifentanil	INCLUDE	Analysis Ns taken from the Table 2 column headers (Group T N=52, Group C N=53) against 105 randomized, i.e. post-randomization exclusions occurred. Existing RoB 2 concern for this trial is retained an
V33-OD-0380	Yang 2020	YANG20_EA_vs_UC_DEFECATION	GI recovery	Time to first defecation	Postoperative	Mean/SD	29	28	53.9	6	57.5	7.2			hours	INCLUDE	Analysis Ns mirror the existing v32 first-flatus row for this trial (29/28 of 30/29 randomized; 57 of 59 completed). Open-label design; existing RoB concern retained.
V33-OD-0381	Liang 2021	LIANG21_TEAS_vs_CTRL_QOR40_24H	Quality of recovery	Global QoR-40	24 h (T11)	Mean/SD	35	35	191.7	4.4	189.1	4.3			QoR-40 points	INCLUDE	T11 is defined in the source as postoperative 24 hours. Analysis N 35/35 taken from the CONSORT flow diagram (Figure 2), against 37/38 allocated.
V33-OD-0382	Liang 2021	LIANG21_TEAS_vs_CTRL_QOR40_48H	Quality of recovery	Global QoR-40	48 h (T12)	Mean/SD	35	35	195.3	1.9	193.3	3			QoR-40 points	INCLUDE	T12 is defined in the source as postoperative 48 hours.
V33-OD-0383	Liang 2021	LIANG21_TEAS_vs_CTRL_ANALGREQ	Rescue analgesia	Postoperative analgesia requirement (metric undefined)	Early postoperative period - exact window not stated	Reported as value (dispersion); statistic type ambiguous	35	35							UNRESOLVED - source does not define the metric	HOLD	HOLD. The source describes this as 'the number of patients who required extra analgesia', but 3.8 (1.9) and 5.0 (2.9) cannot be a count of patients out of 35 - the wording and the statistic are mutual
AUDIT-0002	Zhu 2022	V34_B1_001	Pain	Pain on movement (NRS)	6–24 h	Mean/SD	101.0	101.0	1.15	1.02	1.44	1.3			NRS 0-10	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods call the prima
AUDIT-0003	Zhu 2022	V34_B1_002	Pain	Pain on movement (NRS)	6–24 h	Mean/SD	98.0	101.0	1.12	1.03	1.44	1.3			NRS 0-10	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods call the prima
AUDIT-0004	Zhu 2022	V34_B1_003	Pain	Pain on movement (NRS)	6–24 h	Mean/SD	100.0	101.0	1.17	1.17	1.44	1.3			NRS 0-10	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods call the prima
AUDIT-0005	Zhu 2022	V34_B1_004	Pain	Pain on movement (NRS)	0–6 h	Mean/SD	101.0	101.0	1.89	1.47	2.45	1.6			NRS 0-10	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0006	Zhu 2022	V34_B1_005	Pain	Pain on movement (NRS)	0–6 h	Mean/SD	98.0	101.0	2.01	1.25	2.45	1.6			NRS 0-10	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0007	Zhu 2022	V34_B1_006	Pain	Pain on movement (NRS)	0–6 h	Mean/SD	100.0	101.0	1.97	1.25	2.45	1.6			NRS 0-10	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0008	Zhu 2022	V34_B1_007	Pain	Pain on movement (NRS)	24–48 h	Mean/SD	101.0	101.0	0.4	0.76	0.73	0.97			NRS 0-10	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0009	Zhu 2022	V34_B1_008	Pain	Pain on movement (NRS)	24–48 h	Mean/SD	98.0	101.0	0.54	0.86	0.73	0.97			NRS 0-10	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0010	Zhu 2022	V34_B1_009	Pain	Pain on movement (NRS)	24–48 h	Mean/SD	100.0	101.0	0.5	0.96	0.73	0.97			NRS 0-10	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0011	Zhu 2022	V34_B1_010	Pain	Pain on movement (NRS)	48–72 h	Mean/SD	101.0	101.0	0.19	0.56	0.31	0.7			NRS 0-10	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0012	Zhu 2022	V34_B1_011	Pain	Pain on movement (NRS)	48–72 h	Mean/SD	98.0	101.0	0.23	0.59	0.31	0.7			NRS 0-10	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0013	Zhu 2022	V34_B1_012	Pain	Pain on movement (NRS)	48–72 h	Mean/SD	100.0	101.0	0.19	0.56	0.31	0.7			NRS 0-10	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0014	Zhu 2022	V34_B1_013	Rescue analgesia	Participants requiring postoperative analgesics	0–48 h after surgery	Events/total	101.0	101.0					2.0	3.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Rescue analgesic proto
AUDIT-0015	Zhu 2022	V34_B1_014	Rescue analgesia	Participants requiring postoperative analgesics	0–48 h after surgery	Events/total	98.0	101.0					3.0	3.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Rescue analgesic proto
AUDIT-0016	Zhu 2022	V34_B1_015	Rescue analgesia	Participants requiring postoperative analgesics	0–48 h after surgery	Events/total	100.0	101.0					1.0	3.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Rescue analgesic proto
AUDIT-0017	Zhu 2022	V34_B1_016	GI recovery	Time to passage of first flatus	From end of surgery to first flatus	Mean/SD	101.0	101.0	18.38	6.11	21.56	8.07			hours	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0018	Zhu 2022	V34_B1_017	GI recovery	Time to passage of first flatus	From end of surgery to first flatus	Mean/SD	98.0	101.0	18.47	6.47	21.56	8.07			hours	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0019	Zhu 2022	V34_B1_018	GI recovery	Time to passage of first flatus	From end of surgery to first flatus	Mean/SD	100.0	101.0	18.82	7.5	21.56	8.07			hours	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0020	Zhu 2022	V34_B1_019	Quality of recovery	Overall QoR-15	AMBIGUOUS	Mean/SD	101.0	101.0	142.94	6.82	144.23	4.95			QoR-15 points	HOLD	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. The table/methods do n
AUDIT-0021	Zhu 2022	V34_B1_020	Quality of recovery	Overall QoR-15	AMBIGUOUS	Mean/SD	98.0	101.0	144.74	5.21	144.23	4.95			QoR-15 points	HOLD	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. The table/methods do n
AUDIT-0022	Zhu 2022	V34_B1_021	Quality of recovery	Overall QoR-15	AMBIGUOUS	Mean/SD	100.0	101.0	144.61	5.35	144.23	4.95			QoR-15 points	HOLD	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. The table/methods do n
AUDIT-0023	Zhu 2022	V34_B1_022	PONV	Postoperative nausea incidence	0–6 h after surgery	Events/total	101.0	101.0					9.0	20.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per
AUDIT-0024	Zhu 2022	V34_B1_023	PONV	Postoperative vomiting incidence	0–6 h after surgery	Events/total	101.0	101.0					7.0	17.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per
AUDIT-0025	Zhu 2022	V34_B1_024	PONV	Nausea severity score	0–6 h after surgery	Mean/SD	101.0	101.0	0.2	0.68	0.46	0.95			4-point Likert-type severity scale 0-3	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0026	Zhu 2022	V34_B1_025	PONV	Vomiting severity score	0–6 h after surgery	Mean/SD	101.0	101.0	0.16	0.61	0.36	0.79			4-point Likert-type severity scale 0-3	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0027	Zhu 2022	V34_B1_026	Rescue antiemetic	Participants requiring metoclopramide rescue antiemetic	0–6 h after surgery	Events/total	101.0	101.0					4.0	18.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metocl
AUDIT-0028	Zhu 2022	V34_B1_027	PONV	Postoperative nausea incidence	0–6 h after surgery	Events/total	98.0	101.0					11.0	20.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per
AUDIT-0029	Zhu 2022	V34_B1_028	PONV	Postoperative vomiting incidence	0–6 h after surgery	Events/total	98.0	101.0					9.0	17.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per
AUDIT-0030	Zhu 2022	V34_B1_029	PONV	Nausea severity score	0–6 h after surgery	Mean/SD	98.0	101.0	0.22	0.67	0.46	0.95			4-point Likert-type severity scale 0-3	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0031	Zhu 2022	V34_B1_030	PONV	Vomiting severity score	0–6 h after surgery	Mean/SD	98.0	101.0	0.18	0.63	0.36	0.79			4-point Likert-type severity scale 0-3	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0032	Zhu 2022	V34_B1_031	Rescue antiemetic	Participants requiring metoclopramide rescue antiemetic	0–6 h after surgery	Events/total	98.0	101.0					11.0	18.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metocl
AUDIT-0033	Zhu 2022	V34_B1_032	PONV	Postoperative nausea incidence	0–6 h after surgery	Events/total	100.0	101.0					7.0	20.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per
AUDIT-0034	Zhu 2022	V34_B1_033	PONV	Postoperative vomiting incidence	0–6 h after surgery	Events/total	100.0	101.0					6.0	17.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per
AUDIT-0035	Zhu 2022	V34_B1_034	PONV	Nausea severity score	0–6 h after surgery	Mean/SD	100.0	101.0	0.14	0.53	0.46	0.95			4-point Likert-type severity scale 0-3	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0036	Zhu 2022	V34_B1_035	PONV	Vomiting severity score	0–6 h after surgery	Mean/SD	100.0	101.0	0.11	0.47	0.36	0.79			4-point Likert-type severity scale 0-3	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0037	Zhu 2022	V34_B1_036	Rescue antiemetic	Participants requiring metoclopramide rescue antiemetic	0–6 h after surgery	Events/total	100.0	101.0					4.0	18.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metocl
AUDIT-0038	Zhu 2022	V34_B1_037	PONV	Nausea severity score	6–24 h after surgery	Mean/SD	101.0	101.0	0.22	0.66	0.5	0.88			4-point Likert-type severity scale 0-3	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0039	Zhu 2022	V34_B1_038	PONV	Vomiting severity score	6–24 h after surgery	Mean/SD	101.0	101.0	0.12	0.53	0.41	0.8			4-point Likert-type severity scale 0-3	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0040	Zhu 2022	V34_B1_039	Rescue antiemetic	Participants requiring metoclopramide rescue antiemetic	6–24 h after surgery	Events/total	101.0	101.0					8.0	28.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metocl
AUDIT-0041	Zhu 2022	V34_B1_040	PONV	Nausea severity score	6–24 h after surgery	Mean/SD	98.0	101.0	0.34	0.76	0.5	0.88			4-point Likert-type severity scale 0-3	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0042	Zhu 2022	V34_B1_041	PONV	Vomiting severity score	6–24 h after surgery	Mean/SD	98.0	101.0	0.15	0.54	0.41	0.8			4-point Likert-type severity scale 0-3	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0043	Zhu 2022	V34_B1_042	Rescue antiemetic	Participants requiring metoclopramide rescue antiemetic	6–24 h after surgery	Events/total	98.0	101.0					16.0	28.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metocl
AUDIT-0044	Zhu 2022	V34_B1_043	PONV	Nausea severity score	6–24 h after surgery	Mean/SD	100.0	101.0	0.2	0.6	0.5	0.88			4-point Likert-type severity scale 0-3	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0045	Zhu 2022	V34_B1_044	PONV	Vomiting severity score	6–24 h after surgery	Mean/SD	100.0	101.0	0.2	0.67	0.41	0.8			4-point Likert-type severity scale 0-3	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0046	Zhu 2022	V34_B1_045	Rescue antiemetic	Participants requiring metoclopramide rescue antiemetic	6–24 h after surgery	Events/total	100.0	101.0					9.0	28.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metocl
AUDIT-0047	Zhu 2022	V34_B1_046	PONV	Postoperative nausea incidence	24–48 h after surgery	Events/total	101.0	101.0					2.0	7.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per
AUDIT-0048	Zhu 2022	V34_B1_047	PONV	Postoperative vomiting incidence	24–48 h after surgery	Events/total	101.0	101.0					1.0	5.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per
AUDIT-0049	Zhu 2022	V34_B1_048	PONV	Nausea severity score	24–48 h after surgery	Mean/SD	101.0	101.0	0.04	0.28	0.12	0.45			4-point Likert-type severity scale 0-3	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0050	Zhu 2022	V34_B1_049	PONV	Vomiting severity score	24–48 h after surgery	Mean/SD	101.0	101.0	0.02	0.2	0.08	0.37			4-point Likert-type severity scale 0-3	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.
AUDIT-0051	Zhu 2022	V34_B1_050	Rescue antiemetic	Participants requiring metoclopramide rescue antiemetic	24–48 h after surgery	Events/total	101.0	101.0					1.0	7.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metocl
AUDIT-0052	Zhu 2022	V34_B1_051	PONV	Postoperative nausea incidence	24–48 h after surgery	Events/total	98.0	101.0					2.0	7.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per
AUDIT-0053	Zhu 2022	V34_B1_052	PONV	Postoperative vomiting incidence	24–48 h after surgery	Events/total	98.0	101.0					2.0	5.0	participants	INCLUDE	Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per
