screening_sequence,covidence_number,title,first_author,publication_year,DOI,decision,primary_exclusion_reason,needs_human_review,uncertainty_reason,full_text_source_type,full_text_identity_verified,pdf_status,vote_registered,post_vote_timestamp,trial_registration,definitive_exclusion,record_type,participant_results_reported,randomized,randomization_method,adult_population,sample_size_randomized,sample_size_analysed,country,surgery_type,operative_surgery,general_anaesthesia,anaesthesia_description,modality,intervention_description,acupuncture_points,stimulation_frequency,stimulation_intensity,stimulation_duration,electrical_stimulation_confirmed,therapeutic_stimulation,first_treatment_timing,timing_eligible,number_of_sessions,comparator,background_care_balanced,intervention_effect_separable,clinical_outcomes,opioid_outcome_reported,opioid_24h_reported,pain_reported,PONV_reported,adverse_events_reported,possible_companion_report,companion_identifiers,evidence_pages,evidence_summary,pdf_accessible,interface_issue,notes,full_text_source_description,full_text_url_or_identifier,pdf_saved,pdf_attached_to_covidence,retrieval_timestamp,pdf_local_path,qc_incident_type,qc_incident_status,qc_full_article_local_path
11,83,Efficacy of preoperative transcutaneous electrical acupoint stimulation in reducing postoperative delirium in older adults undergoing orthopedic surgery: a randomized controlled trial.,Sun,2025,10.3389/fneur.2025.1668610,INCLUDE,not_applicable,yes,Mixed anaesthetic techniques were used and outcomes were not reported separately by general-anaesthesia subgroup.,,,,yes,2026-08-09T15:01:35+02:00,ChiCTR-INR-17012951,no,primary randomized participant-results report,yes,yes,Computer/R-generated 1:1 allocation,yes; age >65,608,592,China,Elective orthopedic surgery,yes,mixed; some participants received spinal anaesthesia,"Propofol/remifentanil GA; lower-limb procedures could receive spinal anaesthesia, with GA plus regional block when spinal was contraindicated; upper-limb procedures received GA plus brachial plexus block.",TEAS,Surface-electrode TEAS at bilateral ST36-LR3 and LI4-PC6 twice daily for three preoperative days plus 30 min starting 30 min before induction.,"Bilateral ST36, LR3, LI4 and PC6",2/100 Hz dispersed-dense,Maximum tolerable,30 min per session,yes,yes,3 days preoperatively,yes,7,Visually identical modified device with no current on same schedule,yes,yes,Postoperative delirium through day 5; cognition; sleep; pain; inflammatory/brain-injury biomarkers,yes; postoperative sufentanil PCIA and rescue pethidine described,unclear,yes,no,unclear,no,ChiCTR-INR-17012951,"PDF p.2, Methods/Participants: prospective randomized trial in adults >65 undergoing elective orthopedic surgery. | PDF p.3, Intervention: bilateral ST36/LR3/LI4/PC6 TEAS 2/100 Hz, maximum tolerable intensity, seven 30-min preoperative sessions versus no-current sham. | PDF p.3, Anaesthesia: mixed spinal and general anaesthesia depending on surgical site; no outcome stratification by anaesthetic technique reported. | PDF p.3, Endpoints: postoperative delirium through day 5 plus cognitive, sleep and pain outcomes. | PDF p.4, Results: 608 randomized and 592 analyzed.","Randomized therapeutic TEAS trial with eligible clinical outcomes; retained because some patients clearly underwent GA, but mixed spinal/GA outcome separability is unresolved and was flagged for human review rather than used for exclusion.",yes; Covidence-hosted 9-page PDF,none,Sensitivity-first retention under the protocol; requires adjudication of mixed-anaesthesia eligibility.,,,,,,,,,
245,465,Effect of early electroacupuncture intervention on conscious state of patients after traumatic brain injury surgery,"Liu, J.",2020,10.13703/j.0255-2930.20190506-0005,INCLUDE,not applicable,yes,"Age, GA and exact interval from surgery to first EA are absent.",covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,EA,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,"100 postoperative traumatic-coma patients were randomized to EA plus medical care or medical care alone. | EA 2/100 Hz, 0.1-5 mA at PC6/GV26 was given daily for 14 days; the report calls intervention early but omits exact start.",Potentially eligible randomized perioperative EA report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 245; CNKI not used.,,DOI 10.13703/j.0255-2930.20190506-0005; PMID 32394653,no,no,2026-08-11T10:34:00+02:00,,,,
246,478,Effect of electroacupuncture on rehabilitation of knee joint movement after anterior cruciate ligament reconstruction,"Ding, L.B.",2020,10.13703/j.0255-2930.20190213-00014,INCLUDE,not applicable,yes,"Age, GA and first-session timing are absent.",covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,EA,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,"Patients after ACL reconstruction were randomized to rehabilitation alone or rehabilitation plus EA. | EA 2/100 Hz, 2-5 mA at recognized lower-limb points was given twice daily for seven days; exact postoperative start is omitted.",Potentially eligible randomized perioperative EA report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 246; CNKI not used.,,DOI 10.13703/j.0255-2930.20190213-00014; PMID 32100498,no,no,2026-08-11T10:34:00+02:00,,,,
247,521,Effects of perioperative transcutaneous electrical acupoint stimulation on postoperative analgesia in patients undergoing shoulder arthroscopic surgery,"Pan, L.P.",2019,10.13703/j.0255-2930.2019.01.004,INCLUDE,not applicable,yes,Participant ages are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,TEAS,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,"120 shoulder-arthroscopy patients under GA were randomized among preoperative acupoint, postoperative acupoint and sham-point TEAS schedules. | TEAS 2/100 Hz for 30 minutes at LI4/PC6 reduced 24-hour sufentanil use; modality-specific arms are separable.",Potentially eligible randomized perioperative TEAS report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 247; CNKI not used.,,DOI 10.13703/j.0255-2930.2019.01.004; PMID 30672250,no,no,2026-08-11T10:34:00+02:00,,,,
248,541,Application of Transcutaneous Electrical Acupoint Stimulation Combined with Transversus Abdominis Plane Block to Enhanced Recovery After Surgery in Patients Undergoing Laparoscopic Colorectal Cancer Resection,"Huang, W.",2018,10.13702/j.1000-0607.180005,INCLUDE,not applicable,yes,Participant ages and explicit GA wording are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,TEAS,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,"101 LCCR patients were randomized to control, TAP or TEAS+TAP; TAP versus TEAS+TAP isolates TEAS. | TEAS 2/10 Hz at bilateral ST36 began 30 minutes before anaesthesia and continued through surgery.",Potentially eligible randomized perioperative TEAS report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 248; CNKI not used.,,DOI 10.13702/j.1000-0607.180005; PMID 30365254,no,no,2026-08-11T10:34:00+02:00,,,,
249,560,Effects of transcutaneous electrical acupoint stimulation on quality of recovery during early period after laparoscopic cholecystectomy,"Mi, Z.",2018,10.13703/j.0255-2930.2018.03.007,INCLUDE,not applicable,yes,Participant ages are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,TEAS,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,"100 LC patients under endotracheal GA were randomized to TEAS or sham electrodes without current. | TEAS 2/100 Hz, 8-12 mA at LI4, PC6 and ST36-related sites ran from 30 minutes preinduction through surgery.",Potentially eligible randomized perioperative TEAS report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 249; CNKI not used.,,DOI 10.13703/j.0255-2930.2018.03.007; PMID 29701042,no,no,2026-08-11T10:34:00+02:00,,,,
251,578,Mechanism of acupoint transcutaneous electric stimulation on analgesic anesthesia in the patients undergoing general anesthesia anorectal operation,"Lin, Y.",2017,10.13703/j.0255-2930.2017.07.017,INCLUDE,not applicable,yes,Participant ages and exact stimulation start are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,TEAS,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,"156 anorectal-surgery patients under IV GA were randomized among GA-only and two acupoint TEAS configurations. | Surface electrical stimulation at PC6, HT7, BL31/BL32 continued through the operation; exact start is not reported.",Potentially eligible randomized perioperative TEAS report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 251; CNKI not used.,,DOI 10.13703/j.0255-2930.2017.07.017; PMID 29231549,no,no,2026-08-11T10:34:00+02:00,,,,
252,579,Effects of transcutaneous electrical acupoint stimulation on treatment and prevention of postoperative sore throat after tracheal intubation under general anesthesia,"Wang, D.",2017,10.13703/j.0255-2930.2017.07.005,INCLUDE,not applicable,yes,Participant ages are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,TEAS,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,"100 thyroid-lobectomy patients under intubated GA were randomized to TEAS or sham no-current electrodes. | TEAS 2/100 Hz, 8-12 mA at LI4/PC6 ran from 30 minutes preinduction through surgery.",Potentially eligible randomized perioperative TEAS report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 252; CNKI not used.,,DOI 10.13703/j.0255-2930.2017.07.005; PMID 29231541,no,no,2026-08-11T10:34:00+02:00,,,,
253,583,Impacts of electroacupuncture at Zusanli and Feishu on postoperative inflammatory reaction and pulmonary complications in senile patients after radical resection of pulmonary carcinoma,"Liu, T.",2016,10.13703/j.0255-2930.2016.11.005,INCLUDE,not applicable,yes,"The senile population is adult, but GA is not explicitly stated.",covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,EA,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,80 elderly pulmonary-carcinoma resection patients were randomized to EA or no stimulation. | EA at ST36/BL13 began 30 minutes before operation and continued through surgery; pulmonary complications were reported.,Potentially eligible randomized perioperative EA report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 253; CNKI not used.,,DOI 10.13703/j.0255-2930.2016.11.005; PMID 29231295,no,no,2026-08-11T10:34:00+02:00,,,,
254,626,Clinical observation of gastrointestinal dysfunction after vascular surgery prevented by electroacupuncture,"Liu, M.",2016,10.13703/j.0255-2930.2016.10.010,INCLUDE,not applicable,yes,Participant ages are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,EA,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,60 vascular-surgery patients under the same GA were randomized to preoperative EA or control. | EA 15 Hz at ST36/ST37 with needles at PC6 was given twice one day before surgery.,Potentially eligible randomized perioperative EA report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 254; CNKI not used.,,DOI 10.13703/j.0255-2930.2016.10.010; PMID 29231523,no,no,2026-08-11T10:34:00+02:00,,,,
255,644,Clinical observation on controlling antihypertension with the general anesthesia of TEAS and anesthetics in endoscopic endonasal surgery,"Zhao, W.",2015,not reported,INCLUDE,not applicable,yes,Participant ages are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,TEAS,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,"60 elective endoscopic-endonasal-surgery patients under GA were randomized to TEAS or sham. | TEAS 2/100 Hz, 3-5 mA at LI4, ST36, SP6 and LI11 was delivered for 30 minutes before induction.",Potentially eligible randomized perioperative TEAS report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 255; CNKI not used.,,PMID 26964180,no,no,2026-08-11T10:34:00+02:00,,,,
256,655,Impacts of the transcutaneous electrical acupoint stimulation on EC50 in the remifentanil inhibition of tracheal intubation response,"Huang, X.",2015,not reported,INCLUDE,not applicable,yes,Participant ages are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,TEAS,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,40 elective-surgery patients under intubated IV GA were randomized to TEAS or sham no-current stimulation. | TEAS 2/100 Hz at bilateral LI4/PC6 was delivered for 30 minutes before induction.,Potentially eligible randomized perioperative TEAS report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 256; CNKI not used.,,PMID 26571899,no,no,2026-08-11T10:34:00+02:00,,,,
257,659,Impacts on oxidative stress in the patients with cardiac valve replacement treated with electroacupuncture at Neiguan,"Ma, F.",2015,not reported,INCLUDE,not applicable,yes,Participant ages and explicit GA wording are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,EA,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,50 valve-replacement patients were randomized to EA or control with the same anaesthesia. | EA at bilateral PC6 began 30 minutes before operation and continued through cardiopulmonary-bypass surgery.,Potentially eligible randomized perioperative EA report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 257; CNKI not used.,,PMID 26521589,no,no,2026-08-11T10:34:00+02:00,,,,
259,709,The anesthesiologic value of transcutaneous acupoint electrical stimulation combined with general intravenous anesthesia in endoscopic thyroidectomy patients,"Yan, Y.N.",2014,not reported,INCLUDE,not applicable,yes,Participant ages are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,TEAS,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,60 endoscopic-thyroidectomy patients were randomized to TEAS plus IV GA or IV GA alone. | TAES at bilateral LI4/PC6 ran from 30 minutes before induction through surgery.,Potentially eligible randomized perioperative TEAS report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 259; CNKI not used.,,PMID 24941841,no,no,2026-08-11T10:34:00+02:00,,,,
261,713,Effects of electroacupuncture on postoperative functional recovery in patients with gynaecological laparoscopic surgery,"Zhang, H.",2014,not reported,INCLUDE,not applicable,yes,Participant ages are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,EA,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,60 gynaecological laparoscopic patients were randomized to GA alone or EA plus GA. | EA 2 Hz at bilateral ST36/ST34 began 30 minutes before surgery and continued through operation.,Potentially eligible randomized perioperative EA report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 261; CNKI not used.,,PMID 24843973,no,no,2026-08-11T10:34:00+02:00,,,,
262,721,Electroacupuncture intervention combined with general anesthesia for heart valve replacement surgery under cardiopulmonary bypass,"Chi, H.",2014,not reported,INCLUDE,not applicable,yes,Participant ages are absent and the nonintubated GA strategy warrants confirmation.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,EA,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,"160 valve-replacement patients were randomized to routine GA or EA plus reduced-drug GA. | EA 3-4 Hz, 2.0-2.2 mA at LU1, LU5 and PC4 began about 20 minutes preoperatively.",Potentially eligible randomized perioperative EA report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 262; CNKI not used.,,PMID 24684103,no,no,2026-08-11T10:34:00+02:00,,,,
263,723,Impacts of different frequencies of electroacupuncture on cognitive function after abdominal operation,"Lin, S.Y.",2013,not reported,INCLUDE,not applicable,yes,Participant ages are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,separate EA and TEAS arms,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,"124 abdominal-surgery patients were randomized to GA-only, three needle-EA frequencies or a TEAS arm. | All stimulation arms began 30 minutes before endotracheal GA and continued through surgery; EA and TEAS are separately reported.",Potentially eligible randomized perioperative separate EA and TEAS arms report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 263; CNKI not used.,,PMID 24617242,no,no,2026-08-11T10:34:00+02:00,,,,
264,724,Effect of transcutaneous electrical stimulation of ST36 and ST34 combined with general anesthesia on pain and gastrointestinal symptoms in gynecological laparoscopic operation,"Yin, X.",2013,not reported,INCLUDE,not applicable,yes,"Participant ages, parameters and exact stimulation timing are absent.",covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:34:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,requires verification unless evidence states otherwise,,,China,,yes,yes or requires verification as stated,,TEAS,,,,,,yes,yes,,yes or uncertain as stated,,,,yes,,,,,,,,,"60 gynaecological laparoscopic patients were randomized to TAES plus GA or GA alone. | TAES at bilateral ST36/ST34 is explicit, but the abstract omits timing and electrical parameters.",Potentially eligible randomized perioperative TEAS report; included with any stated human-verification item.,,citation card disappeared after one Include click,Strict-batch sequence 264; CNKI not used.,,PMID 24579355,no,no,2026-08-11T10:34:00+02:00,,,,
