screening_sequence,covidence_number,title,first_author,publication_year,DOI,trial_registration,decision,primary_exclusion_reason,definitive_exclusion,needs_human_review,uncertainty_reason,record_type,participant_results_reported,randomized,randomization_method,adult_population,sample_size_randomized,sample_size_analysed,country,surgery_type,operative_surgery,general_anaesthesia,anaesthesia_description,modality,intervention_description,acupuncture_points,stimulation_frequency,stimulation_intensity,stimulation_duration,electrical_stimulation_confirmed,therapeutic_stimulation,first_treatment_timing,timing_eligible,number_of_sessions,comparator,background_care_balanced,intervention_effect_separable,clinical_outcomes,opioid_outcome_reported,opioid_24h_reported,pain_reported,PONV_reported,adverse_events_reported,possible_companion_report,companion_identifiers,evidence_pages,evidence_summary,pdf_accessible,vote_registered,post_vote_timestamp,interface_issue,notes
39,370,Transcutaneous Electrical Acupoint Stimulation Decreases the Incidence of Postoperative Nausea and Vomiting After Laparoscopic Non-gastrointestinal Surgery: A Multi-Center Randomized Controlled Trial.,Gao,2022,10.3389/fmed.2022.766244,NCT04043247,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,1:1 block randomization (block size 4) via electronic research system,yes; ages 18-50,1655,1655,China,Laparoscopic non-gastrointestinal surgery across 12 hospitals,yes,yes,"General anaesthesia with propofol, sufentanil and cisatracurium induction; remifentanil, cisatracurium, dexmedetomidine, sevoflurane and optional propofol maintenance with BIS 40-60.",TEAS,Bilateral PC6/ST36 surface TEAS using SDZ-V at 2/10 Hz and maximum tolerated intensity for 30 min after recovery from anaesthesia on the surgical day and again the next morning.,Bilateral PC6 and ST36,2/10 Hz,Maximum tolerated,30 min per session,yes,yes,PACU after recovery from anaesthesia on the surgical day,yes,2,Identical setup and manipulation with cut wire preventing current delivery,yes,yes,24-h PONV; nausea/vomiting severity; QoR-40; pain; dizziness/headache; electrolyte disturbance; 30-day complications,yes; intraoperative and 24-h analgesic-pump opioid data,yes,yes,yes,yes,no,NCT04043247,"[""PDF pp.3-4, Design/Randomization: 12-centre randomized trial of 1,655 adults undergoing laparoscopic surgery under general anaesthesia."",""PDF p.3, Intervention: bilateral PC6/ST36 surface TEAS at 2/10 Hz for 30 min after anaesthesia recovery and next morning versus cut-wire sham; balanced antiemetic care."",""PDF pp.5-7, Results: all 1,655 analyzed; 24-h PONV, pain, QoR, opioid-pump and complication outcomes reported.""]","Eligible large multicentre randomized postoperative TEAS trial after laparoscopic surgery under general anaesthesia with cut-wire sham and 24-hour PONV, pain, recovery and opioid outcomes.",yes; Covidence-hosted 10-page PDF,yes,2026-08-09T15:57:00+02:00,none,First treatment was in PACU on the surgical day; this is within the eligible perioperative window.
40,404,Transcutaneous electrical acupoint stimulation for postoperative cognitive dysfunction in geriatric patients with gastrointestinal tumor: a randomized controlled trial.,Xi,2021,10.1186/s13063-021-05534-9,NCT04606888,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,SPSS-generated 1:1 random numbers in sealed opaque envelopes,yes; geriatric patients,68,64,China,Radical gastrointestinal-tumour resection,yes,yes,"Tracheal-intubation general anaesthesia with midazolam, sufentanil and cisatracurium induction; sevoflurane, sufentanil, dexmedetomidine, cisatracurium and propofol maintenance with mechanical ventilation.",TEAS,"Bilateral PC6, GV29 and ST36 surface TEAS with SDZ-III, 2/100 Hz and <10 mA from 30 min before induction through surgery, plus one preoperative and three postoperative 30-min sessions.",Bilateral PC6 and ST36; GV29,2/100 Hz,<10 mA,30 min preoperative/postoperative sessions plus continuous intraoperative treatment,yes,yes,One day before operation,yes,5,Same acupoints and schedule without electrical stimulation,yes,yes,MMSE and POCD; inflammatory biomarkers; treatment adverse events,"yes; balanced sufentanil PCIA, not a measured consumption endpoint",no,no,yes; monitored as adverse event,yes,no,NCT04606888,"[""PDF pp.2-4, Design/Randomization: 68 geriatric gastrointestinal-tumour patients randomized by SPSS numbers and opaque envelopes."",""PDF pp.3-4, Anaesthesia/Intervention: tracheal-intubated GA; bilateral PC6/ST36 and GV29 TEAS at 2/100 Hz and <10 mA from one day preoperatively through POD3 versus no-current sham."",""PDF pp.5-6, Outcomes/Results: MMSE/POCD and adverse events; 64 analyzed.""]",Eligible randomized geriatric gastrointestinal-tumour surgery TEAS trial under intubated general anaesthesia with no-current sham and postoperative cognitive outcome.,yes; Covidence-hosted 10-page PDF,yes,2026-08-09T15:57:10+02:00,none,none
41,219,Intraoperative transcutaneous electroacupoint stimulation on early postoperative fatigue in patients with Parkinson's disease undergoing deep brain stimulation surgery.,Fu,2024,10.1016/j.heliyon.2024.e30012,not reported in accessible full text,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer-generated allocation table with sealed envelopes,yes; Parkinson disease patients,60,59,China,Two-stage subthalamic-nucleus deep-brain-stimulation surgery,yes,yes; all participants received standardized GA during stage 2,"Stage 1 electrode placement was awake under local anaesthesia with optional dexmedetomidine; every participant then received standardized stage-2 general anaesthesia with sufentanil, propofol, rocuronium, LMA, mechanical ventilation, sevoflurane and propofol/remifentanil.",TEAS,"Bilateral ST36/SP6 surface TEAS using SDZ-V, 2/10 Hz and 6-15 mA throughout stage 1 except microelectrode recording and throughout stage 2.",Bilateral ST36 and SP6,2/10 Hz,"6-15 mA, maximum tolerated",Across both surgical stages except during microelectrode recording,yes,yes,During stage 1 surgery before stage-2 general anaesthesia,yes,1,Identical surface electrodes connected to a disabled stimulator,yes,yes,Postoperative fatigue; QoR-15; MMSE; pain; PONV; rescue analgesics/antiemetics; anaesthetic use and emergence,yes; intraoperative remifentanil/sufentanil and postoperative rescue analgesia,yes; rescue analgesic use recorded postoperatively,yes,yes,yes,no,DOI 10.1016/j.heliyon.2024.e30012,"[""Publisher full-text HTML, Abstract and Methods §§2.2-2.4: 60 participants randomized by computer table/sealed envelopes to bilateral ST36/SP6 TEAS at 2/10 Hz and 6-15 mA or disabled-stimulator control."",""Publisher full-text HTML, Methods §§2.5-2.6: all participants underwent awake/local stage 1 followed by standardized LMA general anaesthesia for stage 2; TEAS continued across both stages except microelectrode recording."",""Publisher full-text HTML, Methods §§2.7-2.8 and Results: fatigue, pain, QoR-15, cognition, PONV, rescue medication and anaesthetic consumption; 59 analyzed.""]","Eligible randomized DBS-surgery TEAS trial: although stage 1 was awake, every participant underwent standardized general anaesthesia in stage 2, satisfying the mixed-anaesthesia rule, with disabled-stimulator control and clinical recovery outcomes.","no; complete publisher full-text HTML accessible, direct PDF not used",yes,2026-08-09T16:00:10+02:00,none,All participants met the GA criterion during stage 2; no subgroup inference was required.
42,424,Effects of Transcutaneous Electrical Acupoint Stimulation on Postoperative Cognitive Decline in Elderly Patients: A Pilot Study.,Liu,2021,10.2147/CIA.S309082,ChiCTR2000040397,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Online random-number table,yes; age 65 or older,100,100,China,Laparoscopic radical colon-cancer resection,yes,yes,"Fentanyl, propofol and cisatracurium induction with video-laryngoscope tracheal intubation; propofol/remifentanil TIVA and mechanical ventilation.",TEAS,"PC6, LI4 and ST36 surface TEAS at 2/100 Hz and maximum tolerated intensity from 30 min before induction through end of surgery.","PC6, LI4 and ST36",2/100 Hz,Maximum tolerated,30 min before induction through end of surgery,yes,yes,30 min before anaesthesia induction,yes,1,Same-position electrodes without electrical current,yes,yes,MMSE/POCD through POD3; 24-h pain VAS and analgesic-pump presses; length of stay,yes; intraoperative remifentanil and 24-h sufentanil PCIA presses,yes,yes,no,unclear,no,ChiCTR2000040397,"[""PDF pp.2-3, Methods: 100 older laparoscopic colon-cancer patients randomized online; PC6/LI4/ST36 TEAS at 2/100 Hz from 30 min pre-induction through surgery versus no-current electrodes."",""PDF p.3, Anaesthesia: video-laryngoscope tracheal intubation and propofol/remifentanil total intravenous GA."",""PDF pp.3-5, Outcomes/Results: MMSE/POCD, 24-h pain and PCIA presses; all 100 analyzed.""]","Eligible randomized older-adult laparoscopic colon-cancer TEAS trial under intubated general anaesthesia with no-current control and cognitive, pain and 24-hour analgesia outcomes.",yes; Covidence-hosted 9-page PDF,yes,2026-08-09T16:00:20+02:00,none,none
43,438,Effects of transcutaneous electrical acupoint stimulation on perioperative immune function and postoperative analgesia in patients undergoing radical mastectomy: A randomized controlled trial.,Ao,2021,10.3892/etm.2021.9615,ChiCTR1800017768,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Random-number generator with sequentially numbered sealed envelopes,yes; women ages 20-65,70,65,China,Elective radical mastectomy,yes,yes,"Sufentanil, propofol and cisatracurium induction with intubation; propofol/remifentanil maintenance with BIS 40-60 and extubation before PACU.",TEAS,"Bilateral LI4/PC6/ST36 TEAS at 2/100 Hz, 5-10 mA upper limbs and 10-30 mA lower limbs for 30 min before induction, at 4 and 12 h post-surgery, and three times daily on POD1-2.","Bilateral LI4, PC6 and ST36",2/100 Hz,5-10 mA upper limbs; 10-30 mA lower limbs; mild twitching/maximum tolerance,30 min per session,yes,yes,30 min before anaesthesia induction,yes,9,Same acupoint electrodes and schedule without electronic stimulation,yes,yes,Pain through 48 h; PCA opioid consumption and rescue presses; PONV; pruritus; dizziness; headache,yes; 48-h sufentanil PCA consumption,yes; measurements included 24 h,yes,yes,yes,no,ChiCTR1800017768,"[""PDF pp.2-3, Randomization/Protocol: 70 adults randomized by generator and sealed envelopes; bilateral LI4/PC6/ST36 TEAS at 2/100 Hz on a perioperative schedule versus no-current electrodes."",""PDF p.3, Anaesthesia: intubated propofol/remifentanil general anaesthesia with BIS 40-60."",""PDF pp.3-4, Outcomes/Results: pain, 48-h opioid PCA, rescue analgesia and PONV/adverse events; 65 analyzed.""]","Eligible randomized radical-mastectomy TEAS trial under intubated general anaesthesia with no-current sham and pain, opioid-consumption and PONV outcomes.",yes; Covidence-hosted 8-page PDF,yes,2026-08-09T16:00:30+02:00,none,none
44,441,"Transcutaneous Electrical Acupoint Stimulation Reduces Postoperative Analgesic Requirement in Patients Undergoing Inguinal Hernia Repair: A Randomized, Placebo-Controlled Study.",Szmit,2021,10.3390/jcm10010146,ISRCTN76428396,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,"Independent block randomization, 1:1:1",yes; ages 18-75,71,71,Poland,Elective inguinal hernia mesh repair,yes,yes,"Fentanyl, propofol and rocuronium induction with endotracheal intubation; sevoflurane maintenance and postoperative extubation.",TEAS,"Four portable stimulators at bilateral LI4 and two ipsilateral peri-incisional ashi points, alternating 2/100 Hz, 1.2-2.5 mA for 30 min every 2 h from PACU arrival through 24 h.",Bilateral LI4 and two ipsilateral peri-incisional ashi points,Alternating 2/100 Hz,1.2-2.5 mA; individualized to twitching/Deqi,30 min every 2 h through 24 h,yes,yes,PACU arrival after surgery,yes,Repeated every 2 h through 24 h,Flashing but inactive identical devices plus PCA; separate PCA-only arm,yes,yes,24-h morphine PCA dose; PCA demands/boluses; pain VAS; opioid adverse effects; supplemental medication; cortisol,yes; primary 24-h morphine dose,yes,yes,yes; opioid-related adverse effects,yes,no,ISRCTN76428396,"[""PDF pp.2-3, Design/Randomization: 71 adults randomized by independent block scheme to TEAS, inactive sham or PCA-only arms; elective hernia repair."",""PDF pp.3-5, Anaesthesia/Intervention: endotracheal sevoflurane GA; LI4/ashi TEAS at alternating 2/100 Hz and 1.2-2.5 mA from PACU through 24 h versus inactive identical devices."",""PDF p.6 and Results: primary 24-h morphine PCA dose, pain, PCA demands and opioid adverse effects reported.""]",Eligible randomized hernia-repair postoperative TEAS trial under intubated general anaesthesia with inactive-device sham and a primary 24-hour morphine-consumption outcome.,yes; Covidence-hosted 13-page PDF,yes,2026-08-09T16:00:40+02:00,none,none
45,449,"Effects of Transcutaneous Electrical Acupoint Stimulation on the Postoperative Sleep Quality and Pain of Patients After Video-Assisted Thoracoscopic Surgery: A Prospective, Randomized Controlled Trial.",Song,2020,10.2147/NSS.S270739,NCT04124679,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer-generated 1:1 sequence with sequentially numbered opaque envelopes,yes; ages 40-65,85,85,China,Elective video-assisted thoracoscopic surgery,yes,yes,"Propofol, sufentanil and cisatracurium induction with double-lumen orotracheal intubation and one-lung ventilation; propofol/remifentanil/sevoflurane maintenance.",TEAS,"HT7/PC6 TEAS the night before surgery and PC6/HT7/ST36/LI4 at end of surgery and subsequent nights, 2/10 Hz, 6-15 mA for 30 min per session.","Bilateral HT7, PC6, ST36 and LI4",2/10 Hz,"6-15 mA, maximum tolerated to minor twitching",30 min per session,yes,yes,Night before surgery,yes,4,Matched active low-frequency stimulation at nearby non-acupoints on the same schedule,yes,yes; acupoint-specific electrical stimulation contrast,Sleep efficiency/AIS; pain VAS through 24 h; PCA presses; PONV; dizziness; hypotension/bradycardia,yes; PCA presses and intraoperative sufentanil/remifentanil,yes,yes,yes,yes,no,NCT04124679,"[""PDF pp.2-3, Design/Randomization: 85 thoracoscopic-surgery patients randomized by computer sequence and opaque envelopes."",""PDF pp.2-3, Anaesthesia/Intervention: double-lumen intubated GA; HT7/PC6/ST36/LI4 TEAS at 2/10 Hz and 6-15 mA on a perioperative schedule versus matched non-acupoint stimulation."",""PDF pp.3-6, Outcomes/Results: sleep, pain, 24-h PCA presses, PONV and other adverse effects; ITT n=85.""]","Eligible randomized thoracoscopic-surgery acupoint-specific TEAS trial under intubated general anaesthesia with matched non-acupoint electrical control and sleep, pain, opioid-use and PONV outcomes.",yes; Covidence-hosted 10-page PDF,yes,2026-08-09T16:00:50+02:00,none,Active non-acupoint stimulation permits an acupoint-specific effect contrast and was not treated as a definite exclusion.
46,537,Transcutaneous electrical acupoint stimulation for prevention of postoperative delirium in geriatric patients with silent lacunar infarction: a preliminary study.,Gao,2018,10.2147/CIA.S183698,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Random-number table,yes; age 65 or older,64,64,China,Spine surgery,yes,yes,"Sufentanil, midazolam, etomidate and cisatracurium induction with tracheal intubation; propofol/remifentanil maintenance with BIS 40-60.",TEAS,Bilateral LI4/PC6 surface TEAS at 2/100 Hz and maximum tolerated intensity from 30 min before induction through end of surgery.,Bilateral LI4 and PC6,2/100 Hz,Maximum tolerated without discomfort,30 min before induction through end of surgery,yes,yes,30 min before anaesthesia induction,yes,1,Same acupoint electrodes without current,yes,yes,Postoperative delirium through POD3; 24-h pain/rescue analgesia; intraoperative propofol and remifentanil,yes; intraoperative remifentanil and postoperative sufentanil/rescue analgesia,yes,yes,"yes; prophylaxis described, outcome not primary",unclear,no,DOI 10.2147/CIA.S183698,"[""PDF pp.2-3, Participants/Randomization: 64 older spine-surgery patients with silent lacunar infarction randomized by number table."",""PDF pp.3-4, Anaesthesia/Intervention: intubated propofol/remifentanil GA; bilateral LI4/PC6 TEAS at 2/100 Hz from 30 min pre-induction through surgery versus no-current electrodes."",""PDF pp.4-5, Outcomes/Results: delirium, intraoperative remifentanil/propofol and 24-h pain/rescue analgesia; all 64 analyzed.""]",Eligible randomized geriatric spine-surgery TEAS trial under intubated general anaesthesia with no-current control and delirium plus opioid-use outcomes.,yes; Covidence-hosted 8-page PDF,yes,2026-08-09T16:01:00+02:00,none,none
47,542,Electroacupuncture Improves Cerebral Vasospasm and Functional Outcome of Patients With Aneurysmal Subarachnoid Hemorrhage.,Sun,2018,10.3389/fnins.2018.00724,not reported,INCLUDE,not_applicable,no,yes,The report includes both endovascular coiling and surgical clipping but never states the anaesthetic technique or provides outcome data separable by anaesthesia type; general anaesthesia therefore cannot be established.,primary randomized participant-results report,yes,yes,Computer-algorithm allocation,yes; age over 18,60,60,China,Intracranial aneurysm operative treatment by endovascular coiling or surgical clipping,yes,unclear,No anaesthetic technique or airway management reported; both coiling and clipping procedures were represented.,EA,"GV20 needle electroacupuncture using HANS100A, 2 Hz, increased to 5 mA for 30 min on postoperative days 1, 3, 5 and 7.",GV20,2 Hz,"5 mA, increased according to pain threshold",30 min per session,yes,yes,Within 24 h after aneurysm treatment/postoperative day 1,yes,4,Standard medical treatment without EA; abstract describes mock transcutaneous stimulation but Methods states no EA treatment,yes,yes,Cerebral vasospasm measures and Glasgow Outcome Scale at 1 and 3 months,no,no,no,no,unclear,no,DOI 10.3389/fnins.2018.00724,"[""PDF pp.1-2, Design/Participants: 60 adults after aneurysm treatment randomized by computer algorithm to EA or control; both endovascular coiling and clipping represented."",""PDF p.2, Intervention: GV20 needle EA at 2 Hz and 5 mA for 30 min on postoperative days 1, 3, 5 and 7 with balanced medical therapy."",""PDF pp.4-5, Results: cerebral perfusion/vasospasm and 1- and 3-month functional outcomes for all 60 participants; anaesthetic technique is nowhere reported.""]","Randomized postoperative EA trial after operative aneurysm treatment with eligible stimulation, comparator and functional outcome; retained sensitivity-first with human-review flag because general anaesthesia and subgroup separability are not established.",yes; Covidence-hosted 8-page PDF,yes,2026-08-09T16:01:10+02:00,none,NEEDS_HUMAN_REVIEW — anaesthesia type not explicitly reported; no subgroup information invented.
48,617,Electroacupuncture for the prevention of postoperative gastrointestinal dysfunction in participants undergoing vascular laparotomy under general anesthesia: a randomized controlled trial.,Liu,2017,10.1186/s13020-016-0122-9,ChiCTR-TRC-13003649,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,SAS computer-generated allocation with numbered opaque sealed envelopes,yes; age 18 or older,43,42,China,Open vascular laparotomy,yes,yes,All enrolled participants were specified to undergo vascular laparotomy under general anaesthesia; detailed drug/airway protocol not reported.,EA,"Needle EA at bilateral PC6, ST36 and ST37 with Deqi, 15 Hz continuous wave for 20 min twice within 24 h before surgery.","Bilateral PC6, ST36 and ST37",15 Hz,Deqi; numeric current not reported,20 min per session,yes,yes,Within 24 h before surgery,yes,2,Routine treatment without acupuncture; identical postoperative care,yes,yes,Postoperative abdominal distension; time to flatus/defecation; hospital stay; opioid dosage; adverse events,yes; perioperative opioid dose recorded,no,no,no,yes,no,ChiCTR-TRC-13003649,"[""PDF pp.1-3, Design/Randomization: adult open vascular-laparotomy participants under GA randomized by computer list and opaque envelopes."",""PDF pp.3-4, Intervention: bilateral PC6/ST36/ST37 needle EA with Deqi at 15 Hz for 20 min twice within 24 h preoperatively versus no acupuncture with matched postoperative care."",""PDF pp.4-6, Outcomes/Results: abdominal distension, bowel recovery, stay and opioid dose; 43 recruited/randomized and 42 completed.""]",Eligible randomized preoperative needle-electroacupuncture trial in adult vascular laparotomy explicitly under general anaesthesia with routine-care control and gastrointestinal recovery/opioid outcomes.,yes; Covidence-hosted 8-page PDF,yes,2026-08-09T16:02:00+02:00,none,none
49,1138,"Transcutaneous electrical acupoint stimulation before induction of anesthesia reduces sufentanil-induced cough: a randomized, controlled trial.",Xie,2021,10.22514/sv.2021.024,ChiCTR-INR-16008759,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Randomization table with allocation determined by remainder into five groups,yes; ages 20-75,300,300,China,Elective surgery under general anaesthesia,yes,yes,"Sufentanil followed by propofol and rocuronium induction, endotracheal intubation and general anaesthesia; maintenance details not reported.",TEAS,Four TEAS arms received bilateral LI4/PC6 or ST36/SP6 surface stimulation at 2 or 100 Hz for 30 min before induction.,Bilateral LI4/PC6 or ST36/SP6 by randomized arm,2 Hz or 100 Hz,not reported,30 min before induction,yes,yes,30 min before anaesthesia induction,yes,1,No-TEAS control,yes,yes,Incidence and severity of sufentanil-induced cough; haemodynamics and acute adverse reactions during induction,yes; standardized sufentanil challenge and opioid-induced adverse effect,no,no,yes; acute nausea/vomiting monitored,yes,no,ChiCTR-INR-16008759,"[""PDF pp.1-2, Design/Participants: 300 adults undergoing elective surgery under GA randomized by table to four TEAS regimens or no TEAS."",""PDF p.2, Intervention/Anaesthesia: bilateral LI4/PC6 or ST36/SP6 TEAS at 2 or 100 Hz for 30 min pre-induction; standardized sufentanil/propofol/rocuronium induction with endotracheal intubation."",""PDF pp.2-3, Outcomes/Results: sufentanil-induced cough incidence/severity and acute adverse reactions for all 300 participants.""]",Eligible randomized pre-induction TEAS trial in adult surgery under endotracheal general anaesthesia with no-TEAS control and a clinically relevant opioid-induced adverse-event outcome.,yes; Covidence-hosted 5-page PDF,yes,2026-08-09T16:02:10+02:00,none,none
50,426,Perioperative Electroacupuncture Can Accelerate the Recovery of Gastrointestinal Function in Cancer Patients Undergoing Pancreatectomy or Gastrectomy: A Randomized Controlled Trial.,Qiu,2021,10.1155/2021/5594263,NCT03291574,INCLUDE,not_applicable,no,yes,The complete full report does not explicitly state the anaesthetic technique or airway management; general anaesthesia cannot be inferred solely from pancreatectomy or gastrectomy.,primary randomized participant-results report,yes,yes,Concealed scratch-card randomization; assessors/statisticians blinded,yes; adults undergoing cancer surgery,461,385,China,Pancreatectomy or gastrectomy,yes,unclear,Anaesthetic technique and airway management not explicitly reported in the complete article.,EA,"Needle EA with Deqi at GV20, unilateral PC6, bilateral ST25 and ST36 using KWD808-I, alternating 2-50 Hz at 2 mA for about 20 min daily before and after surgery.","GV20, unilateral PC6, bilateral ST25 and ST36",Alternating 2-50 Hz,2 mA,Approximately 20 min daily,yes,yes,Before surgery; exact preoperative day not stated,yes,Daily perioperative sessions; exact count varied,Nonpenetrating blunt placebo needles with internally disconnected wire/no current on the same schedule,yes,yes,Time to first flatus and defecation; independent walking; hospital stay; gastrointestinal recovery score; complications,no,no,no,yes; nausea/vomiting included in GI recovery score,yes,no,NCT03291574,"[""Complete PMC full-text HTML, Abstract/Methods §2.3: 461 patients randomized by concealed cards to EA or control; 385 analyzed."",""Complete PMC full-text HTML, Methods §§2.3-2.4: nonpenetrating no-current sham; GV20/PC6/ST25/ST36 needle EA with Deqi at 2-50 Hz and 2 mA for about 20 min daily before and after surgery."",""Complete PMC full-text HTML, Methods §2.5/Results: flatus, defecation, walking, stay, GI recovery and complications; anaesthetic technique is not stated.""]",Randomized adult cancer-surgery needle-EA trial with credible nonpenetrating/no-current sham and clinical gastrointestinal recovery outcomes; retained sensitivity-first with human-review flag because general anaesthesia is unreported.,yes; complete PMC full-text HTML and downloadable PDF available,yes,2026-08-09T16:07:15+02:00,none,"NEEDS_HUMAN_REVIEW — anaesthesia type not explicitly reported; no inference made solely from pancreatectomy/gastrectomy. #1920 had been fully reviewed as a possible final decision but was no longer present in the Covidence vote-required queue, so no decision was cast for it."
