lock_id,target,endpoint_stratum,study,comparison_id,intervention,comparator,outcome,time_window,data_type,n_i,n_c,mean_i,sd_i,median_i,q1_i,q3_i,events_i,mean_c,sd_c,median_c,q1_c,q3_c,events_c,unit,reported_p,derived_effect_measure,derived_effect,rob_overall,include_strict,include_sensitivity,narrative_only,author_priority,p1_disposition,analysis_action,overlap_family,hold_reason,shared_control_issue,source_qc,record_status,source_url,v34_record_id
,V34_NEW_RESULT,Pain — cough,Lu 2022,V34_B1_121,TEAS,Control,VAS at cough,24 h after surgery,Median/range,47.0,47.0,,,5.8,,,,,,5.5,,,,VAS 0-10,0.94,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,,"Table header states median (min, max).","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0122
,V34_NEW_RESULT,Pain — rest,Lu 2022,V34_B1_122,TEAS,Control,VAS at rest,48 h after surgery,Median/range,47.0,47.0,,,1.2,,,,,,1.6,,,,VAS 0-10,0.80,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,,"Table header states median (min, max).","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0123
,V34_NEW_RESULT,Pain — cough,Lu 2022,V34_B1_123,TEAS,Control,VAS at cough,48 h after surgery,Median/range,47.0,47.0,,,5.0,,,,,,5.0,,,,VAS 0-10,0.98,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,,"Table header states median (min, max).","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0124
,V34_NEW_RESULT,Pain — rest,Lu 2022,V34_B1_124,TEAS,Control,VAS at rest,72 h after surgery,Median/range,47.0,47.0,,,0.6,,,,,,1.0,,,,VAS 0-10,0.05,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,,"Table header states median (min, max).","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0125
,V34_NEW_RESULT,Pain — cough,Lu 2022,V34_B1_125,TEAS,Control,VAS at cough,72 h after surgery,Median/range,47.0,47.0,,,3.5,,,,,,4.0,,,,VAS 0-10,0.33,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,,"Table header states median (min, max).","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0126
,V34_NEW_RESULT,PONV composite,Lu 2022,V34_B1_126,TEAS,Control,PONV incidence,24 h after surgery,Events/total,47.0,47.0,,,,,,30.0,,,,,,22.0,participants,0.17,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,The paper reports these as PONV at each assessment time; it does not state that these are cumulative non-overlapping intervals.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0127
,V34_NEW_RESULT,PONV composite,Lu 2022,V34_B1_127,TEAS,Control,PONV incidence,48 h after surgery,Events/total,47.0,47.0,,,,,,10.0,,,,,,9.0,participants,0.76,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,The paper reports these as PONV at each assessment time; it does not state that these are cumulative non-overlapping intervals.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0128
,V34_NEW_RESULT,PONV composite,Lu 2022,V34_B1_128,TEAS,Control,PONV incidence,72 h after surgery,Events/total,47.0,47.0,,,,,,8.0,,,,,,4.0,participants,0.23,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,The paper reports these as PONV at each assessment time; it does not state that these are cumulative non-overlapping intervals.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0129
,V34_NEW_RESULT,QoR-15,Lu 2022,V34_B1_129,TEAS,Control,QoR-15 score,24 h after surgery,Median/range,47.0,47.0,,,54.5,,,,,,59.0,,,,QoR-15 points,0.01,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",,"Major internal conflict: Results prose reports 24-h QoR-15 as 50.5 (IQR 42.3–61.8) vs 44.5 (IQR 35.0–57.0), P=0.04, whereas Table 3 reports the values in this row and labels them median (min,max). Both locations should be preserved; this extraction uses the table per protocol.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0130
,V34_NEW_RESULT,QoR-15,Lu 2022,V34_B1_130,TEAS,Control,QoR-15 score,48 h after surgery,Median/range,47.0,47.0,,,59.0,,,,,,62.0,,,,QoR-15 points,0.35,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,,"Table header states median (min, max).","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0131
,V34_NEW_RESULT,QoR-15,Lu 2022,V34_B1_131,TEAS,Control,QoR-15 score,72 h after surgery,Median/range,47.0,47.0,,,67.0,,,,,,67.0,,,,QoR-15 points,0.75,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,,"Table header states median (min, max).","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0132
,V34_NEW_RESULT,PCA/PCIA button presses,Lu 2022,V34_B1_132,TEAS,Control,PCA attempts,48 h after surgery,Median/range,47.0,47.0,,,13.0,,,,,,26.0,,,,PCA attempts,0.002,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,,Counts of button attempts; not opioid dose.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0133
,V34_NEW_RESULT,PCA deliveries / bolus count,Lu 2022,V34_B1_133,TEAS,Control,Successful PCA deliveries,48 h after surgery,Median/range,47.0,47.0,,,7.0,,,,,,16.5,,,,PCA deliveries,0.001,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,,Number of PCA deliveries; not opioid dose.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0134
,V34_NEW_RESULT,PCA/PCIA button presses,Lu 2022,V34_B1_134,TEAS,Control,PCA attempts,72 h after surgery,Median/range,47.0,47.0,,,13.0,,,,,,24.5,,,,PCA attempts,0.002,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,,Counts of button attempts; not opioid dose.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0135
,V34_NEW_RESULT,PCA deliveries / bolus count,Lu 2022,V34_B1_135,TEAS,Control,Successful PCA deliveries,72 h after surgery,Median/range,47.0,47.0,,,7.0,,,,,,16.5,,,,PCA deliveries,0.003,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,,Number of PCA deliveries; not opioid dose.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0136
,V34_NEW_RESULT,GI — oral intake,Lu 2022,V34_B1_136,TEAS,Control,Time to first oral intake of water,Postoperative,Mean/SD,47.0,47.0,33.5,22.3,,,,,28.9,17.5,,,,,hours,0.28,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,NOT REPORTED,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,AUDIT-0137
,V34_NEW_RESULT,PONV composite,Li 2021,V34_B1_138,Group T — TEAS,Group S — sham,PONV occurrence,6 h post-OP,Events/total,140.0,140.0,,,,,,51.0,,,,,,100.0,participants,0.000**,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,These are assessment-time PONV occurrence counts as printed; the article does not relabel them as cumulative 0–x-hour windows.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,AUDIT-0139
,V34_NEW_RESULT,Pain — unspecified context,Li 2021,V34_B1_139,Group T — TEAS,Group S — sham,Participants with postoperative VAS score ≥4,12 h post-OP,Events/total,140.0,140.0,,,,,,45.0,,,,,,54.0,participants,0.261,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,"This is a dichotomized VAS threshold, not a continuous VAS score.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,AUDIT-0140
,V34_NEW_RESULT,PONV composite,Li 2021,V34_B1_140,Group T — TEAS,Group S — sham,PONV occurrence,12 h post-OP,Events/total,140.0,140.0,,,,,,54.0,,,,,,81.0,participants,0.001**,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,These are assessment-time PONV occurrence counts as printed; the article does not relabel them as cumulative 0–x-hour windows.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,AUDIT-0141
,V34_NEW_RESULT,Pain — unspecified context,Li 2021,V34_B1_141,Group T — TEAS,Group S — sham,Participants with postoperative VAS score ≥4,9 am on day 1,Events/total,140.0,140.0,,,,,,14.0,,,,,,6.0,participants,0.063,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,"This is a dichotomized VAS threshold, not a continuous VAS score.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,AUDIT-0142
,V34_NEW_RESULT,PONV composite,Li 2021,V34_B1_142,Group T — TEAS,Group S — sham,PONV occurrence,9 am on day 1,Events/total,140.0,140.0,,,,,,81.0,,,,,,66.0,participants,0.073,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,These are assessment-time PONV occurrence counts as printed; the article does not relabel them as cumulative 0–x-hour windows.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,AUDIT-0143
,V34_NEW_RESULT,Pain — unspecified context,Li 2021,V34_B1_143,Group T — TEAS,Group S — sham,Participants with postoperative VAS score ≥4,3 pm on day 1,Events/total,140.0,140.0,,,,,,26.0,,,,,,25.0,participants,0.877,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,"This is a dichotomized VAS threshold, not a continuous VAS score.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,AUDIT-0144
,V34_NEW_RESULT,PONV composite,Li 2021,V34_B1_144,Group T — TEAS,Group S — sham,PONV occurrence,3 pm on day 1,Events/total,140.0,140.0,,,,,,36.0,,,,,,66.0,participants,0.000**,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,These are assessment-time PONV occurrence counts as printed; the article does not relabel them as cumulative 0–x-hour windows.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,AUDIT-0145
,V34_NEW_RESULT,Pain — unspecified context,Li 2021,V34_B1_145,Group T — TEAS,Group S — sham,Participants with postoperative VAS score ≥4,9 am on day 2,Events/total,140.0,140.0,,,,,,4.0,,,,,,0.0,participants,0.122,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,"This is a dichotomized VAS threshold, not a continuous VAS score.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,AUDIT-0146
,V34_NEW_RESULT,PONV composite,Li 2021,V34_B1_146,Group T — TEAS,Group S — sham,PONV occurrence,9 am on day 2,Events/total,140.0,140.0,,,,,,50.0,,,,,,56.0,participants,0.460,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,These are assessment-time PONV occurrence counts as printed; the article does not relabel them as cumulative 0–x-hour windows.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,AUDIT-0147
,V34_NEW_RESULT,Pain — unspecified context,Li 2021,V34_B1_147,Group T — TEAS,Group S — sham,Participants with postoperative VAS score ≥4,3 pm on day 2,Events/total,140.0,140.0,,,,,,7.0,,,,,,7.0,participants,1.000,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,"This is a dichotomized VAS threshold, not a continuous VAS score.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,AUDIT-0148
,V34_NEW_RESULT,PONV composite,Li 2021,V34_B1_148,Group T — TEAS,Group S — sham,PONV occurrence,3 pm on day 2,Events/total,140.0,140.0,,,,,,55.0,,,,,,55.0,participants,1.000,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,These are assessment-time PONV occurrence counts as printed; the article does not relabel them as cumulative 0–x-hour windows.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,AUDIT-0149
,V34_NEW_RESULT,LOS,Li 2021,V34_B1_149,Group T — TEAS,Group S — sham,Length of postoperative hospital stay,From date of surgery to discharge,Mean/SD,140.0,140.0,6.2,3.3,,,,,8.1,3.6,,,,,days,<0.01,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Table 6 uses ** and footnote **P <0.01 vs group S rather than a numeric exact P value.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,AUDIT-0150
,V34_NEW_RESULT,Pain — unspecified context,Gu 2019,V34_B2_001,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),VAS pain intensity,4 h,Mean/SD,58.0,59.0,2.79,0.48,,,,,3.41,0.62,,,,,VAS 0-10,<0.05,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Exact P value is not printed; source reports P<0.05.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NCXaZLL5HOq_1vsb7FT_TPpikBkG_BLo/view?usp=drivesdk,AUDIT-0151
,V34_NEW_RESULT,Pain — unspecified context,Gu 2019,V34_B2_002,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),VAS pain intensity,8 h,Mean/SD,58.0,59.0,2.65,0.42,,,,,3.17,0.49,,,,,VAS 0-10,<0.05,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Exact P value is not printed; source reports P<0.05.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NCXaZLL5HOq_1vsb7FT_TPpikBkG_BLo/view?usp=drivesdk,AUDIT-0152
,V34_NEW_RESULT,Pain — unspecified context,Gu 2019,V34_B2_003,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),VAS pain intensity,16 h,Graph only,58.0,59.0,,,,,,,,,,,,,VAS 0-10,No between-group significance marker in Figure 3,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,No new graph digitization; historical digitized data require their original validation before pooling.,,No exact numeric values are printed; do not estimate from bar height.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NCXaZLL5HOq_1vsb7FT_TPpikBkG_BLo/view?usp=drivesdk,AUDIT-0153
,V34_NEW_RESULT,Pain — unspecified context,Gu 2019,V34_B2_004,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),VAS pain intensity,36 h,Graph only,58.0,59.0,,,,,,,,,,,,,VAS 0-10,No between-group significance marker in Figure 3,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,No new graph digitization; historical digitized data require their original validation before pooling.,,No exact numeric values are printed; do not estimate from bar height.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NCXaZLL5HOq_1vsb7FT_TPpikBkG_BLo/view?usp=drivesdk,AUDIT-0154
,V34_NEW_RESULT,PCIA solution volume,Gu 2019,V34_B2_005,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),Cumulative multimodal PCIA solution consumed,16 h,Graph only,58.0,59.0,,,,,,,,,,,,,mL of multimodal PCIA solution,No between-group significance marker in Figure 4,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,No new graph digitization; historical digitized data require their original validation before pooling.,,"No exact numeric 16-h value is printed. PCIA contains sufentanil plus dexmedetomidine, flurbiprofen and palonosetron; do not label solution volume as pure opioid mass.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NCXaZLL5HOq_1vsb7FT_TPpikBkG_BLo/view?usp=drivesdk,AUDIT-0155
,V34_NEW_RESULT,PONV composite,Gu 2019,V34_B2_006,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),Any postoperative nausea and/or vomiting (PONV),Postoperative follow-up; exact window not stated,Events/total,58.0,59.0,,,,,,7.0,,,,,,19.0,participants,<0.05,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",,"Results text reports 12% vs 32.2%; these match 7/58 and 19/59. The exact observation window is not stated, although discussion says most PONV occurred within 24 h.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NCXaZLL5HOq_1vsb7FT_TPpikBkG_BLo/view?usp=drivesdk,AUDIT-0156
,V34_NEW_RESULT,Patient satisfaction,Gu 2019,V34_B2_007,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),Very satisfied,36 h postoperatively,Events/total,58.0,59.0,,,,,,32.0,,,,,,9.0,participants,0.00*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,"Table 4 category counts are internally coherent, but Results text reports 'moderately satisfied and above' 67.3% vs 42.4%, which does not reconcile with the table. Do not use that composite without adjudication.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NCXaZLL5HOq_1vsb7FT_TPpikBkG_BLo/view?usp=drivesdk,AUDIT-0157
,V34_NEW_RESULT,Patient satisfaction,Gu 2019,V34_B2_008,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),Satisfied,36 h postoperatively,Events/total,58.0,59.0,,,,,,19.0,,,,,,32.0,participants,0.02*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,"Table 4 category counts are internally coherent, but Results text reports 'moderately satisfied and above' 67.3% vs 42.4%, which does not reconcile with the table. Do not use that composite without adjudication.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NCXaZLL5HOq_1vsb7FT_TPpikBkG_BLo/view?usp=drivesdk,AUDIT-0158
,V34_NEW_RESULT,Patient satisfaction,Gu 2019,V34_B2_009,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),Moderately satisfied,36 h postoperatively,Events/total,58.0,59.0,,,,,,7.0,,,,,,16.0,participants,0.04*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,"Table 4 category counts are internally coherent, but Results text reports 'moderately satisfied and above' 67.3% vs 42.4%, which does not reconcile with the table. Do not use that composite without adjudication.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NCXaZLL5HOq_1vsb7FT_TPpikBkG_BLo/view?usp=drivesdk,AUDIT-0159
,V34_NEW_RESULT,Patient satisfaction,Gu 2019,V34_B2_010,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),Not satisfied,36 h postoperatively,Events/total,58.0,59.0,,,,,,0.0,,,,,,2.0,participants,0.16,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,"Table 4 category counts are internally coherent, but Results text reports 'moderately satisfied and above' 67.3% vs 42.4%, which does not reconcile with the table. Do not use that composite without adjudication.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1NCXaZLL5HOq_1vsb7FT_TPpikBkG_BLo/view?usp=drivesdk,AUDIT-0160
,V34_NEW_RESULT,Pain — unspecified context,Huang 2025,V34_B2_011,Postoperative EA + ERAS,ERAS/standard care,VAS pain score,24 h,Median/range,43.0,45.0,,,5.0,,,,,,6.0,,,,VAS 0-10,<0.001,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,,"Table explicitly labels dispersion as min-max, not IQR.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1Pds-8nLj18yvRm3C7eQHq5fZ8rRhecQ0/view?usp=drivesdk,AUDIT-0161
,V34_NEW_RESULT,Pain — unspecified context,Huang 2025,V34_B2_012,Postoperative EA + ERAS,ERAS/standard care,VAS pain score,48 h,Median/range,43.0,45.0,,,3.0,,,,,,4.0,,,,VAS 0-10,<0.001,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,,"Table explicitly labels dispersion as min-max, not IQR.","SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1Pds-8nLj18yvRm3C7eQHq5fZ8rRhecQ0/view?usp=drivesdk,AUDIT-0162
