Canonical study,Comparison ID,Intervention arm,Comparator arm,Outcome family,Outcome/result,Timepoint/window,Data type,Randomized n intervention,Randomized n comparator,Analyzed n intervention,Analyzed n comparator,Mean intervention,SD intervention,Median intervention,Q1 intervention,Q3 intervention,Events intervention,Mean comparator,SD comparator,Median comparator,Q1 comparator,Q3 comparator,Events comparator,Unit/scale,Reported P,Directly reported?,Derived/converted?,Derived effect measure,Derived effect,Exact 0-24 h postoperative opioid?,Primary opioid meta-analysis eligible?,Other analysis eligibility,Shared-control / multi-arm issue,Source-QC issue,Source location,Source PDF URL,Record status,V34 record ID,V34 audit row,V34 disposition,Raw statistic intervention,Raw dispersion intervention,Raw statistic comparator,Raw dispersion comparator,Minimum intervention,Maximum intervention,Minimum comparator,Maximum comparator,IQR width intervention,IQR width comparator,Analysis population,V34 source filename,V34 source quote,V34 eligibility,V34 eligibility reason,V34 RoB2 status,V34 endpoint class,V34 modality,V34 comparator class,V34 time class
Yang 2020,V34_B1_091,EA group,UC group,Pain,Dynamic pain VAS,48–72 h after surgery,Median/IQR,30.0,29.0,29.0,28.0,,,3.0,3.0,3.0,,,,3.0,3.0,3.0,,VAS 0-10,0.079,Yes,No,,,No,No,NARRATIVE ONLY — Median and original dispersion preserved; no mean/SD conversion or MD pooling.,No (preserve trial strata where specified),"The paper labels these as static and dynamic pain, not rest/movement with further operational detail.",e920648-6; Table 4,https://drive.google.com/file/d/1hsQR_K6W-5QNP4rqkVxHQaopRp4f1XF0/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0092,92,NOT_ANALYSIS_ELIGIBLE,3,3–3,3,3–3,,,,,,,Available-case,covidence_464_verified.pdf,48–72 h after surgery: Dynamic pain VAS* 3 (3–3) 3 (3–3) 0.079,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,Pain — movement/activity,EA,Usual care,48-72h after surgery
Yang 2020,V34_B1_092,EA group,UC group,Functional recovery,Time to out-of-bed activity,Postoperative,Mean/SD,30.0,29.0,29.0,28.0,11.2,1.0,,,,,13.0,3.5,,,,,hours,0.5,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),NOT REPORTED,e920648-6; Table 4,https://drive.google.com/file/d/1hsQR_K6W-5QNP4rqkVxHQaopRp4f1XF0/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0093,93,ADDED,11.2,1.0,13,3.5,,,,,,,Available-case,covidence_464_verified.pdf,Time to out-of-bed activity (h)# 11.2±1.0 13±3.5 0.5,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Functional recovery,EA,Usual care,postoperative
Yang 2020,V34_B1_093,EA group,UC group,Length of stay,Hospital stay,Postoperative hospitalization,Mean/SD,30.0,29.0,29.0,28.0,6.1,2.15,,,,,6.5,2.05,,,,,days,0.442,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),NOT REPORTED,e920648-6; Table 4,https://drive.google.com/file/d/1hsQR_K6W-5QNP4rqkVxHQaopRp4f1XF0/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0094,94,ADDED,6.1,2.15,6.5,2.05,,,,,,,Available-case,covidence_464_verified.pdf,Hospital stay (d)# 6.1±2.15 6.5±2.05 0.442,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,LOS,EA,Usual care,postoperative hospitalization
Pan 2023,V34_B1_094,Group T — TEAS,Group C — control,Pain,NRS in the mobile state,1 h after operation,Other (describe),52.0,53.0,52.0,53.0,,,,,,,,,,,,,NRS 0-10,0.04*,Yes,No,,,No,No,"HOLD — Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",No (preserve trial strata where specified),Results text specifies the NRS was assessed 'while in the mobile state'. Table prints parenthetical values but does not label them as SD/IQR in Table 7; statistic type therefore left as Other (describe).,p. 815; Table 7,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0095,95,AMBIGUOUS_HOLD,2,1.4,3,2.4,,,,,,,Unstated,getfile.php-4.pdf,NRS 1h 2 (1.4) 3 (2.4) 0.04*,HOLD,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",ROB2_RESULT_SPECIFIC_PENDING,Pain — movement/activity,TEAS,Usual care,1h after operation
Pan 2023,V34_B1_095,Group T — TEAS,Group C — control,Pain,NRS in the mobile state,24 h after operation,Other (describe),52.0,53.0,52.0,53.0,,,,,,,,,,,,,NRS 0-10,0.00*,Yes,No,,,No,No,"HOLD — Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",No (preserve trial strata where specified),Results text specifies the NRS was assessed 'while in the mobile state'. Table prints parenthetical values but does not label them as SD/IQR in Table 7; statistic type therefore left as Other (describe).,p. 815; Table 7,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0096,96,AMBIGUOUS_HOLD,2,2.3,3,3.4,,,,,,,Unstated,getfile.php-4.pdf,NRS 24h 2 (2.3) 3 (3.4) 0.00*,HOLD,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",ROB2_RESULT_SPECIFIC_PENDING,Pain — movement/activity,TEAS,Usual care,24 h point
Pan 2023,V34_B1_096,Group T — TEAS,Group C — control,Pain,Resting pain,Postoperative,Other (describe),52.0,53.0,52.0,53.0,,,,,,,,,,,,,NRS 0-10,NOT REPORTED,Yes,No,,,No,No,NOT REPORTED — Accessed source does not supply the requested numerical result.,No (preserve trial strata where specified),A separate resting-pain outcome is not reported.,pp. 810–816; Methods + Tables 6–7,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0097,97,NOT_REPORTED_ADDED,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,,,,,,,Unstated,getfile.php-4.pdf,The NRS score while in the mobile state was significantly lower in Group T at 1 hour and at 24 hours after operation (Table 7).,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,Pain — rest,TEAS,Usual care,postoperative
Pan 2023,V34_B1_097,Group T — TEAS,Group C — control,Pain,PACU highest NRS score,PACU,Other (describe),52.0,53.0,52.0,53.0,,,,,,,,,,,,,NRS 0-10,0.00*,Yes,No,,,No,No,"HOLD — Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",No (preserve trial strata where specified),The table does not define the parenthetical statistic for this row; do not assume SD or IQR.,p. 815; Table 6,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0098,98,AMBIGUOUS_HOLD,0,0.1,0,0.2,,,,,,,Unstated,getfile.php-4.pdf,PACU highest NRS score 0 (0.1) 0 (0.2) 0.00*,HOLD,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",ROB2_RESULT_SPECIFIC_PENDING,Pain — unspecified context,TEAS,Usual care,pacu
Pan 2023,V34_B1_098,Group T — TEAS,Group C — control,PONV,Vomiting incidence,1 h after operation,Events/total,52.0,53.0,52.0,53.0,,,,,,2.0,,,,,,3.0,participants,0.66,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),The table reports counts and rounded percentages.,p. 815; Table 7,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0099,99,ADDED,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,,,,,,,Unstated,getfile.php-4.pdf,Vomiting at 1h 2 (4) 3 (6) 0.66,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Vomiting,TEAS,Usual care,1h after operation
Pan 2023,V34_B1_099,Group T — TEAS,Group C — control,PONV,Vomiting incidence,Within 24 h after operation,Events/total,52.0,53.0,52.0,53.0,,,,,,9.0,,,,,,19.0,participants,0.03*,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),The table reports counts and rounded percentages.,p. 815; Table 7,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0100,100,ADDED,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,,,,,,,Unstated,getfile.php-4.pdf,Vomiting at 24h 9 (17) 19 (36) 0.03*,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Vomiting,TEAS,Usual care,within 24h after operation
Pan 2023,V34_B1_100,Group T — TEAS,Group C — control,PONV,Nausea incidence,Within 24 h after operation,Other (describe),52.0,53.0,52.0,53.0,,,,,,,,,,,,,participants,NOT REPORTED,Yes,No,,,No,No,NOT REPORTED — Accessed source does not supply the requested numerical result.,No (preserve trial strata where specified),Nausea is discussed generally but is not separately tabulated as an incidence outcome.,p. 815; Table 7,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0101,101,NOT_REPORTED_ADDED,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,,,,,,,Unstated,getfile.php-4.pdf,"Table 7 Comparison of NRS, the Incidence of Vomiting and Utilization Rate of Analgesic and Antiemetic Drugs in 24h Between the Two Groups",NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,Nausea,TEAS,Usual care,within 24h after operation
Pan 2023,V34_B1_101,Group T — TEAS,Group C — control,Rescue analgesia,Participants using analgesic drugs,Within 24 h after operation,Events/total,52.0,53.0,52.0,53.0,,,,,,19.0,,,,,,23.0,participants,0.47,Yes,No,,,No,No,"HOLD — Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",No (preserve trial strata where specified),"The table reports use of analgesic drugs, not a drug dose or opioid amount.",p. 815; Table 7,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0102,102,AMBIGUOUS_HOLD,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,,,,,,,Unstated,getfile.php-4.pdf,Analgesic drugs (n%) 19 (37) 23 (43) 0.47,HOLD,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",ROB2_RESULT_SPECIFIC_PENDING,Rescue analgesia — drug class unresolved,TEAS,Usual care,within 24h after operation
Pan 2023,V34_B1_102,Group T — TEAS,Group C — control,Rescue antiemetic,Participants using antiemetic drugs,Within 24 h after operation,Events/total,52.0,53.0,52.0,53.0,,,,,,25.0,,,,,,34.0,participants,0.10,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),NOT REPORTED,p. 815; Table 7,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0103,103,ADDED,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,,,,,,,Unstated,getfile.php-4.pdf,Antiemetic drugs (n%) 25 (48) 34 (64) 0.10,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Rescue antiemetic,TEAS,Usual care,within 24h after operation
Pan 2023,V34_B1_103,Group T — TEAS,Group C — control,Rescue medication,Utilization of remedial drugs in PACU,PACU,Events/total,52.0,53.0,52.0,53.0,,,,,,10.0,,,,,,18.0,participants,0.09,Yes,No,,,No,No,"HOLD — Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",No (preserve trial strata where specified),Table 6 does not specify which remedial drug(s) were used.,p. 815; Table 6,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0104,104,AMBIGUOUS_HOLD,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,,,,,,,Unstated,getfile.php-4.pdf,"The utilization rate of remedial drugs in PACU (n,%) 10 (19) 18 (34) 0.09",HOLD,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",ROB2_RESULT_SPECIFIC_PENDING,Functional recovery — PACU,TEAS,Usual care,pacu
Pan 2023,V34_B1_104,Group T — TEAS,Group C — control,Functional recovery,Time of respiratory recovery,PACU/recovery,Mean/SD,52.0,53.0,52.0,53.0,10.2,2.7,,,,,10.9,3.7,,,,,minutes,0.22,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),NOT REPORTED,p. 815; Table 6,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0105,105,ADDED,10.2,2.7,10.9,3.7,,,,,,,Unstated,getfile.php-4.pdf,Time of respiratory recovery 10.2±2.7 10.9±3.7 0.22,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Functional recovery,TEAS,Usual care,pacu/recovery
Pan 2023,V34_B1_105,Group T — TEAS,Group C — control,Functional recovery,Time of conscious,PACU/recovery,Mean/SD,52.0,53.0,52.0,53.0,10.7,2.7,,,,,11.3,3.8,,,,,minutes,0.28,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),NOT REPORTED,p. 815; Table 6,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0106,106,ADDED,10.7,2.7,11.3,3.8,,,,,,,Unstated,getfile.php-4.pdf,Time of conscious 10.7±2.7 11.3±3.8 0.28,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Functional recovery,TEAS,Usual care,pacu/recovery
Pan 2023,V34_B1_106,Group T — TEAS,Group C — control,Functional recovery,Time of extubation,PACU/recovery,Mean/SD,52.0,53.0,52.0,53.0,11.4,3.0,,,,,12.1,3.8,,,,,minutes,0.27,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),NOT REPORTED,p. 815; Table 6,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0107,107,ADDED,11.4,3.0,12.1,3.8,,,,,,,Unstated,getfile.php-4.pdf,Time of extubation 11.4±3.0 12.1±3.8 0.27,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Functional recovery,TEAS,Usual care,pacu/recovery
Pan 2023,V34_B1_107,Group T — TEAS,Group C — control,Functional recovery,PACU Aldrete score,PACU,Mean/SD,52.0,53.0,52.0,53.0,8.8,0.8,,,,,8.9,0.8,,,,,Aldrete points,0.79,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),NOT REPORTED,p. 815; Table 6,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0108,108,ADDED,8.8,0.8,8.9,0.8,,,,,,,Unstated,getfile.php-4.pdf,PACU Aldrete score 8.8±0.8 8.9±0.8 0.79,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Functional recovery — PACU,TEAS,Usual care,pacu
Pan 2023,V34_B1_108,Group T — TEAS,Group C — control,Functional recovery,PACU retention time,PACU,Mean/SD,52.0,53.0,52.0,53.0,50.9,20.9,,,,,52.7,17.6,,,,,minutes,0.62,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),NOT REPORTED,p. 815; Table 6,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0109,109,ADDED,50.9,20.9,52.7,17.6,,,,,,,Unstated,getfile.php-4.pdf,PACU retention time 50.9±20.9 52.7±17.6 0.62,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Functional recovery — PACU,TEAS,Usual care,pacu
Pan 2023,V34_B1_109,Group T — TEAS,Group C — control,Length of stay,Postoperative hospitalization time,Postoperative hospitalization,Mean/SD,52.0,53.0,52.0,53.0,4.1,2.3,,,,,4.1,1.5,,,,,days,0.88,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),NOT REPORTED,p. 816; Table 9,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0110,110,ADDED,4.1,2.3,4.1,1.5,,,,,,,Unstated,getfile.php-4.pdf,Postoperative hospitalization time 4.1±2.3 4.1±1.5 0.88,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,LOS,TEAS,Usual care,postoperative hospitalization
Pan 2023,V34_B1_110,Group T — TEAS,Group C — control,Functional recovery,First postoperative water intake time,Postoperative,Median/IQR,52.0,53.0,52.0,53.0,,,698.0,389.8,900.5,,,,698.0,494.5,946.0,,minutes,0.33,Yes,No,,,No,No,NARRATIVE ONLY — Median and original dispersion preserved; no mean/SD conversion or MD pooling.,No (preserve trial strata where specified),NOT REPORTED,p. 816; Table 9,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0111,111,NOT_ANALYSIS_ELIGIBLE,698.0,"389.8,900.5",698.0,"494.5,946.0",,,,,,,Unstated,getfile.php-4.pdf,"First postoperative water intake time (min) 698.0 (389.8,900.5) 698.0 (494.5,946.0) 0.33",NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,GI — oral intake,TEAS,Usual care,postoperative
Pan 2023,V34_B1_111,Group T — TEAS,Group C — control,Functional recovery,First solid food tolerance time,Postoperative,Median/IQR,52.0,53.0,52.0,53.0,,,1207.5,998.5,1414.5,,,,1328.0,1133.5,1521.5,,minutes,0.02*,Yes,No,,,No,No,NARRATIVE ONLY — Median and original dispersion preserved; no mean/SD conversion or MD pooling.,No (preserve trial strata where specified),NOT REPORTED,p. 816; Table 9,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0112,112,NOT_ANALYSIS_ELIGIBLE,1207.5,"998.5,1414.5",1328.0,"1133.5,1521.5",,,,,,,Unstated,getfile.php-4.pdf,"First solid food tolerance time (min) 1207.5 (998.5,1414.5) 1328.0 (1133.5,1521.5) 0.02*",NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,GI — diet tolerance,TEAS,Usual care,postoperative
Pan 2023,V34_B1_112,Group T — TEAS,Group C — control,Functional recovery,Removing the catheter time,Postoperative,Median/IQR,52.0,53.0,52.0,53.0,,,1389.0,1015.0,2505.3,,,,1375.0,1148.5,2400.0,,minutes,0.76,Yes,No,,,No,No,NARRATIVE ONLY — Median and original dispersion preserved; no mean/SD conversion or MD pooling.,No (preserve trial strata where specified),NOT REPORTED,p. 816; Table 9,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0113,113,NOT_ANALYSIS_ELIGIBLE,1389.0,"1015.0,2505.3",1375.0,"1148.5,2400.0",,,,,,,Unstated,getfile.php-4.pdf,"Removing the catheter time (min) 1389.0 (1015.0,2505.3) 1375.0 (1148.5,2400.0) 0.76",NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,Functional recovery,TEAS,Usual care,postoperative
Pan 2023,V34_B1_113,Group T — TEAS,Group C — control,Functional recovery,First postoperative implantation activity time,Postoperative,Median/IQR,52.0,53.0,52.0,53.0,,,1253.0,992.8,1496.3,,,,1360.0,1019.0,1526.0,,minutes,0.40,Yes,No,,,No,No,"HOLD — Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",No (preserve trial strata where specified),"The source literally prints 'implantation activity'; this appears likely to be a wording error, but it is preserved verbatim and not silently corrected.",p. 816; Table 9,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0114,114,AMBIGUOUS_HOLD,1253.0,"992.8,1496.3",1360.0,"1019.0,1526.0",,,,,,,Unstated,getfile.php-4.pdf,"First postoperative implantation activity time (min) 1253.0 (992.8,1496.3) 1360.0 (1019.0,1526.0) 0.40",HOLD,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",ROB2_RESULT_SPECIFIC_PENDING,Functional recovery,TEAS,Usual care,postoperative
Pan 2023,V34_B1_114,Group T — TEAS,Group C — control,Quality of recovery,Physical comfort,24 h after operation,Mean/SD,52.0,53.0,52.0,53.0,54.6,2.8,,,,,52.3,3.6,,,,,QoR-40 points,0.00*,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),NOT REPORTED,p. 816; Table 10,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0115,115,ADDED,54.6,2.8,52.3,3.6,,,,,,,Unstated,getfile.php-4.pdf,Physical comfort 54.6±2.8 52.3±3.6 0.00*,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,QoR-40 subscale,TEAS,Usual care,24 h point
Pan 2023,V34_B1_115,Group T — TEAS,Group C — control,Quality of recovery,Emotional state,24 h after operation,Mean/SD,52.0,53.0,52.0,53.0,41.7,2.3,,,,,39.7,2.9,,,,,QoR-40 points,0.00*,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),NOT REPORTED,p. 816; Table 10,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0116,116,ADDED,41.7,2.3,39.7,2.9,,,,,,,Unstated,getfile.php-4.pdf,Emotional state 41.7±2.3 39.7±2.9 0.00*,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,QoR-40 subscale,TEAS,Usual care,24 h point
Pan 2023,V34_B1_116,Group T — TEAS,Group C — control,Quality of recovery,Physical independence,24 h after operation,Mean/SD,52.0,53.0,52.0,53.0,20.9,3.3,,,,,20.4,3.1,,,,,QoR-40 points,0.37,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),NOT REPORTED,p. 816; Table 10,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0117,117,ADDED,20.9,3.3,20.4,3.1,,,,,,,Unstated,getfile.php-4.pdf,Physical independence 20.9±3.3 20.4±3.1 0.37,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,QoR-40 subscale,TEAS,Usual care,24 h point
Pan 2023,V34_B1_117,Group T — TEAS,Group C — control,Quality of recovery,Psychological support,24 h after operation,Mean/SD,52.0,53.0,52.0,53.0,32.5,2.3,,,,,32.0,1.9,,,,,QoR-40 points,0.19,Yes,No,,,No,No,"INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",No (preserve trial strata where specified),NOT REPORTED,p. 816; Table 10,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",AUDIT-0118,118,ADDED,32.5,2.3,32.0,1.9,,,,,,,Unstated,getfile.php-4.pdf,Psychological support 32.5±2.3 32.0±1.9 0.19,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,QoR-40 subscale,TEAS,Usual care,24 h point
