"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"245","897","Electro-acupuncture efficacy on pain control after mandibular third molar surgery.","Tavares","2007","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Mandibular third-molar surgery was performed under local anaesthesia and EA included auricular points.","No general anaesthesia; auricular component also excluded.","high","primary_results","yes","no","yes","Systemic and auricular EA","Contralateral untreated surgery","yes","not_applicable","no","yes","","yes","no","no","no","yes","2026-07-26T11:27:43.929Z","none",""
"246","898","Transcutaneous electrical nerve stimulation at the PC-5 and PC-6 acupoints reduced the severity of hypotension after spinal anaesthesia in patients undergoing Caesarean section.","Arai","2007","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Cesarean delivery was performed under spinal anaesthesia.","Neuraxial anaesthesia only.","high","primary_results","yes","no","yes","TENS at PC5/PC6","No treatment and nonpoint TENS","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:28:15.956Z","none",""
"247","900","Short-term efficacy of physical interventions in osteoarthritic knee pain. A systematic review and meta-analysis of randomised placebo-controlled trials.","Bjordal","2007","English","yes","No","EXCLUDE_PUBLICATION_TYPE","The record is a systematic review and meta-analysis.","Secondary review publication.","high","systematic_review","no","no","no","Physical interventions for knee OA","Various placebos","unclear","not_applicable","no","no","","yes","no","no","no","yes","2026-07-26T11:28:16.757Z","none",""
"248","901","Acupuncture for vascular dementia.","Peng","2007","English","yes","No","EXCLUDE_PUBLICATION_TYPE","The record is a systematic review of acupuncture for vascular dementia.","Secondary review publication.","high","systematic_review","no","no","no","Acupuncture/EA for dementia","Various","unclear","not_applicable","no","no","","yes","no","no","no","yes","2026-07-26T11:28:19.890Z","none",""
"249","902","Acupuncture as an adjunct for sedation during lithotripsy.","Wang","2007","English","yes","No","EXCLUDE_NON_SURGICAL","The study concerned lithotripsy rather than operative surgery and combined auricular with body acupuncture.","Non-operative procedure with inseparable auricular intervention.","high","primary_results","yes","no","yes","Auricular plus body EA","Combined sham","yes","not_applicable","no","yes","","yes","no","no","no","yes","2026-07-26T11:28:20.617Z","none",""
"250","903","[Effect of electroacupuncture at Hegu (LI 4) and Sanyinjiao (SP 6) on short-term adverse effects of drug-induced abortion].","Xu","2007","English","yes","No","EXCLUDE_NON_SURGICAL","EA was used to reduce adverse effects of medication-induced abortion.","Non-operative medical abortion.","high","primary_results","yes","no","yes","EA at LI4 and SP6","Medication only","yes","not_applicable","yes","no","","yes","no","no","no","yes","2026-07-26T11:28:23.737Z","none",""
"251","966","A prospective randomized study of electro-acupuncture versus alfentanil as anaesthesia during oocyte aspiration in in-vitro fertilization.","Stener-Victorin","1999","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Oocyte aspiration used paracervical block with EA or alfentanil rather than general anaesthesia.","No general anaesthesia and only an active drug comparator.","high","primary_results","yes","no","yes","EA plus paracervical block","Alfentanil plus paracervical block","no","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:29:56.061Z","none",""
"252","967","The use of nonpharmacologic techniques to prevent postoperative nausea and vomiting: a meta-analysis.","Lee","1999","English","yes","No","EXCLUDE_PUBLICATION_TYPE","The record is a meta-analysis of nonpharmacologic PONV interventions.","Secondary review publication.","high","meta_analysis","no","unclear","no","Multiple nonpharmacologic interventions","Various","unclear","not_applicable","no","unclear","","yes","no","no","no","yes","2026-07-26T11:29:59.240Z","none",""
"253","968","Effect of transcutaneous electrical nerve stimulation for pain relief on patients undergoing hemorrhoidectomy: prospective, randomized, controlled trial.","Chiu","1999","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","Randomized hemorrhoidectomy trial compared acupoint with nonpoint TENS and measured pain, morphine and complications, but anaesthetic technique and stimulation start are not stated.","An eligible general-anaesthesia and within-24-hour scenario is plausible.","low","primary_results","yes","unclear","yes","TENS at defined acupoints","Nonpoint TENS","yes","not_applicable","yes","unclear","Postoperative; exact first application not stated.","yes","no","no","no","yes","2026-07-26T11:30:00.125Z","none",""
"254","969","The effect of location of transcutaneous electrical nerve stimulation on postoperative opioid analgesic requirement: acupoint versus nonacupoint stimulation.","Chen","1998","English","yes","Yes","INCLUDE_CLEAR","Randomized abdominal hysterectomy/myomectomy trial under standardized general anaesthesia included postoperative ST36 TENS versus sham and measured opioid use and side effects.","Clear eligible postoperative TEAS RCT.","high","primary_results","yes","yes","yes","TENS at ST36","Sham TENS at ST36","yes","not_applicable","yes","yes","During the first 24 postoperative hours.","yes","no","no","no","yes","2026-07-26T11:30:01.267Z","none",""
"255","970","Introducing a placebo needle into acupuncture research.","Streitberger","1998","English","yes","No","EXCLUDE_PUBLICATION_TYPE","The article presents and tests a placebo needle methodology rather than an eligible perioperative RCT results report.","Methods/publication type outside review scope.","high","methods_paper","no","no","unclear","Placebo needle development","Acupuncture controls","unclear","not_applicable","no","no","","no","yes","no","no","yes","2026-07-26T11:30:02.300Z","none",""
"256","972","Effects of electrostimulation of the vagus afferent endings in patients with coronary artery disease.","Zamotrinsky","1997","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Preoperative stimulation was transauricular vagal electroacupuncture.","Auricular electrical acupuncture is explicitly excluded.","high","primary_results","yes","yes","unclear","Transauricular electrical vagal stimulation","Control group","unclear","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:30:03.358Z","none",""
"257","973","Effect of the intensity of transcutaneous acupoint electrical stimulation on the postoperative analgesic requirement.","Wang","1997","English","yes","Yes","INCLUDE_CLEAR","Randomized lower-abdominal surgery trial under standardized general anaesthesia compared postoperative high/low TAES with sham/PCA-only groups and measured hydromorphone and side effects.","Clear eligible postoperative TEAS RCT.","high","primary_results","yes","yes","yes","TAES at LI4 and peri-incisional locations","Sham TAES and PCA only","yes","not_applicable","yes","yes","Every two hours for 30 minutes while awake postoperatively.","yes","no","no","no","yes","2026-07-26T11:30:04.388Z","none",""
"258","974","Attenuation of the catecholamine responses by electroacupuncture on Jen-Chung point during postoperative recovery period in humans.","Tseng","1997","English","yes","Maybe","UNCERTAIN_RANDOMIZATION","EA at the Jen-Chung point was compared with placebo immediately after inhalational anaesthesia and recovery outcomes were recorded, but random allocation is not reported.","Otherwise eligible perioperative EA study; randomization requires full text.","medium","primary_results","yes","yes","unclear","EA at Jen-Chung point","Placebo treatment","yes","not_applicable","yes","yes","Immediately after cessation of inhalational anaesthesia.","yes","no","no","no","yes","2026-07-26T11:30:05.432Z","none",""
"259","975","[Clinical study of combined acupuncture-drug anesthesia for anterior approach cervical discectomy].","Li","1997","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","Randomized cervical discectomy trial used surface HANS stimulation at PC6/LI4 with drug anaesthesia, but the reported procaine-drug technique does not establish general anaesthesia.","General anaesthesia needs full-text confirmation.","low","primary_results","yes","unclear","yes","Surface electrical acupoint stimulation at PC6/LI4 plus drugs","Procaine plus drug anaesthesia","no","not_applicable","yes","yes","Thirty minutes before surgery.","yes","no","no","no","yes","2026-07-26T11:30:06.330Z","none",""
"260","976","A clinical study on physiological response in electroacupuncture analgesia and meperidine analgesia for colonoscopy.","Wang","1997","English","yes","No","EXCLUDE_NON_SURGICAL","The procedure was colonoscopy rather than operative surgery.","Non-operative endoscopy.","high","primary_results","yes","no","unclear","EA analgesia","Meperidine analgesia","no","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:30:07.033Z","none",""
"261","977","Acupuncture and postoperative vomiting in day-stay paediatric patients.","Schwager","1996","English","yes","No","EXCLUDE_POPULATION","Participants were paediatric day-surgery patients.","Paediatric-only population.","high","primary_results","yes","yes","yes","Transcutaneous stimulation of P6/LI4","No stimulation","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:30:10.168Z","none",""
"262","978","[Research of clinic and laboratory of face acupuncture effect and the exploration of their afferent pathways].","Zhang","1996","English","yes","No","EXCLUDE_WRONG_INTERVENTION","The report concerns face/body acupuncture and does not identify electrical stimulation of eligible needles or surface acupoints.","Manual/non-electrical acupuncture intervention.","high","primary_results","yes","unclear","unclear","Face/body acupuncture","Other acupuncture groups","unclear","not_applicable","no","yes","","yes","no","no","no","yes","2026-07-26T11:30:13.313Z","none",""
"263","979","[A report of standards about subtotal gastrectomy under acupuncture combined with peridural anesthesia in small dose of drug].","Qin","1996","English","no","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","The title identifies acupuncture combined with epidural anaesthesia and provides no eligible electrical modality.","Neuraxial anaesthesia and wrong intervention.","high","primary_results","yes","no","unclear","Acupuncture plus epidural","Unclear","unclear","not_applicable","no","unclear","","unclear","no","no","no","yes","2026-07-26T11:30:16.461Z","none",""
"264","980","[The effect of needleless electroacupuncture in general anesthesia during laparoscopic surgery].","Chiang","1995","English","yes","Yes","INCLUDE_CLEAR","Randomized gynecologic laparoscopy trial under intubated inhalational general anaesthesia compared intraoperative needleless EA at defined acupoints with control and measured isoflurane and recovery time.","Clear eligible intraoperative TEAS RCT.","high","primary_results","yes","yes","yes","Needleless electrical stimulation at GB34/ST36","Identical general anaesthesia without stimulation","yes","not_applicable","yes","yes","During surgery.","yes","no","no","no","yes","2026-07-26T11:30:17.151Z","none",""
"265","981","Electric acupuncture treatment of peripheral nerve injury.","Hao","1995","English","yes","No","EXCLUDE_NON_SURGICAL","The study treated peripheral nerve injury outside an operative perioperative episode.","Non-operative rehabilitation population.","high","primary_results","yes","no","unclear","Electrical acupuncture","Supportive medication","no","not_applicable","yes","no","","yes","no","no","no","yes","2026-07-26T11:30:17.842Z","none",""
"266","982","Transcutaneous electrical acupoint-stimulation potentiates the anesthetic effect of enflurane in humans.","Wang","1995","English","yes","Yes","INCLUDE_CLEAR","Randomized intubated craniotomy trial compared TEAS-supplemented enflurane anaesthesia with enflurane alone and measured anaesthetic requirement.","Clear eligible perioperative TEAS RCT.","high","primary_results","yes","yes","yes","TEAS at LI4, Yuyao and GB20","Enflurane anaesthesia alone","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:30:18.526Z","none",""
"267","983","[A comparison between the pain relief effect of electroacupuncture, regional never block and electroacupuncture plus regional never block in frozen shoulder].","Lin","1994","English","yes","No","EXCLUDE_NON_SURGICAL","The trial treated chronic frozen shoulder.","Non-operative chronic musculoskeletal population.","high","primary_results","yes","no","yes","EA and/or regional nerve block","Active nerve-block groups","no","not_applicable","yes","no","","yes","no","no","no","yes","2026-07-26T11:30:19.277Z","none",""
"268","984","[A study on combined acupuncture and enflurane anesthesia for craniotomy].","Wang","1994","English","yes","Yes","INCLUDE_CLEAR","Randomized craniotomy trial compared TAES-supplemented enflurane anaesthesia with enflurane alone and reported substantial anaesthetic reduction.","Clear eligible perioperative TEAS RCT.","high","primary_results","yes","yes","yes","TAES at LI4, Yuyao and GB20","Enflurane anaesthesia alone","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:30:19.943Z","none",""
"269","985","Electroacupuncture in anaesthesia for hysterectomy.","Christensen","1993","English","yes","Yes","INCLUDE_CLEAR","Prospective randomized hysterectomy trial under general anaesthesia compared pre/intraoperative EA with no EA and measured postoperative PCA use and pain.","Clear eligible perioperative EA RCT.","high","primary_results","yes","yes","yes","EA at classical points before and during surgery","General anaesthesia without EA","yes","not_applicable","yes","yes","Twenty minutes before incision through end of surgery.","yes","no","no","no","yes","2026-07-26T11:30:20.660Z","none",""
"270","986","Comparison of P6 acupoint injection with 50% glucose in water and intravenous droperidol for prevention of vomiting after gynecological laparoscopy.","Yang","1993","English","yes","No","EXCLUDE_WRONG_INTERVENTION","The intervention was glucose injection into P6, not electrical acupoint stimulation or needle EA.","Injection acupuncture is explicitly excluded.","high","primary_results","yes","yes","yes","P6 glucose injection","Intravenous droperidol","no","not_applicable","no","yes","","yes","no","no","no","yes","2026-07-26T11:30:21.744Z","none",""
"271","988","Effect of acupuncture on gastric acid secretion in healthy male volunteers.","Tougas","1992","English","yes","No","EXCLUDE_NON_SURGICAL","The randomized studies involved healthy male volunteers and gastric acid secretion.","Non-operative volunteer population.","high","primary_results","yes","no","yes","EA in healthy volunteers","Placebo acupuncture","yes","not_applicable","yes","no","","no","yes","no","no","yes","2026-07-26T11:31:41.794Z","none",""
"272","989","[Influence of different types of syndrome on the rising of excellent response rate in hernia repair with acupuncture anesthesia].","Li","1992","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Hernia repair used acupuncture anaesthesia and epidural controls without general anaesthesia.","No general anaesthesia.","high","primary_results","yes","no","unclear","Electroneedling at ST36/SP6 and incision edge","Epidural anaesthesia","no","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:31:42.543Z","none",""
"273","990","[Comparison between of acupuncture and epidural anesthesia in appendectomy].","Sun","1992","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Appendectomy compared acupuncture anaesthesia with epidural anaesthesia.","No general anaesthesia and only active anaesthetic comparator.","high","primary_results","yes","no","yes","Acupuncture at ST36","Epidural anaesthesia","no","not_applicable","unclear","yes","","yes","no","no","no","yes","2026-07-26T11:31:43.203Z","none",""
"274","991","Lack of influence of acupuncture and transcutaneous stimulation on the immunoglobulin levels and leucocyte counts following upper-abdominal surgery.","Kho","1991","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Upper-abdominal surgery used stimulation of ear and paravertebral points with fentanyl.","Auricular stimulation is excluded and the intervention is not separable.","high","primary_results","yes","yes","unclear","Ear/paravertebral stimulation","Moderate-dose fentanyl","no","not_applicable","no","yes","","no","yes","no","no","yes","2026-07-26T11:31:44.091Z","none",""
"275","992","Effects of auricular acupuncture-like transcutaneous electric nerve stimulation on pain levels following wound care in patients with burns: a pilot study.","Lewis","1990","English","yes","No","EXCLUDE_WRONG_INTERVENTION","The intervention was auricular acupuncture-like TENS during burn wound care.","Auricular stimulation is explicitly excluded; setting is non-operative wound care.","high","primary_results","yes","no","yes","Auricular TENS","Placebo pill","no","not_applicable","yes","no","","yes","no","no","no","yes","2026-07-26T11:31:44.977Z","none",""
"276","993","Electro-acupuncture and postoperative emesis.","Ho","1990","English","yes","Yes","INCLUDE_CLEAR","Randomized outpatient laparoscopy trial under intubated general anaesthesia included P6 EA and P6 transcutaneous stimulation arms versus no treatment and measured postoperative emesis.","Clear eligible perioperative EA/TEAS RCT with separable modality arms.","high","primary_results","yes","yes","yes","EA at P6 or transcutaneous P6 stimulation","No treatment","yes","not_applicable","yes","yes","Fifteen minutes in recovery room.","yes","no","no","no","yes","2026-07-26T11:31:45.852Z","none",""
"277","994","Effect of helium-neon laser auriculotherapy on experimental pain threshold.","King","1990","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Healthy volunteers received auricular laser stimulation.","Laser and auricular acupuncture are explicitly excluded.","high","primary_results","yes","no","yes","Auricular laser therapy","Sham laser","yes","not_applicable","yes","no","","no","yes","no","no","yes","2026-07-26T11:31:46.716Z","none",""
"278","995","[Clinical approaches to improvement of appendectomy effects under acupuncture anesthesia].","Chen","1990","English","yes","No","EXCLUDE_PUBLICATION_TYPE","The article is a descriptive discussion of appendectomy under acupuncture anaesthesia without a randomized participant comparison.","Non-RCT descriptive publication.","high","narrative_report","unclear","no","no","Acupuncture anaesthesia","None","unclear","not_applicable","unclear","yes","","yes","no","no","no","yes","2026-07-26T11:31:49.833Z","none",""
"279","996","[Application of acupuncture anesthesia during craniocerebral operation in temporo-fronto-occipital region].","Yan","1990","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Craniocerebral operations used combined ear and body acupuncture with medication; no separable eligible electrical modality is described.","Auricular/manual acupuncture intervention is excluded.","high","primary_results","yes","unclear","no","Ear and body acupuncture plus medication","Several active anaesthetic controls","no","not_applicable","no","yes","","yes","no","no","no","yes","2026-07-26T11:31:52.975Z","none",""
"280","997","[The relations between acupuncture analgesia and changes of concentration of serum metallic ion].","Ouyang","1990","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Thyroidectomy compared superficial cervical plexus block with electrical acupuncture stimulation.","Regional block/acupuncture anaesthesia without general anaesthesia.","high","primary_results","yes","no","yes","Electrical stimulation at LI4/PC6","Superficial cervical plexus block","no","not_applicable","yes","yes","","no","yes","no","no","yes","2026-07-26T11:31:56.108Z","none",""
"281","998","Studies on the enhanced effect of acupuncture analgesia and acupuncture anesthesia by D-phenylalanine (2nd report)--schedule of administration and clinical effects in low back pain and tooth extraction.","Kitade","1990","English","yes","No","EXCLUDE_NON_SURGICAL","The report concerns chronic low-back pain and tooth extraction.","No eligible operative general-anaesthesia population.","high","primary_results","yes","no","yes","Acupuncture plus D-phenylalanine","Placebo","no","not_applicable","no","no","","yes","no","no","no","yes","2026-07-26T11:31:59.258Z","none",""
"282","999","Effect of stimulation of the P6 antiemetic point on postoperative nausea and vomiting.","Dundee","1989","English","yes","Maybe","UNCERTAIN_INTERVENTION_SEPARABILITY","Women undergoing minor gynecologic operations received manual or electrical P6 acupuncture and dummy/untreated controls, but the abstract pools manual and electrical results.","Full text may provide a separable EA arm under eligible general anaesthesia.","low","primary_results","yes","yes","yes","Manual or electrical P6 acupuncture","Dummy point and untreated controls","yes","not_applicable","unclear","yes","At premedication before operation.","yes","no","no","no","yes","2026-07-26T11:31:59.926Z","none",""
"283","1000","[Considerations of the placebo problem in acupuncture. Reflections on usefulness, ethical justification, standardization and differentiated use of placebos in acupuncture].","Kubiena","1989","English","yes","No","EXCLUDE_PUBLICATION_TYPE","The record is a conceptual review of acupuncture placebo methods.","Non-primary publication.","high","narrative_review","no","no","no","Acupuncture placebos","Various","unclear","not_applicable","no","no","","no","yes","no","no","yes","2026-07-26T11:32:00.814Z","none",""
"284","1001","[Electroacupuncture in the prevention of the immunosuppressive action of surgical stress].","Vasilenko","1989","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Herniotomy was performed under local anaesthesia with EA analgesia.","Local anaesthesia only.","high","primary_results","yes","no","unclear","EA analgesia with local anaesthesia","Local anaesthesia with promedol","no","not_applicable","yes","yes","","no","yes","no","no","yes","2026-07-26T11:32:01.687Z","none",""
"285","1002","[Status of immune reactivity in patients after surgery on the bile ducts using various methods of combined general anesthesia].","Gashilova","1989","English","yes","No","EXCLUDE_NO_ELIGIBLE_OUTCOME","Bile-duct surgery comparison reported only immunoreactivity/metabolic laboratory indices.","No eligible clinical outcome.","high","primary_results","yes","yes","unclear","EA analgesia","Neuroleptanalgesia","no","not_applicable","yes","yes","","no","yes","no","no","yes","2026-07-26T11:32:02.337Z","none",""
"286","1003","Electroacupuncture and postoperative pain.","Christensen","1989","English","yes","Maybe","UNCERTAIN_RANDOMIZATION","Twenty women under anaesthesia received immediate postoperative EA or no treatment and opioid consumption was reported, but random allocation is not stated.","Otherwise eligible acute EA comparison; design requires confirmation.","medium","primary_results","yes","yes","unclear","EA immediately after wound closure","No further treatment","yes","not_applicable","yes","yes","Immediately after wound closure while anaesthetized.","yes","no","no","no","yes","2026-07-26T11:32:03.208Z","none",""
"287","1004","Transcutaneous electrical nerve stimulation at acupuncture points in the induction of uterine contractions.","Dunn","1989","English","yes","No","EXCLUDE_NON_SURGICAL","Surface acupoint stimulation was used to induce uterine contractions in post-dates pregnancy.","Labor induction is not operative surgery.","high","primary_results","yes","no","yes","TENS at SP6/LR3","Placebo electrodes","yes","not_applicable","yes","no","","yes","no","no","no","yes","2026-07-26T11:32:03.858Z","none",""
"288","1005","The effects of acupuncture on operative pain and the hormonal responses to stress.","Leong","1988","English","yes","No","EXCLUDE_PUBLICATION_TYPE","The record is a narrative chapter discussing operative pain and hormonal stress-response studies.","Non-primary publication.","high","book_chapter","no","unclear","no","Acupuncture","Various","unclear","not_applicable","no","unclear","","no","yes","no","no","yes","2026-07-26T11:32:06.980Z","none",""
"289","1006","Comparative study of the analgesic effect of transcutaneous nerve stimulation (TNS); electroacupuncture (EA) and meperidine in the treatment of postoperative pain.","Martelete","1985","English","yes","No","EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR","Immediate postoperative patients were randomized among IV meperidine, ordinary TNS and EA, with no sham/usual-care/no-stimulation arm.","Only active comparators were available.","high","primary_results","yes","unclear","yes","Postoperative EA","Meperidine and TNS","no","not_applicable","yes","yes","Immediate postoperative period.","yes","no","no","no","yes","2026-07-26T11:32:10.124Z","none",""
"290","1007","[Electrostimulation anesthesia in surgery of the retina and vitreous body].","Abdulla","1982","English","yes","No","EXCLUDE_NON_ACUPOINT_TENS","Surface electrodes were placed over trigeminal nerve and cervical plexus regions rather than recognized or defined acupuncture points.","Ordinary non-acupoint electrical nerve stimulation.","high","primary_results","yes","yes","unclear","Peripheral electrostimulation anaesthesia","Unclear","unclear","not_applicable","yes","yes","","no","yes","no","no","yes","2026-07-26T11:32:11.009Z","none",""
"291","1008","[First trial of electroacupuncture as a chief component of anesthesia].","Treshchinskiĭ","1977","Russian","no","Maybe","UNCERTAIN_RANDOMIZATION","The title identifies electroacupuncture as a principal anaesthetic component, but no abstract reports allocation, operation, comparator or outcome.","A potentially eligible perioperative EA report cannot be excluded from title alone.","low","primary_results","yes","unclear","unclear","EA as chief anaesthetic component","Unclear","unclear","not_applicable","unclear","yes","","unclear","no","yes","no","yes","2026-07-26T11:32:53.698Z","none",""
"292","1009","[Initiating labour of the pregnant uterus through electro-acupuncture (author's transl)].","Kubista","1974","German","no","No","EXCLUDE_NON_SURGICAL","The title concerns induction of labor using EA.","Labor induction is not operative surgery.","high","primary_results","yes","no","unclear","EA for labor induction","Unclear","unclear","not_applicable","yes","no","","yes","no","yes","no","yes","2026-07-26T11:32:54.584Z","none",""
"293","1010","Effects of transcutaneous electrical acupoint stimulation and dezocine on treatment and prevention of sufentanil-cough incidence under general anesthesia","ChiCTR2000039787","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2000039787 is a trial-register record with planned interventions/outcomes and no participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","TEAS with dezocine","Minimal-current sham TEAS","yes","not_applicable","yes","yes","","no","yes","no","no","yes","2026-07-26T11:32:57.725Z","none","ChiCTR2000039787."
"294","1011","A clinical study of Transcutaneous electrical acupoint stimulation (TEAS) combined with electroacupuncture (EA) to promote rapid recovery after abdominal surgery","ChiCTR2100043883","2021","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2100043883 is a trial-register record describing planned TEAS, EA and combined arms without results.","Trial registration without results.","high","trial_registration","no","yes","yes","Separate TEAS and EA frequency arms plus combined arms","Blank control","yes","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:32:58.408Z","none","ChiCTR2100043883."
"295","1013","Unilateral Wristbands Versus Bilateral Transcutaneous Acupoint Electrical Stimulation of Neiguan Point for the Prevention of Postoperative Nausea and Vomiting After Gynecological Laparoscopy: a Non-Inferiority Study","ITMCTR2025001134","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2025001134 is a trial-register record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","Unilateral/bilateral P6 TEAS","Non-acupoint stimulation","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:33:01.534Z","none","ITMCTR2025001134."
"296","1015","Different Stimuli of Transcutaneous Electric Acupoint Stimulation(TEAS) on Acupuncture Anesthesia","NCT02597530","2015","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT02597530 is a trial registration/design record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","Perioperative TEAS","Control and sham","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:33:04.672Z","none","NCT02597530."
"297","1016","Effects of transcutaneous acupoint electrical stimulation on postoperative gastrointestinal function in colon cancer patients with preoperative sleep disorders","ChiCTR2400087594","2024","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2400087594 is a trial-register record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS in colon-cancer surgery","Blank control factorial groups","yes","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:33:05.583Z","none","ChiCTR2400087594."
"298","1017","Effect of percutaneous acupoint electrical stimulation on postoperative cognitive function in elderly patients with sleep disorders","ChiCTR2400088655","2024","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2400088655 is a trial-register record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS in colorectal tumor surgery","Blank control factorial groups","yes","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:33:06.496Z","none","ChiCTR2400088655."
"299","1018","Effect of TEAS on Rocuronium Injection Pain","NCT04943367","2021","English","no","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT04943367 is a prospective randomized trial registration without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","TEAS for rocuronium injection pain","Unclear","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:33:09.622Z","none","NCT04943367."
"300","1019","Efficacy of TEAS On Prevention of Propofol Injection Pain in Children","NCT05296187","2022","English","no","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT05296187 is a trial registration without participant results and concerns children.","Trial registration without results.","high","trial_registration","no","yes","yes","TEAS for propofol injection pain","Unclear","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:33:10.325Z","none","NCT05296187; pediatric population."
"301","1096","Efficacy of transcutaneous electrical acupoint stimulation for the treatment of gastrointestinal dysfunction in patients after cardiac surgery with cardiopulmonary bypass: study protocol for a superiority, single-centre, single-blind, randomised controll","Liao","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract explicitly identify a randomized study protocol using future tense.","Protocol without participant results.","high","protocol","no","yes","yes","Post-cardiac-surgery TEAS","Control","yes","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:34:28.408Z","none","DOI 10.1136/bmjopen-2025-108309."
"302","1097","Transcutaneous Electrical Acupoint Stimulation for Postoperative Cognitive Dysfunction","NCT04606888","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT04606888 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","Perioperative TEAS","Unclear","unclear","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:34:29.337Z","none","NCT04606888."
"303","1098","Effects of perioperative transcutaneous electrical acupoint stimulation on lung compliance in video-assisted thoracic surgical lobectomy","ChiCTR2200057529","2022","English","no","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2200057529 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","Perioperative TEAS","No intervention","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:34:30.044Z","none","ChiCTR2200057529."
"304","1099","Effects of transcutaneous electrical acupoint stimulation on postoperative pain management and immune function in gastrectomy for gastric cancer","ChiCTR1800018978","2018","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR1800018978 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","TEAS plus general anaesthesia","General anaesthesia alone","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:34:30.923Z","none","ChiCTR1800018978."
