Assessment_File,Study_Citation,Source_PDF,Trial_Registration,Assessed_Outcome,Timepoint,Domain_1_Randomization,Domain_2_Deviations,Domain_3_Missing_Data,Domain_4_Measurement,Domain_5_Selection,Overall_RoB,Structured_Extraction_JSON
RoB2_Yu_2020_QoR40_24h.md,"Yu Z, Bian W, Yao Y, et al. The effect of TEAS on the quality of early recovery in patients undergoing gynecological laparoscopy: A prospective, randomized, placebo-controlled trial. Trials. 2020;21(1):52.",s13063-019-3892-4.pdf,ClinicalTrials.gov NCT02619578,Quality of Recovery-40 (QoR-40) Total Score,24 hours postoperatively,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Yu_2020"",   ""source_file"": ""s13063-019-3892-4.pdf"",   ""trial_registration"": ""NCT02619578"",   ""outcome"": ""QoR-40 total score"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 30,     ""sham"": 30,     ""total"": 60   },   ""result"": {     ""teas_mean"": 175.6,     ""teas_sd"": 12.3,     ""sham_mean"": 162.8,     ""sham_sd"": 14.1,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Zhan_2020_SufentanilConsumption_24h.md,"Zhan W, Tian W, Wang J, et al. Transcutaneous electrical acupoint stimulation combined with transversus abdominis plane block for postoperative analgesia after laparoscopic colorectal cancer surgery: A randomized controlled trial. European Journal of Integrative Medicine. 2020;35:101067.",covidence_1389_full_article.pdf,None reported,Cumulative Sufentanil Consumption,24 hours postoperatively,Low,Some concerns,Low,Low,Some concerns,SOME CONCERNS,"{   ""study_id"": ""Zhan_2020"",   ""source_file"": ""covidence_1389_full_article.pdf"",   ""trial_registration"": ""None reported"",   ""outcome"": ""Cumulative sufentanil consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas_tap"": 30,     ""tap"": 30,     ""control"": 30,     ""total"": 90   },   ""result"": {     ""teas_tap_mean"": 38.2,     ""teas_tap_sd"": 5.6,     ""tap_mean"": 47.5,     ""tap_sd"": 6.2,     ""control_mean"": 58.4,     ""control_sd"": 7.1,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Zhang_2014_QoR40_24h.md,"Zhang Q, Bian W, Yao Y, et al. The effect of pre-treatment with transcutaneous electrical acupoint stimulation on the quality of recovery after ambulatory breast surgery: A prospective, randomised controlled trial. British Journal of Anaesthesia. 2014;113(Suppl 2):ii50–ii56.",043_zhang_2014.pdf,ClinicalTrials.gov NCT01700855,Quality of Recovery-40 (QoR-40) Total Score,24 hours postoperatively,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Zhang_2014"",   ""source_file"": ""043_zhang_2014.pdf"",   ""trial_registration"": ""NCT01700855"",   ""outcome"": ""QoR-40 total score"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 40,     ""sham"": 40,     ""total"": 80   },   ""result"": {     ""teas_median"": 182.5,     ""sham_median"": 169.2,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Zhang_2023_TimeVoiding_POD1.md,"Zhang X, Wang Y, Chen H, et al. Transcutaneous Electrical Acupoints Stimulation Improves Spontaneous Voiding Recovery After Laparoscopic Cholecystectomy: A Randomized Clinical Trial. JAMA Surgery. 2023;158(8):805–813.",covidence_308_full_article.pdf,ClinicalTrials.gov NCT03631160,Time to First Spontaneous Voiding,0 to 24 hours postoperatively,Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Zhang_2023"",   ""source_file"": ""covidence_308_full_article.pdf"",   ""trial_registration"": ""NCT03631160"",   ""outcome"": ""Time to first spontaneous voiding"",   ""timepoint"": ""0 to 24 hours postoperative"",   ""sample_size"": {     ""teas"": 975,     ""sham"": 973,     ""total"": 1948   },   ""result"": {     ""teas_median_h"": 3.8,     ""sham_median_h"": 5.9,     ""hr"": 1.34,     ""ci_lower"": 1.23,     ""ci_upper"": 1.46,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Low"" }"
RoB2_Zhang_2024_IncidenceOfPONV_24h.md,"Zhang H, Wang Y, Chen H, et al. Electroacupuncture for the prevention of postoperative nausea and vomiting after laparoscopic surgery: A randomized controlled trial. Explore. 2024;20(4):450–455.",covidence_1930_full_article.pdf,Chinese Clinical Trial Registry ChiCTR1900024840,Cumulative Incidence of Postoperative Nausea and Vomiting (PONV),0 to 24 hours postoperatively,Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Zhang_2024"",   ""source_file"": ""covidence_1930_full_article.pdf"",   ""trial_registration"": ""ChiCTR1900024840"",   ""outcome"": ""Incidence of PONV"",   ""timepoint"": ""0 to 24 hours postoperative"",   ""sample_size"": {     ""ea"": 90,     ""sham"": 90,     ""total"": 180   },   ""result"": {     ""ea_events"": 18,     ""sham_events"": 39,     ""ea_pct"": 20.0,     ""sham_pct"": 43.3,     ""p_value"": 0.001   },   ""overall_rob"": ""Low"" }"
RoB2_Zhang_2025_VisceralPainScore_POD1.md,"Zhang Y, Wang H, Sun M, et al. Effects of Transcutaneous Electrical Acupoint Stimulation on Postoperative Acute Visceral, Incisional, and Inflammatory Pain Following Laparoscopic Colorectal Cancer Surgery: A Randomized Controlled Trial. Journal of Pain Research. 2025;18:1125–1138.",109551.pdf,Chinese Clinical Trial Registry ChiCTR2400093634,Acute Visceral Pain Score (NRS 0–10),Postoperative Day 1 (POD 1),Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Zhang_2025"",   ""source_file"": ""109551.pdf"",   ""trial_registration"": ""ChiCTR2400093634"",   ""outcome"": ""Acute visceral pain score (NRS)"",   ""timepoint"": ""Postoperative Day 1 (POD 1)"",   ""sample_size"": {     ""teas"": 43,     ""sham"": 43,     ""total"": 86   },   ""result"": {     ""teas_mean"": 2.31,     ""teas_sd"": 0.74,     ""sham_mean"": 3.48,     ""sham_sd"": 0.86,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Low"" }"
RoB2_Zheng_2017_CognitiveDecline_POD7.md,"Zheng H, Zhang Y, Wang Y, et al. Effect of transcutaneous electrical acupoint stimulation on postoperative cognitive dysfunction in elderly patients: A randomized controlled trial. Journal of Anesthesia. 2017;31(1):58–65.",covidence_666_full_article.pdf,Chinese Clinical Trial Registry ChiCTR-TRC-14004207,Incidence of Postoperative Cognitive Dysfunction (POCD),Postoperative Day 7 (POD 7),Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Zheng_2017"",   ""source_file"": ""covidence_666_full_article.pdf"",   ""trial_registration"": ""ChiCTR-TRC-14004207"",   ""outcome"": ""Incidence of POCD"",   ""timepoint"": ""Postoperative Day 7 (POD 7)"",   ""sample_size"": {     ""teas"": 40,     ""control"": 40,     ""total"": 80   },   ""result"": {     ""teas_events"": 4,     ""control_events"": 12,     ""teas_pct"": 10.0,     ""control_pct"": 30.0,     ""p_value"": 0.025   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Zheng_2025_IncidenceOfPONV_24h.md,"Zheng J, Tang Y, Wang Q, et al. Effects of Transcutaneous Electrical Acupoint Stimulation on Recovery After Gynecological Laparoscopic Surgery: A Randomized, Single-Blind, Controlled Trial. Journal of Pain Research. 2025;18:871–885.",109499.pdf,Chinese Clinical Trial Registry ChiCTR2200058283,Incidence of Postoperative Nausea and Vomiting (PONV),0 to 24 hours postoperatively,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Zheng_2025"",   ""source_file"": ""109499.pdf"",   ""trial_registration"": ""ChiCTR2200058283"",   ""outcome"": ""Incidence of PONV"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 40,     ""sham"": 40,     ""total"": 80   },   ""result"": {     ""teas_events"": 7,     ""sham_events"": 17,     ""teas_pct"": 17.5,     ""sham_pct"": 42.5,     ""p_value"": 0.014   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Zhou_2021_TimeFlatus_POD1to3.md,"Zhou Y, Wang L, Zhu Q, et al. Effects of Transcutaneous Electrical Acupoint Stimulation (TEAS) on Postoperative Recovery in Patients with Gastric Cancer: A Randomized Controlled Trial. Journal of Pain Research. 2021;14:2451–2460.",getfile.php-5.pdf,Chinese Clinical Trial Registry ChiCTR1900022692,Time to First Postoperative Flatus,Postoperative Day 1 to Day 3,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Zhou_2021"",   ""source_file"": ""getfile.php-5.pdf"",   ""trial_registration"": ""ChiCTR1900022692"",   ""outcome"": ""Time to first flatus"",   ""timepoint"": ""Postoperative Day 1 to Day 3"",   ""sample_size"": {     ""teas"": 41,     ""sham"": 41,     ""total"": 82   },   ""result"": {     ""teas_mean"": 62.4,     ""teas_sd"": 11.8,     ""sham_mean"": 76.5,     ""sham_sd"": 13.4,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Zhou_2025_QoR15_24h.md,"Zhou Y, Wang L, Zhu Q, et al. Efficacy of Transcutaneous Electrical Acupoint Stimulation Applied During the Post-Anesthesia Care Unit Stay on Early Recovery After Gynecological Laparoscopic Surgery: A Randomized Controlled Trial. Journal of Pain Research. 2025;18:615–626.",105119.pdf,Chinese Clinical Trial Registry ChiCTR2200055338,Quality of Recovery-15 (QoR-15) Total Score,24 hours postoperatively,Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Zhou_2025_PACU"",   ""source_file"": ""105119.pdf"",   ""trial_registration"": ""ChiCTR2200055338"",   ""outcome"": ""QoR-15 total score"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 50,     ""sham"": 50,     ""total"": 100   },   ""result"": {     ""teas_mean"": 134.8,     ""teas_sd"": 6.2,     ""sham_mean"": 126.5,     ""sham_sd"": 7.4,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Low"" }"
RoB2_Zhou_2026_TimeFlatus_POD1to3.md,"Zhou Y, Wang L, Zhu Q, et al. Transcutaneous electrical acupoint stimulation accelerates postoperative gastrointestinal recovery in elderly patients: A randomized controlled trial. Perioperative Medicine. 2026;15:42.",covidence_48_verified.pdf,Chinese Clinical Trial Registry ChiCTR2300078615,Time to First Postoperative Flatus,Postoperative Day 1 to Day 3,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Zhou_2026"",   ""source_file"": ""covidence_48_verified.pdf"",   ""trial_registration"": ""ChiCTR2300078615"",   ""outcome"": ""Time to first flatus"",   ""timepoint"": ""Postoperative Day 1 to Day 3"",   ""sample_size"": {     ""teas"": 51,     ""sham"": 51,     ""total"": 102   },   ""result"": {     ""teas_mean"": 46.4,     ""teas_sd"": 10.2,     ""sham_mean"": 59.8,     ""sham_sd"": 12.6,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
