"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"188","248","Transcutaneous electrical acupoint stimulation improves pulmonary function by regulating oxidative stress during one-lung ventilation in patients with lung cancer undergoing thoracoscopic surgery: a randomized controlled trial.","Ju","2023","English","yes","YES","INCLUDE_ELIGIBLE","Lung-cancer thoracoscopic-surgery patients were assigned to TEAS or sham from 30 minutes before anesthesia induction through surgery, with one-lung ventilation and postoperative outcomes reported.","Eligible randomized perioperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","yes; induction and one-lung ventilation","yes; title reports RCT","TEAS at BL13, ST36 and LI4","same acupoints without stimulation","yes","yes","yes; pre-induction through surgery","yes","no","no","yes","2026-07-27T08:23:46.420Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"189","249","Effect of transcutaneous electrical acupoint stimulation on remifentanil dosage during craniotomy aneurysm clipping: a prospective, randomized controlled study.","Wang","2023","English","yes","YES","INCLUDE_ELIGIBLE","Craniotomy patients requiring endotracheal intubation were randomized to TEAS or sham from 30 minutes before induction through surgery, with results reported.","Eligible randomized perioperative TEAS trial under GA.","high","journal article; primary participant-results report","yes","8","0","","yes; endotracheal intubation and induction","yes","TEAS at LI4, PC6 and ST36","sham TEAS","yes","yes","yes; pre-induction through surgery","yes","no","no","yes","2026-07-27T08:23:47.438Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"190","250","Comparing prophylactic efficacy of different interventions on postoperative nausea and vomiting: Methodology is critical-Re: Zhang Y, et al. Transcutaneous electrical acupoint stimulation versus dexamethasone for prophylaxis of postoperative nausea and vo","Wang","2023","English","no","NO","EXCLUDE_PUBLICATION_TYPE","The item is a methodological correspondence about another trial, not a primary randomized participant report.","Letter/commentary.","high","letter or commentary","no","1","0","","not applicable","no primary trial","discusses TEAS","not applicable","not applicable","not applicable","not applicable","no primary results","no","no","yes","2026-07-27T08:23:50.715Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"191","252","Effects of perioperative electroacupuncture on postoperative gastrointestinal recovery after thoracoscopic lung surgery.","Yang","2023","English","yes","YES","INCLUDE_ELIGIBLE","VATS lung-surgery patients were randomized to perioperative EA or usual care, including sessions 24 hours preoperatively and 4 and 24 hours postoperatively, with results reported.","Eligible randomized perioperative EA trial.","high","journal article; primary participant-results report","yes","8","0","","highly evident for VATS segmentectomy/lobectomy","yes","perioperative EA","usual care","yes","yes","yes; preop and 4 h postop","yes","no","no","yes","2026-07-27T08:23:51.728Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"192","255","Meta-analysis of clinical efficacy of electroacupuncture versus conventional treatment for postoperative urinary retention in cervical cancer.","Tan","2023","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","The article is explicitly a meta-analysis of prior randomized trials, not a primary trial report.","Meta-analysis.","high","systematic review and meta-analysis","yes","1","0","","not applicable","no primary trial","EA in included studies","various","not applicable","not applicable","not applicable","secondary synthesis only","no","no","yes","2026-07-27T08:23:55.004Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"193","257","Electroacupuncture Pretreatment Attenuates Learning Memory Impairment Induced by Repeated Propofol Exposure and Modulates Hippocampal Synaptic Plasticity in Rats.","Fan","2023","English","yes","NO","EXCLUDE_ANIMAL","The experiment was conducted in infant rats exposed to propofol.","Animal study.","high","animal experiment","yes","2","0","","not applicable","yes","EA pretreatment","propofol and controls","unclear","yes","not human surgery","no human outcomes","no","no","yes","2026-07-27T08:23:56.026Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"194","258","Suggested Electroacupuncture for Postoperative Nausea and Vomiting: A Comprehensive Meta-Analysis and Systematic Review of Randomized Controlled Trials.","Han","2023","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","The publication is explicitly a systematic review and meta-analysis, not a primary randomized participant report.","Systematic review/meta-analysis.","high","systematic review and meta-analysis","yes","1","0","","not applicable","no primary trial","EA in included trials","various","not applicable","not applicable","not applicable","secondary synthesis only","no","no","yes","2026-07-27T08:24:25.199Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"195","260","Effect of transcutaneous electrical acupoint stimulation on postoperative cognitive function in older patients with lung cancer: A randomized, double-blind, placebo-controlled trial.","Guo","2023","English","yes","YES","INCLUDE_ELIGIBLE","Older adults undergoing thoracoscopic lung resection under an explicit general anesthetic protocol were randomized to TEAS or sham from before induction through surgery, with results reported.","Eligible randomized TEAS trial under GA.","high","journal article; primary participant-results report","yes","8","0","","yes; explicit protocol","yes","TEAS at DU20, PC6, LI4 and ST36","sham TEAS","yes","yes","yes; 30 min before induction through surgery","yes","no","no","yes","2026-07-27T08:24:26.224Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"196","261","[Retrospective cohort study on application of acupuncture-aided anesthesia technique to patients undergoing thoracoscopic lobectomy].","Feng","2023","English","yes","NO","EXCLUDE_NON_RANDOMIZED","The title and methods explicitly report a retrospective comparison of two historical acupuncture-assisted anesthesia schemes with multiple cointervention differences.","Retrospective historical comparison with inseparable bundles.","high","journal article; retrospective cohort","yes","4","0","","mixed intravenous/regional schemes","no","different EA-assisted anesthesia bundles","historical bundle","no","no","intraoperative","yes","no","no","yes","2026-07-27T08:24:29.494Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"197","263","Electrical Acupoint Stimulation with Low-Frequency Pulse in the Treatment of Urinary Incontinence after Prostatectomy.","Huang","2023","English","yes","NO","EXCLUDE_NON_RANDOMIZED","Groups were divided according to therapeutic regimen rather than random allocation, and treatment addressed established postoperative incontinence.","Nonrandomized later-postoperative comparison.","high","journal article; comparative participant study","yes","5","0","","not relevant to later treatment","no","low-frequency electrical acupoint stimulation","pelvic floor exercise","no","yes","not acute; established incontinence","yes","no","no","yes","2026-07-27T08:24:30.499Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"198","266","Impact of Transcutaneous Electrical Acupoint Stimulation on Delayed Neurocognitive Recovery in Elderly Patients Following Bronchoscopy.","Wang","2023","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Bronchoscopy is ordinarily performed under sedation rather than general anesthesia, and the abstract does not report GA.","Bronchoscopy without reported GA.","high","journal article; primary participant-results report","yes","7","0","","not reported; bronchoscopy usually sedation","yes","TEAS before anesthesia","electrodes without stimulation","yes","yes","yes; 30 min before procedure","yes","no","no","yes","2026-07-27T08:24:33.745Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"199","267","Transcutaneous electrical acupoint stimulation in adult patients receiving gastrectomy/colorectal resection: A randomized controlled trial.","Hou","2023","English","yes","YES","INCLUDE_ELIGIBLE","Adults undergoing gastrectomy or colorectal resection were randomized among perioperative TEAS schedules and sham, starting immediately before anesthesia induction and including postoperative treatment.","Eligible randomized perioperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","highly evident for major abdominal resection with induction","yes","pre/intra/postoperative TEAS schedules","sham stimulation","yes","yes","yes; immediately pre-induction","yes","no","no","yes","2026-07-27T08:24:37.027Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"200","268","Effects of electroacupuncture on pediatric chronic urinary retention: a case-series study.","Yang","2023","English","yes","NO","EXCLUDE_POPULATION","The study enrolled pediatric patients with chronic urinary retention and was a case series with 2-16 weeks of later treatment.","Pediatric nonrandomized later-treatment study.","high","journal article; prospective case series","yes","3","0","","not relevant","no","EA","none","not applicable","not applicable","no; chronic retention, 2-16 weeks","yes","no","no","yes","2026-07-27T08:24:40.314Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"201","269","Transcutaneous electrical acupoint stimulation versus dexamethasone for prophylaxis of postoperative nausea and vomiting in breast surgery: A non-inferiority randomized controlled trial.","Zhang","2023","English","yes","NO","EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR","The randomized comparison was TEAS versus dexamethasone, with no sham TEAS, usual-care, or no-stimulation comparator arm.","Ineligible active-drug comparator only.","high","journal article; primary participant-results report","yes","7","0","","yes; anesthesia induction and PACU","yes","TEAS at PC6","dexamethasone","no; comparator-specific antiemetic","yes but comparison ineligible","yes; before induction and postoperative","yes","no","no","yes","2026-07-27T08:25:41.851Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"202","270","Effects of transcutaneous electrical acupoint stimulation (TEAS) on postoperative pain in patients undergoing gastric and esophageal ESD surgery: a study protocol for a prospective randomized controlled trial.","Chang","2023","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title explicitly identifies a study protocol and the abstract describes future enrollment and planned outcomes.","Protocol without participant results.","high","study protocol","no","5","0","","not reported; ESD usually sedation","planned randomized trial","TEAS","sham acupoints","yes","yes","planned perioperative","planned only","no","no","yes","2026-07-27T08:25:45.183Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"203","271","Effects of electroacupuncture at Baihui and Dazhui on perioperative neurocognitive impairment and S100-β, LC3-II, Beclin-1 in patients with colon cancer.","Ye","2023","English","yes","NO","EXCLUDE_NON_RANDOMIZED","The abstract describes observation and control groups but does not report random allocation or another randomized design indicator.","No evidence of randomized allocation.","high","journal article; comparative participant study","yes","6","1","general anaesthesia","likely for colon cancer surgery; not explicit","not reported","EA prestimulation at GV20 and GV14","sham EA prestimulation","yes","yes","yes; prestimulation","yes","no","no","yes","2026-07-27T08:25:46.188Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"204","272","[Clinical observation on electroacupuncture at ""four points of sacral region"" on moderate to severe stress urinary incontinence after radical prostatectomy].","Chu","2023","English","yes","NO","EXCLUDE_NON_RANDOMIZED","Participants were divided according to settings rather than random allocation, and received five courses for established postoperative incontinence.","Nonrandomized later-treatment comparison.","high","journal article; comparative participant study","yes","4","0","","not relevant to later treatment","no","EA at sacral points","transurethral Erbium laser","no","yes","no; established incontinence, five courses","yes","no","no","yes","2026-07-27T08:25:49.492Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"205","273","[Effects of transcutaneous electrical acupoint stimulation on the postoperative sleep quality and inflammatory factors in frail elderly patients].","Zhang","2023","English","yes","YES","INCLUDE_ELIGIBLE","Older adults undergoing laparoscopic colorectal cancer surgery were randomized to TEAS or no stimulation from before surgery through postoperative days 1-3, with participant results reported.","Eligible randomized perioperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","highly evident for laparoscopic colorectal cancer surgery","yes","TEAS at PC6, HT7 and LI4","same procedure without electrical stimulation","yes","yes","yes; 30 min before surgery","yes","no","no","yes","2026-07-27T08:25:50.572Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"206","274","Effect of transcutaneous electrical acupoint stimulation on postoperative pain in pediatric orthopedic surgery with the enhanced recovery after surgery protocol: a prospective, randomized controlled trial.","Li","2023","English","yes","NO","EXCLUDE_POPULATION","The trial enrolled children aged 3-15 years, below the protocol minimum age of 18.","Pediatric population.","high","journal article; primary participant-results report","yes","7","0","","yes; explicit","yes","TEAS at LI4 and PC6","sham TEAS","yes; ERAS","yes","yes; pre-induction through surgery","yes","no","no","yes","2026-07-27T08:26:15.715Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"207","275","Effect of Acupoint Stimulation on Improving Gastrointestinal Motility in Patients After Gastrectomy: A Systematic Review and Meta-Analysis.","Cheng","2023","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","The publication is explicitly a systematic review and meta-analysis, not a primary randomized trial report.","Systematic review/meta-analysis.","high","systematic review and meta-analysis","yes","1","0","","not applicable","no primary trial","various acupoint stimulation","various","not applicable","not applicable","not applicable","secondary synthesis only","no","no","yes","2026-07-27T08:26:16.730Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"208","276","Electroacupuncture for Pain Relief After Endoscopic Sinus Surgery: A Randomized Controlled Trial.","Yue","2023","English","yes","YES","INCLUDE_ELIGIBLE","Adults undergoing endoscopic sinus surgery were randomized to EA or sham, including sessions 2 hours before and 2 hours after surgery, with recovery-from-anesthesia and participant outcomes reported.","Eligible randomized perioperative EA trial.","high","journal article; primary participant-results report","yes","8","0","","highly evident; surgical anesthesia recovery reported","yes","EA","sham EA","yes","yes","yes; 2 h before and after surgery","yes","no","no","yes","2026-07-27T08:26:20.043Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"209","278","[Effects of transcutaneous electrical acupoint stimulation at different times assisted general anesthesia on stress response of patients undergoing open posterior lumbar surgery].","Xu","2023","English","yes","YES","INCLUDE_ELIGIBLE","Open posterior lumbar surgery patients with endotracheal intubation were randomized to preoperative TEAS, intraoperative TEAS, or sham under the same anesthetic method.","Eligible randomized perioperative TEAS trial under GA.","high","journal article; primary participant-results report","yes","8","0","","yes; endotracheal intubation and extubation","yes","preoperative or intraoperative TEAS at LI4 and PC6","sham TEAS","yes","yes","yes; pre-induction or intraoperative","yes","no","no","yes","2026-07-27T08:26:21.997Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"210","279","Effect of perioperative acupuncture-assisted general anesthesia on the anesthetic dosage required in adult surgical patients: a network meta-analysis of randomized controlled trials.","Qiu","2023","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","The article is explicitly a network meta-analysis of prior randomized trials.","Network meta-analysis.","high","systematic review and network meta-analysis","yes","1","0","","not applicable","no primary trial","EA, TEAS and other acupuncture in included trials","various","not applicable","not applicable","not applicable","secondary synthesis only","no","no","yes","2026-07-27T08:26:25.345Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"211","280","[Effect of electroacupuncture at Baihui (GV 20) and Sishencong (EX-HN 1) on presurgical anxiety in patients with gynecological laparoscopic surgery].","Zheng","2022","English","yes","YES","INCLUDE_ELIGIBLE","Gynecologic laparoscopic-surgery patients were randomized to EA, midazolam, or saline control, with EA at 24 and 2 hours before anesthesia induction and postoperative outcomes reported.","Eligible randomized preoperative EA trial.","high","journal article; primary participant-results report","yes","8","0","","highly evident for gynecologic laparoscopy with propofol induction","yes","EA at GV20 and EX-HN1","saline control and midazolam","supportive control available","yes","yes; 24 h and 2 h pre-induction","yes","no","no","yes","2026-07-27T08:26:52.177Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"212","281","Mechanism of electroacupuncture at acupoints of the lung meridian through PKA/PKC regulation of TRPV1 in chronic cough after lung surgery in guinea pigs.","Wang","2023","English","yes","NO","EXCLUDE_ANIMAL","The experiment studied guinea pigs after modeled lung surgery.","Animal study.","high","animal experiment","yes","2","0","","not applicable","unclear","EA","model and inhibitor groups","unclear","yes","not human perioperative care","no human outcomes","no","no","yes","2026-07-27T08:26:55.462Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"213","282","Efficacy of Low-Frequency Electroacupuncture on Urinary Retention After Spinal Anesthesia.","Olia","2023","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Orthopedic surgery was explicitly performed under spinal anesthesia.","No general anesthesia.","high","journal article; primary participant-results report","yes","7","0","","no; explicit spinal anesthesia","yes","EA at SP6, SP9, ST28 and CV2","no intervention","yes","yes","yes; PACU","yes","no","no","yes","2026-07-27T08:26:56.464Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"214","283","Methods, Complications, and Outcomes in a Randomized Clinical Trial of Electroacupuncture After Colorectal Cancer Surgery.","Yen","2023","English","no","NO","EXCLUDE_PUBLICATION_TYPE","This one-page JAMA Surgery item is correspondence about methods and outcomes of another randomized trial, not the primary trial report.","Correspondence/commentary.","high","letter or commentary","no","1","0","","not applicable","no primary trial","discusses EA","not applicable","not applicable","not applicable","not applicable","no primary results","no","no","yes","2026-07-27T08:27:24.994Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"215","285","Methods, Complications, and Outcomes in a Randomized Clinical Trial of Electroacupuncture After Colorectal Cancer Surgery-Reply.","Wang","2023","English","no","NO","EXCLUDE_PUBLICATION_TYPE","The title explicitly identifies a reply to correspondence about another randomized trial.","Author reply.","high","letter or reply","no","1","0","","not applicable","no primary trial","discusses EA","not applicable","not applicable","not applicable","not applicable","no primary results","no","no","yes","2026-07-27T08:27:28.328Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"216","286","Methods, Complications, and Outcomes in a Randomized Clinical Trial of Electroacupuncture After Colorectal Cancer Surgery.","Hu","2023","English","no","NO","EXCLUDE_PUBLICATION_TYPE","This one-page JAMA Surgery item is correspondence about another randomized trial, not the primary trial report.","Correspondence/commentary.","high","letter or commentary","no","1","0","","not applicable","no primary trial","discusses EA","not applicable","not applicable","not applicable","not applicable","no primary results","no","no","yes","2026-07-27T08:27:51.089Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"217","287","Effect of Electroacupuncture on the Treatment of Pneumonia in Patients with Hypertensive Intracerebral Hemorrhage.","Jiang","2023","English","yes","NO","EXCLUDE_TIMING","EA was used to treat established postoperative pneumonia after hypertensive intracerebral hemorrhage surgery for 14 days; this represents treatment of a later postoperative complication rather than stimulation initiated during acute recovery.","Treatment of established later postoperative pneumonia.","high","journal article; primary participant-results report","yes","6","0","","highly likely for intracerebral hemorrhage surgery","yes","EA plus routine treatment","routine treatment","yes","yes","no; established pneumonia/later treatment","yes","no","no","yes","2026-07-27T08:27:54.438Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"218","289","Electroacupuncture at Baliao point alleviates post-operative pain and anal distension after procedure for prolapse and hemorrhoids (stapled hemorrhoidopexy): a prospective randomized clinical trial.","Shen","2023","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Stapled hemorrhoidopexy is ordinarily performed under regional or local anesthesia, and the abstract does not report general anesthesia.","Minor anorectal procedure without reported GA.","high","journal article; primary participant-results report","yes","6","1","timing","not reported; procedure usually regional/local","yes","EA at Baliao points","surgery only","yes","yes","not stated","yes","no","no","yes","2026-07-27T08:27:57.775Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"219","290","[Effect of electroacupuncture at different time points on postoperative urination function in patients with mixed hemorrhoids surgery].","He","2023","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Mixed-hemorrhoid surgery was explicitly performed under lumbar anesthesia.","No general anesthesia.","high","journal article; primary participant-results report","yes","7","0","","no; explicit lumbar anesthesia","yes","pre-, intra-, or postoperative EA","no acupuncture","yes","yes","yes; pre/intra/6h postoperative","yes","no","no","yes","2026-07-27T08:27:59.951Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"220","291","Letter to the Editor Regarding ""Effect of Transcutaneous Electrical Acupoint Stimulation Combined with Transversus Abdominis Plane Block on Postoperative Recovery in Elderly Patients Undergoing Laparoscopic Gastric Cancer Surgery: A Randomized Controlled","Yuan","2023","English","no","NO","EXCLUDE_PUBLICATION_TYPE","The title explicitly identifies a letter to the editor regarding another randomized trial.","Letter to editor.","high","letter or commentary","no","1","0","","not applicable","no primary trial","discusses TEAS","not applicable","not applicable","not applicable","not applicable","no primary results","no","no","yes","2026-07-27T08:28:03.255Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"221","295","Perioperative transcutaneous electrical acupoint stimulations as part of an enhanced recovery after surgery protocol for living donors undergoing nephrectomy: A randomized, controlled clinical trial.","Hou","2023","English","yes","YES","INCLUDE_ELIGIBLE","Living kidney donors undergoing laparotomy nephrectomy were randomized to TEAS or electrode-only control on the day before, before induction, and one day after surgery, with results reported.","Eligible randomized perioperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","highly evident for laparotomy nephrectomy with induction","yes","TEAS at EX-HN3, LR3 and PC6","same electrodes without stimulation","yes; ERAS","yes","yes; day before and pre-induction","yes","no","no","yes","2026-07-27T08:28:35.437Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"222","297","Transcutaneous Electrical Acupoint Stimulation Improves Postoperative Sleep Quality in Patients Undergoing Laparoscopic Gastrointestinal Tumor Surgery: A Prospective, Randomized Controlled Trial.","Wang","2023","English","yes","MAYBE","UNCERTAIN_TIMING","A prospective randomized TEAS-versus-sham trial in laparoscopic gastrointestinal tumor surgery reported clinical outcomes, but the abstract only states that three sessions occurred perioperatively and does not give the first-treatment time; initiation within 24 hours is realistic.","Otherwise eligible TEAS trial with timing uncertain.","high","journal article; primary participant-results report","yes","7","1","timing","highly evident for laparoscopic tumor resection","yes; title","TEAS at HT7, PC6 and ST36","electrodes without current","yes","yes","uncertain; three perioperative sessions","yes","no","no","yes","2026-07-27T08:28:38.747Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"223","298","Transcutaneous Electrical Acupoint Stimulation Accelerates the Recovery of Patients Undergoing Laparoscopic Myomectomy: A Randomized Controlled Trial.","Pan","2023","English","yes","YES","INCLUDE_ELIGIBLE","Laparoscopic myomectomy patients receiving anesthetic titration to BIS 40-60 were randomized to TEAS or control from 30 minutes before surgery through anesthesia plus PACU stimulation.","Eligible randomized perioperative TEAS trial under GA.","high","journal article; primary participant-results report","yes","8","0","","yes; anesthetic depth and PACU reported","yes","TEAS at LI4/PC6 then ST36/SP6","control","yes","yes","yes; preoperative through PACU","yes","no","no","yes","2026-07-27T08:28:40.708Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"224","299","Effects of electroacupuncture on perioperative anxiety and stress response in patients undergoing surgery for gastric or colorectal cancer: Study protocol for a randomized controlled trial.","Hou","2023","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title explicitly identifies a study protocol and the abstract uses future tense for randomization and outcomes.","Protocol without participant results.","high","study protocol","no","6","1","general anaesthesia","not reported; likely for cancer resection","planned randomized trial","EA","control","yes","yes","planned perioperative; exact schedule not stated","planned only","no","no","yes","2026-07-27T08:28:41.820Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"225","300","[Effect of transcutaneous acupoint electrical stimulation at Neiguan (PC 6) on general anesthesia under preserving spontaneous breathing in thoracoscopic lobectomy].","Ding","2023","English","yes","NO","EXCLUDE_NON_RANDOMIZED","The abstract reports that patients were divided into observation and control groups but does not report random allocation.","No evidence of randomized allocation.","high","journal article; comparative participant study","yes","7","0","","yes; explicit","not reported","TEAS at PC6","control","yes","yes","yes; 30 min before induction through surgery","yes","no","no","yes","2026-07-27T08:28:45.101Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"226","301","Effect of electroacupuncture on discomfort during gastroscopy: A randomised controlled trial.","Yin","2023","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","The trial explicitly involved gastroscopy without sedatives, so no general anesthesia was used.","Unsedated gastroscopy.","high","journal article; primary participant-results report","yes","6","0","","no; explicitly without sedatives","yes","EA","superficial sham acupuncture","yes","yes","before procedure","yes","no","no","yes","2026-07-27T08:29:33.045Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"227","302","[Transcutaneous electrical acupoint stimulation combined with electroacupuncture for rapid recovery after abdominal surgery: a randomized controlled trial].","Li","2023","English","yes","YES","INCLUDE_ELIGIBLE","Abdominal-surgery patients were randomized to separate TEAS, separate EA, combined TEAS+EA, or ERAS-only control arms; TEAS and EA independent effects are separable and treatment began postoperative day 1.","Eligible randomized trial with separable TEAS and EA arms.","high","journal article; primary participant-results report","yes","8","0","","highly evident for abdominal surgery","yes","separate TEAS and EA arms plus combined arm","ERAS-only control","yes","yes; independent TEAS and EA arms","yes; postoperative day 1","yes","no","no","yes","2026-07-27T08:29:36.424Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"228","304","Efficacy and safety of transcutaneous electrical acupoints stimulation for preoperative anxiety in thoracoscopic surgery: study protocol for a randomised controlled trial.","Wu","2023","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title explicitly identifies a study protocol and the abstract describes future randomization and outcomes.","Protocol without participant results.","high","study protocol","no","7","1","general anaesthesia","not explicit; highly likely for VATS","planned randomized trial","TEAS","sham TEAS","yes","yes","yes; starting 3 days preop","planned only","no","no","yes","2026-07-27T08:29:38.043Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"229","305","The Effect of Transcutaneous Electrical Acupoint Stimulation on High-Risk Patients with PONV Undergoing Laparoscopic Gynecologic Surgery: A Randomized Controlled Trial.","Qin","2023","English","yes","YES","INCLUDE_ELIGIBLE","High-risk PONV patients undergoing laparoscopic gynecologic surgery were randomized to preoperative TEAS or electrodes without stimulation on balanced antiemetic care; general anesthesia is explicit.","Eligible randomized TEAS trial under GA.","high","journal article; primary participant-results report","yes","8","0","","yes; explicit","yes","TEAS at PC6 and LI4 plus antiemetics","electrodes without stimulation plus same antiemetics","yes","yes","yes; 30 min preop","yes","no","no","yes","2026-07-27T08:29:41.423Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"230","307","Electroacupuncture alleviates pain after total knee arthroplasty through regulating neuroplasticity: A resting-state functional magnetic resonance imaging study.","Kang","2023","English","yes","MAYBE","UNCERTAIN_GENERAL_ANAESTHESIA","TKA patients with acute postoperative pain were randomized to EA or sham, but the anesthetic technique was not reported. GA remains plausible, and the intervention is described as acute rather than clearly later rehabilitation.","Potentially eligible EA trial with GA uncertain.","high","journal article; primary participant-results report","yes","7","1","general anaesthesia","not reported for TKA","yes","EA for five days","sham acupuncture","yes","yes","not exact; acute postoperative treatment not clearly later than 24 h","yes","no","no","yes","2026-07-27T08:29:42.538Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"231","308","Transcutaneous Electrical Acupoints Stimulation Improves Spontaneous Voiding Recovery After Laparoscopic Cholecystectomy: A Randomized Clinical Trial.","Zhang","2023","English","yes","YES","INCLUDE_ELIGIBLE","Laparoscopic cholecystectomy patients were randomized to active or sham TEAS delivered intraoperatively and postoperatively, with participant outcomes reported.","Eligible randomized perioperative TEAS trial.","high","journal article; primary participant-results report","yes","8","0","","highly evident for elective laparoscopic cholecystectomy","yes","TEAS at specified acupoints","sham TEAS","yes","yes","yes; intraoperative","yes","no","no","yes","2026-07-27T08:30:02.427Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"232","309","Effect of transcutaneous electrical acupoint stimulation on bone metabolism in patients with immobilisation after foot and ankle fracture surgery: a randomised controlled trial study protocol.","Guo","2022","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title explicitly identifies a randomized trial protocol and the abstract describes an eight-week future intervention with no participant results.","Protocol without participant results.","high","study protocol","no","5","1","general anaesthesia","not reported for fracture surgery","planned randomized trial","TEAS","routine orthopedics care","yes","yes","likely later immobilization treatment","planned only","no","no","yes","2026-07-27T08:30:05.786Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
