change_id,study,source_audit_batch,change_type,sheet,old_value_or_status,new_value_or_status,outcome_family,outcome_result,timepoint,intervention,comparator,source_pdf,drive_link,page,table_or_figure,reason,analysis_impact,primary_model_impact,rob2_action,resolved_or_hold
V34-00920,Liu 2021,,UPDATED_EXISTING,Analysis_Readiness,"{""excel_row"":162,""cells"":{""40"":""POD1 / approximate 24 h"",""41"":""CONDITIONAL"",""42"":""Source-grounded but carries a QC qualification."",""43"":""No"",""45"":""Binary effect measure (RR preferred per protocol)"",""46"":""Postoperative cognitive decline (MMSE Z-score ≤ -2)"",""47"":""POD1"",""48"":""Some concerns"",""49"":""No — selected RoB matches this result"",""51"":""Primary eligible contrast"",""52"":""Count this study once per synthesis unless a valid multi-arm method is used."",""53"":null,""69"":null,""70"":null,""71"":null,""72"":null,""73"":null,""74"":null,""75"":null}}","{""excel_row"":162,""cells"":{""40"":""pod1"",""41"":""INCLUDE"",""42"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""43"":""Model-specific; see V34_Secondary_Ready"",""45"":""No new imputation, digitization, median conversion or proxy MME"",""46"":null,""47"":null,""48"":""EXISTING_RESULT_SPECIFIC: Some concerns"",""49"":""No — exact existing result link"",""51"":""Native secondary candidate / hold; see status"",""52"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""53"":""V33-OD-0162"",""69"":""INCLUDE"",""70"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""71"":""EXISTING_RESULT_SPECIFIC: Some concerns"",""72"":""Neurocognitive"",""73"":""TEAS"",""74"":""Sham"",""75"":""pod1""}}",Neurocognitive,Postoperative cognitive decline (MMSE Z-score ≤ -2),POD1,Perioperative TEAS,Electrodes/no current,,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,POCD incidence table / POD1,POCD incidence table / POD1,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,EXISTING_RESULT_SPECIFIC: Some concerns,INCLUDE
V34-00921,Liu 2021,,UPDATED_EXISTING,Analysis_Readiness,"{""excel_row"":163,""cells"":{""39"":""Pain"",""40"":""Exact/explicit 24 h"",""42"":""Explicit 24-h pain endpoint with quantitative source data."",""43"":""Yes"",""45"":""None"",""46"":""Postoperative cognitive decline (MMSE Z-score ≤ -2)"",""47"":""POD1"",""48"":""Some concerns"",""49"":""Yes — selected RoB is for a different result/timepoint"",""51"":""Primary eligible contrast"",""52"":""Count this study once per synthesis unless a valid multi-arm method is used."",""53"":null,""69"":null,""70"":null,""71"":null,""72"":null,""73"":null,""74"":null,""75"":null}}","{""excel_row"":163,""cells"":{""39"":""Pain — rest"",""40"":""24 h point"",""42"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""43"":""Model-specific; see V34_Secondary_Ready"",""45"":""No new imputation, digitization, median conversion or proxy MME"",""46"":null,""47"":null,""48"":""ROB2_RESULT_SPECIFIC_PENDING"",""49"":""Yes"",""51"":""Native secondary candidate / hold; see status"",""52"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""53"":""V33-OD-0163"",""69"":""INCLUDE"",""70"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""71"":""ROB2_RESULT_SPECIFIC_PENDING"",""72"":""Pain — rest"",""73"":""TEAS"",""74"":""Sham"",""75"":""24 h point""}}",Pain,VAS at rest,24 h,Perioperative TEAS,Electrodes/no current,,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,Table 2 / 24-h rest VAS,Table 2 / 24-h rest VAS,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00922,Liu 2021,,UPDATED_EXISTING,Analysis_Readiness,"{""excel_row"":164,""cells"":{""39"":""Pain"",""40"":""Exact/explicit 24 h"",""42"":""Explicit 24-h pain endpoint with quantitative source data."",""43"":""Yes"",""45"":""None"",""46"":""Postoperative cognitive decline (MMSE Z-score ≤ -2)"",""47"":""POD1"",""48"":""Some concerns"",""49"":""Yes — selected RoB is for a different result/timepoint"",""51"":""Primary eligible contrast"",""52"":""Count this study once per synthesis unless a valid multi-arm method is used."",""53"":null,""69"":null,""70"":null,""71"":null,""72"":null,""73"":null,""74"":null,""75"":null}}","{""excel_row"":164,""cells"":{""39"":""Pain — cough"",""40"":""24 h point"",""42"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""43"":""Model-specific; see V34_Secondary_Ready"",""45"":""No new imputation, digitization, median conversion or proxy MME"",""46"":null,""47"":null,""48"":""ROB2_RESULT_SPECIFIC_PENDING"",""49"":""Yes"",""51"":""Native secondary candidate / hold; see status"",""52"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""53"":""V33-OD-0164"",""69"":""INCLUDE"",""70"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""71"":""ROB2_RESULT_SPECIFIC_PENDING"",""72"":""Pain — cough"",""73"":""TEAS"",""74"":""Sham"",""75"":""24 h point""}}",Pain,VAS with coughing,24 h,Perioperative TEAS,Electrodes/no current,,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,Table 2 / 24-h coughing VAS,Table 2 / 24-h coughing VAS,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00923,Liu 2021,,UPDATED_EXISTING,Analysis_Readiness,"{""excel_row"":165,""cells"":{""39"":""PCA demand/proxy"",""40"":""Exact/explicit 24 h"",""41"":""CONDITIONAL"",""42"":""Source value is valid in its native metric but cannot be converted to the target opioid mass/MME without additional information."",""43"":""No"",""45"":""None"",""46"":""Postoperative cognitive decline (MMSE Z-score ≤ -2)"",""47"":""POD1"",""48"":""Some concerns"",""49"":""Yes — selected RoB is for a different result/timepoint"",""51"":""Primary eligible contrast"",""52"":""Count this study once per synthesis unless a valid multi-arm method is used."",""53"":null,""69"":null,""70"":null,""71"":null,""72"":null,""73"":null,""74"":null,""75"":null}}","{""excel_row"":165,""cells"":{""39"":""PCA/PCIA button presses"",""40"":""0-24h"",""41"":""INCLUDE"",""42"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""43"":""Model-specific; see V34_Secondary_Ready"",""45"":""No new imputation, digitization, median conversion or proxy MME"",""46"":null,""47"":null,""48"":""ROB2_RESULT_SPECIFIC_PENDING"",""49"":""Yes"",""51"":""Native secondary candidate / hold; see status"",""52"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""53"":""V33-OD-0165"",""69"":""INCLUDE"",""70"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""71"":""ROB2_RESULT_SPECIFIC_PENDING"",""72"":""PCA/PCIA button presses"",""73"":""TEAS"",""74"":""Sham"",""75"":""0-24h""}}",Opioid demand,PCA pump compressions,0-24 h,Perioperative TEAS,Electrodes/no current,,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,24-h PCA compression result,24-h PCA compression result,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00924,Liu 2021,,UPDATED_EXISTING,Analysis_Readiness,"{""excel_row"":166,""cells"":{""39"":""Postoperative opioid consumption"",""40"":""Exact/explicit 24 h"",""41"":""EXCLUDE — DATA UNAVAILABLE"",""42"":""The source does not provide a defensible quantitative value for this analysis."",""43"":""No"",""45"":""Weight-normalized endpoint; do not reconstruct absolute dose from group mean weight"",""46"":""Postoperative cognitive decline (MMSE Z-score ≤ -2)"",""47"":""POD1"",""48"":""Some concerns"",""49"":""Yes — selected RoB is for a different result/timepoint"",""51"":""Primary eligible contrast"",""52"":""Count this study once per synthesis unless a valid multi-arm method is used."",""53"":null,""69"":null,""70"":null,""71"":null,""72"":null,""73"":null,""74"":null,""75"":null}}","{""excel_row"":166,""cells"":{""39"":""Postoperative opioid dose (native window/unit)"",""40"":""0-24h"",""41"":""HOLD"",""42"":""Nonstandard or incomplete statistic; no inferred quantities."",""43"":""Model-specific; see V34_Secondary_Ready"",""45"":""No new imputation, digitization, median conversion or proxy MME"",""46"":null,""47"":null,""48"":""ROB2_RESULT_SPECIFIC_PENDING"",""49"":""Yes"",""51"":""Native secondary candidate / hold; see status"",""52"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""53"":""V33-OD-0166"",""69"":""HOLD"",""70"":""Nonstandard or incomplete statistic; no inferred quantities."",""71"":""ROB2_RESULT_SPECIFIC_PENDING"",""72"":""Postoperative opioid dose (native window/unit)"",""73"":""TEAS"",""74"":""Sham"",""75"":""0-24h""}}",Opioid consumption,Cumulative postoperative sufentanil consumption,0-24 h,Perioperative TEAS,Electrodes/no current,,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,Postoperative PCIA section,Postoperative PCIA section,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Nonstandard or incomplete statistic; no inferred quantities.,None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,HOLD
V34-00925,Liu 2026 (burn),,UPDATED_EXISTING,Analysis_Readiness,"{""excel_row"":167,""cells"":{""40"":""Intraoperative"",""41"":""INCLUDE — INTRAOPERATIVE"",""42"":""Valid intraoperative opioid endpoint; must remain separate from postoperative opioid consumption."",""43"":""No"",""45"":""Use median/IQR-compatible meta-analysis method; do not relabel as mean/SD"",""46"":""Intraoperative remifentanil consumption"",""47"":""Intraoperative"",""48"":""Some concerns"",""49"":""Yes — selected RoB is for a different result/timepoint"",""51"":""Primary eligible contrast"",""52"":""Count this study once per synthesis unless a valid multi-arm method is used."",""53"":null,""69"":null,""70"":null,""71"":null,""72"":null,""73"":null,""74"":null,""75"":null}}","{""excel_row"":167,""cells"":{""40"":""intraoperative"",""41"":""NARRATIVE ONLY"",""42"":""Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""43"":""Model-specific; see V34_Secondary_Ready"",""45"":""No new imputation, digitization, median conversion or proxy MME"",""46"":null,""47"":null,""48"":""ROB2_RESULT_SPECIFIC_PENDING"",""49"":""Yes"",""51"":""Native secondary candidate / hold; see status"",""52"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""53"":""V33-OD-0167"",""69"":""NARRATIVE ONLY"",""70"":""Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""71"":""ROB2_RESULT_SPECIFIC_PENDING"",""72"":""Intraoperative opioid"",""73"":""TEAS"",""74"":""Sham"",""75"":""intraoperative""}}",Intraoperative opioid,Remifentanil consumption,Intraoperative,Pre-induction TEAS,Placebo/sham TEAS,,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,Results / Figure 4,Results / Figure 4,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,NARRATIVE ONLY
V34-00926,Liu 2026 (burn),,UPDATED_EXISTING,Analysis_Readiness,"{""excel_row"":168,""cells"":{""39"":""PONV"",""40"":""POD1 / approximate 24 h"",""41"":""CONDITIONAL"",""42"":""Valid PONV result, but the postoperative observation window should be matched to the intended synthesis."",""43"":""No"",""45"":""Binary effect measure (RR preferred per protocol)"",""46"":""Intraoperative remifentanil consumption"",""47"":""Intraoperative"",""48"":""Some concerns"",""49"":""Yes — selected RoB is for a different result/timepoint"",""51"":""Primary eligible contrast"",""52"":""Count this study once per synthesis unless a valid multi-arm method is used."",""53"":null,""69"":null,""70"":null,""71"":null,""72"":null,""73"":null,""74"":null,""75"":null}}","{""excel_row"":168,""cells"":{""39"":""PONV composite"",""40"":""through pod1 / approximately 24h"",""41"":""INCLUDE"",""42"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""43"":""Model-specific; see V34_Secondary_Ready"",""45"":""No new imputation, digitization, median conversion or proxy MME"",""46"":null,""47"":null,""48"":""ROB2_RESULT_SPECIFIC_PENDING"",""49"":""Yes"",""51"":""Native secondary candidate / hold; see status"",""52"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""53"":""V33-OD-0168"",""69"":""INCLUDE"",""70"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""71"":""ROB2_RESULT_SPECIFIC_PENDING"",""72"":""PONV composite"",""73"":""TEAS"",""74"":""Sham"",""75"":""through pod1 / approximately 24h""}}",PONV,Nausea-vomiting,Through POD1 / approximately 24 h,Pre-induction TEAS,Placebo/sham TEAS,,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,Secondary postoperative outcomes,Secondary postoperative outcomes,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00927,Liu 2026 (burn),,UPDATED_EXISTING,Analysis_Readiness,"{""excel_row"":169,""cells"":{""40"":""POD1 / approximate 24 h"",""41"":""INCLUDE — BINARY RESCUE USE"",""42"":""Valid binary rescue-opioid-use endpoint, separate from continuous opioid consumption."",""43"":""No"",""45"":""Binary effect measure (RR preferred per protocol)"",""46"":""Intraoperative remifentanil consumption"",""47"":""Intraoperative"",""48"":""Some concerns"",""49"":""Yes — selected RoB is for a different result/timepoint"",""51"":""Primary eligible contrast"",""52"":""Count this study once per synthesis unless a valid multi-arm method is used."",""53"":null,""69"":null,""70"":null,""71"":null,""72"":null,""73"":null,""74"":null,""75"":null}}","{""excel_row"":169,""cells"":{""40"":""through pod1"",""41"":""INCLUDE"",""42"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""43"":""Model-specific; see V34_Secondary_Ready"",""45"":""No new imputation, digitization, median conversion or proxy MME"",""46"":null,""47"":null,""48"":""ROB2_RESULT_SPECIFIC_PENDING"",""49"":""Yes"",""51"":""Native secondary candidate / hold; see status"",""52"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""53"":""V33-OD-0169"",""69"":""INCLUDE"",""70"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""71"":""ROB2_RESULT_SPECIFIC_PENDING"",""72"":""Rescue opioid use"",""73"":""TEAS"",""74"":""Sham"",""75"":""through pod1""}}",Rescue opioid use,Any rescue dezocine use,Through POD1,Pre-induction TEAS,Placebo/sham TEAS,,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,Rescue analgesia,Rescue analgesia,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00928,Liu 2026 (burn),,UPDATED_EXISTING,Analysis_Readiness,"{""excel_row"":170,""cells"":{""39"":""Pain"",""40"":""Exact/explicit 24 h"",""41"":""DIGITIZATION NEEDED"",""42"":""Exact numeric result is not tabulated; formal graph digitization or author data is required before quantitative pooling."",""43"":""No"",""45"":""None"",""46"":""Intraoperative remifentanil consumption"",""47"":""Intraoperative"",""48"":""Some concerns"",""49"":""Yes — selected RoB is for a different result/timepoint"",""51"":""Primary eligible contrast"",""52"":""Count this study once per synthesis unless a valid multi-arm method is used."",""53"":null,""69"":null,""70"":null,""71"":null,""72"":null,""73"":null,""74"":null,""75"":null}}","{""excel_row"":170,""cells"":{""39"":""Pain — rest"",""40"":""24 h point"",""41"":""GRAPH ONLY"",""42"":""No new graph digitization; historical digitized data require their original validation before pooling."",""43"":""Model-specific; see V34_Secondary_Ready"",""45"":""No new imputation, digitization, median conversion or proxy MME"",""46"":null,""47"":null,""48"":""ROB2_RESULT_SPECIFIC_PENDING"",""49"":""Yes"",""51"":""Native secondary candidate / hold; see status"",""52"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""53"":""V33-OD-0170"",""69"":""GRAPH ONLY"",""70"":""No new graph digitization; historical digitized data require their original validation before pooling."",""71"":""ROB2_RESULT_SPECIFIC_PENDING"",""72"":""Pain — rest"",""73"":""TEAS"",""74"":""Sham"",""75"":""24 h point""}}",Pain,Resting F-VAS pain,24 h,Pre-induction TEAS,Placebo/sham TEAS,,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,Figure 5 / F3 24 h,Figure 5 / F3 24 h,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,No new graph digitization; historical digitized data require their original validation before pooling.,None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,GRAPH ONLY
V34-00929,Liu 2026 (burn),,UPDATED_EXISTING,Analysis_Readiness,"{""excel_row"":171,""cells"":{""39"":""Postoperative opioid consumption"",""40"":""Exact/explicit 24 h"",""41"":""EXCLUDE — DATA UNAVAILABLE"",""42"":""The source does not provide a defensible quantitative value for this analysis."",""43"":""No"",""45"":""Opioid/MME conversion required using prespecified review conversion"",""46"":""Intraoperative remifentanil consumption"",""47"":""Intraoperative"",""48"":""Some concerns"",""49"":""Yes — selected RoB is for a different result/timepoint"",""51"":""Primary eligible contrast"",""52"":""Count this study once per synthesis unless a valid multi-arm method is used."",""53"":null,""69"":null,""70"":null,""71"":null,""72"":null,""73"":null,""74"":null,""75"":null}}","{""excel_row"":171,""cells"":{""39"":""Postoperative opioid dose (native window/unit)"",""40"":""0-24h"",""41"":""HOLD"",""42"":""Nonstandard or incomplete statistic; no inferred quantities."",""43"":""Model-specific; see V34_Secondary_Ready"",""45"":""No new imputation, digitization, median conversion or proxy MME"",""46"":null,""47"":null,""48"":""ROB2_RESULT_SPECIFIC_PENDING"",""49"":""Yes"",""51"":""Native secondary candidate / hold; see status"",""52"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""53"":""V33-OD-0171"",""69"":""HOLD"",""70"":""Nonstandard or incomplete statistic; no inferred quantities."",""71"":""ROB2_RESULT_SPECIFIC_PENDING"",""72"":""Postoperative opioid dose (native window/unit)"",""73"":""TEAS"",""74"":""Sham"",""75"":""0-24h""}}",Opioid consumption,Complete postoperative opioid/MME exposure,0-24 h,Pre-induction TEAS,Placebo/sham TEAS,,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,Postoperative PCIA section,Postoperative PCIA section,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Nonstandard or incomplete statistic; no inferred quantities.,None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,HOLD
V34-00930,Liu 2025,,UPDATED_EXISTING,Analysis_Readiness,"{""excel_row"":172,""cells"":{""40"":""Exact/explicit 24 h"",""41"":""CONDITIONAL"",""42"":""Source-grounded but carries a QC qualification."",""43"":""No"",""45"":""Binary effect measure (RR preferred per protocol)"",""46"":""New-onset supraventricular tachycardia (SVT)"",""47"":""First 24 h"",""48"":""Some concerns"",""49"":""No — selected RoB matches this result"",""51"":""Primary eligible contrast"",""52"":""Count this study once per synthesis unless a valid multi-arm method is used."",""53"":null,""69"":null,""70"":null,""71"":null,""72"":null,""73"":null,""74"":null,""75"":null}}","{""excel_row"":172,""cells"":{""40"":""first 24h"",""41"":""INCLUDE"",""42"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""43"":""Model-specific; see V34_Secondary_Ready"",""45"":""No new imputation, digitization, median conversion or proxy MME"",""46"":null,""47"":null,""48"":""EXISTING_RESULT_SPECIFIC: Some concerns"",""49"":""No — exact existing result link"",""51"":""Native secondary candidate / hold; see status"",""52"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""53"":""V33-OD-0172"",""69"":""INCLUDE"",""70"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""71"":""EXISTING_RESULT_SPECIFIC: Some concerns"",""72"":""Cardiac rhythm"",""73"":""EA"",""74"":""Sham"",""75"":""first 24h""}}",Cardiac rhythm,New-onset supraventricular tachycardia (SVT),First 24 h,Perioperative electroacupuncture,Control/sham procedure,,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk,Primary outcome / first-24-h SVT,Primary outcome / first-24-h SVT,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,EXISTING_RESULT_SPECIFIC: Some concerns,INCLUDE
V34-00931,Liu 2025,,UPDATED_EXISTING,Analysis_Readiness,"{""excel_row"":173,""cells"":{""39"":""Sleep"",""40"":""First postoperative night"",""41"":""INCLUDE — SECONDARY"",""42"":""Source-verified outcome suitable for its matching secondary analysis."",""43"":""No"",""45"":""Use median/IQR-compatible meta-analysis method; do not relabel as mean/SD"",""46"":""New-onset supraventricular tachycardia (SVT)"",""47"":""First 24 h"",""48"":""Some concerns"",""49"":""Yes — selected RoB is for a different result/timepoint"",""51"":""Primary eligible contrast"",""52"":""Count this study once per synthesis unless a valid multi-arm method is used."",""53"":null,""69"":null,""70"":null,""71"":null,""72"":null,""73"":null,""74"":null,""75"":null}}","{""excel_row"":173,""cells"":{""39"":""Sleep quality"",""40"":""first postoperative night"",""41"":""NARRATIVE ONLY"",""42"":""Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""43"":""Model-specific; see V34_Secondary_Ready"",""45"":""No new imputation, digitization, median conversion or proxy MME"",""46"":null,""47"":null,""48"":""ROB2_RESULT_SPECIFIC_PENDING"",""49"":""Yes"",""51"":""Native secondary candidate / hold; see status"",""52"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""53"":""V33-OD-0173"",""69"":""NARRATIVE ONLY"",""70"":""Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""71"":""ROB2_RESULT_SPECIFIC_PENDING"",""72"":""Sleep quality"",""73"":""EA"",""74"":""Sham"",""75"":""first postoperative night""}}",Sleep quality,Total sleep time measured by ambulatory sleep recorder,First postoperative night,Perioperative electroacupuncture,Control/sham procedure,,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk,Objective sleep monitoring / first night,Objective sleep monitoring / first night,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,NARRATIVE ONLY
V34-00932,Liu 2025,,UPDATED_EXISTING,Analysis_Readiness,"{""excel_row"":174,""cells"":{""39"":""Pain"",""40"":""Exact/explicit 24 h"",""41"":""DIGITIZATION NEEDED"",""42"":""Exact numeric result is not tabulated; formal graph digitization or author data is required before quantitative pooling."",""43"":""No"",""45"":""None"",""46"":""New-onset supraventricular tachycardia (SVT)"",""47"":""First 24 h"",""48"":""Some concerns"",""49"":""Yes — selected RoB is for a different result/timepoint"",""51"":""Primary eligible contrast"",""52"":""Count this study once per synthesis unless a valid multi-arm method is used."",""53"":null,""69"":null,""70"":null,""71"":null,""72"":null,""73"":null,""74"":null,""75"":null}}","{""excel_row"":174,""cells"":{""39"":""Pain — unspecified context"",""40"":""24 h point"",""41"":""GRAPH ONLY"",""42"":""No new graph digitization; historical digitized data require their original validation before pooling."",""43"":""Model-specific; see V34_Secondary_Ready"",""45"":""No new imputation, digitization, median conversion or proxy MME"",""46"":null,""47"":null,""48"":""ROB2_RESULT_SPECIFIC_PENDING"",""49"":""Yes"",""51"":""Native secondary candidate / hold; see status"",""52"":""One independent contrast per study per compatible model; preserve multi-arm/stratum dependencies."",""53"":""V33-OD-0174"",""69"":""GRAPH ONLY"",""70"":""No new graph digitization; historical digitized data require their original validation before pooling."",""71"":""ROB2_RESULT_SPECIFIC_PENDING"",""72"":""Pain — unspecified context"",""73"":""EA"",""74"":""Sham"",""75"":""24 h point""}}",Pain,VAS pain intensity,24 h,Perioperative electroacupuncture,Control/sham procedure,,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk,Figure 2 / 24-h pain,Figure 2 / 24-h pain,Rebuild current source/derived view; original v33 worksheet retained in frozen input. Coordinate-keyed cell delta.,No new graph digitization; historical digitized data require their original validation before pooling.,None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,GRAPH ONLY
