screening_sequence,covidence_number,title,first_author,publication_year,DOI,trial_registration,decision,primary_exclusion_reason,definitive_exclusion,needs_human_review,uncertainty_reason,record_type,participant_results_reported,randomized,randomization_method,adult_population,sample_size_randomized,sample_size_analysed,country,surgery_type,operative_surgery,general_anaesthesia,anaesthesia_description,modality,intervention_description,acupuncture_points,stimulation_frequency,stimulation_intensity,stimulation_duration,electrical_stimulation_confirmed,therapeutic_stimulation,first_treatment_timing,timing_eligible,number_of_sessions,comparator,background_care_balanced,intervention_effect_separable,clinical_outcomes,opioid_outcome_reported,opioid_24h_reported,pain_reported,PONV_reported,adverse_events_reported,possible_companion_report,companion_identifiers,evidence_pages,evidence_summary,pdf_accessible,vote_registered,post_vote_timestamp,interface_issue,notes
78,433,Effects of Transcutaneous Electrical Acupoint Stimulation (TEAS) on Postoperative Recovery in Patients with Gastric Cancer: A Randomized Controlled Trial.,"Zhou, Xin",2021,10.2147/CMAR.S292325,ChiCTR1900022692,INCLUDE,not_applicable,no,yes,"UNCERTAIN_TIMING: the first treatment was at 08:00 on postoperative day 1, but the report does not establish whether this was within or beyond 24 hours of surgery.",primary unblinded randomized participant-results report,yes,yes,SPSS-generated random-number table allocated eligible patients 1:1 to TEAS or control.,yes; ages 18-75,,,,Laparoscopic or robotic radical gastrectomy for gastric cancer,yes,yes,Eligibility required epidural-assisted general anaesthesia; the same anaesthesia team and ERAS protocol were used across groups.,TEAS,"Surface-pad TEAS at LI4, PC6, BL21, BL27, ST36 and ST37 with an SDZ-II device at alternating 20/100 Hz for 30 minutes twice daily on postoperative days 1-3.","LI4, PC6, BL21, BL27, ST36 and ST37",,,,yes,yes,08:00 on postoperative day 1,uncertain,,Same ERAS pathway without TEAS,yes,yes,"Pain through POD5, opioid and NSAID consumption, PONV, flatus/defecation, complications and length of stay",yes,"POD1 opioid-use data reported, not a clearly bounded 24-hour total",yes,yes,yes; no TEAS adverse event reported,yes,ChiCTR1900022692; PMCID PMC7886100; exact duplicate citation appears as Covidence #1141,"[""PMC full text, Trial Design, Participants and Randomization: adult radical-gastrectomy patients were randomized by SPSS random-number table; epidural-assisted general anaesthesia was required and a common ERAS pathway was used."",""PMC full text, Intervention and Devices: surface-pad TEAS at LI4/PC6/BL21/BL27/ST36/ST37, alternating 20/100 Hz, began at 08:00 on POD1 and continued twice daily through POD3; no-TEAS control."",""PMC full text, Outcomes and Results Tables 3-4: pain through POD5, opioid use, nausea, bowel recovery, complications and length of stay were reported by randomized group.""]",Randomized adult gastrectomy trial under general anaesthesia with separable therapeutic TEAS and eligible clinical outcomes; retained and flagged because POD1 treatment timing does not resolve the <=24-hour threshold.,yes; complete PMC full-text HTML readable in Chrome,yes,2026-08-09T16:52:41+02:00,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_TIMING. Exact duplicate #1141 should not be screened independently.
79,539,Transcutaneous Electrical Acupoint Stimulation Improves Immunological Function During the Perioperative Period in Patients With Non-Small Cell Lung Cancer Undergoing Video-Assisted Thoracic Surgical Lobectomy.,"Tu, Qing",2018,10.1177/1533033818806477,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,"Central clinical-research randomization in a 1:1 ratio, stratified by admission time in blocks of 10, with an independent statistician.",yes; >18 years,,,,Video-assisted thoracic surgical lobectomy for non-small-cell lung cancer,yes,yes,"Midazolam/fentanyl/etomidate/rocuronium induction, double-lumen intubation, propofol/remifentanil maintenance under BIS 40-50 and controlled ventilation.",TEAS,"Surface-electrode TEAS at bilateral BL13, LI4 and ST36 using HANS LH-202, alternating 2/100 Hz at 5-30 mA from 30 minutes before induction continuously through surgery.","Bilateral BL13, LI4 and ST36",,,,yes,yes,30 minutes before anaesthesia induction,yes,,Electrodes at the same acupoints with no electrical stimulation,yes,yes,"Intraoperative remifentanil/propofol consumption, PONV in PACU, hypoxemia, postoperative complications and hospital stay",yes; intraoperative fentanyl and remifentanil,no,"discharge pain criterion reported, not a comparative pain endpoint",yes,yes,no,PMCID PMC6259054,"[""PMC full text, Participants and allocation paragraphs: 144 adult VATS-lobectomy patients were centrally randomized 1:1 with independent-statistician allocation."",""PMC full text, Study Design: therapeutic BL13/LI4/ST36 TEAS at 2/100 Hz and 5-30 mA began 30 minutes before induction and continued through surgery; sham electrodes delivered no current; detailed general anaesthesia is reported."",""PMC full text, Measurements and Results: remifentanil/propofol use, PONV, hypoxemia, postoperative complications and length of stay were reported by randomized group.""]","Eligible randomized adult VATS-lobectomy trial under explicit general anaesthesia with pre-induction therapeutic TEAS, inactive-electrode sham and clinical perioperative medication, adverse-event and recovery outcomes.",yes; complete PMC full-text HTML readable in Chrome,yes,2026-08-09T16:53:35+02:00,none,
80,765,The Effect of Acupuncture on Relieving Pain after Inguinal Surgeries.,"Taghavi, Rahim",2013,10.3344/kjp.2013.26.1.46,not reported,INCLUDE,not_applicable,no,yes,OTHER_SPECIFIED_UNCERTAINTY: the enrolled population ranged from age 12 to 55 and adult results were not separately extractable; the protocol directs retention and human review for mixed adult/pediatric samples.,primary prospective randomized participant-results report,yes,yes,Ninety patients were randomly divided equally between true electroacupuncture and control groups.,"mixed adult/pediatric; ages 12-55, adult subgroup not separately extractable",,,,Inguinal surgeries,yes,yes,"All participants received the same general anaesthesia with fentanyl, thiopental, atracurium and propofol maintenance.",EA,"Inserted needles at LI4, ST36 and peri-incisional points connected to an SDZ V stimulator, intermittent 2 Hz at 2-5 mA, 30 minutes before surgery and again 1 and 2 hours postoperatively.","LI4, ST36 and defined peri-incisional points",,,,yes,yes,30 minutes before surgery,yes,,Needles placed identically without electrical stimulation,yes,yes,"Pain VAS through 6 hours, time to rescue analgesia, PCA opioid use and opioid-related nausea, vomiting, dizziness and pruritus",yes,6-hour PCA opioid outcomes reported,yes,yes,yes; opioid-related adverse effects,yes,PMCID PMC3546210; exact duplicate citation appears as Covidence #1556,"[""PMC full text, Materials and Methods: prospective randomized double-blind placebo-controlled study of 90 inguinal-surgery patients; common general anaesthesia regimen is explicit."",""PMC full text, Materials and Methods: needles at LI4/ST36/peri-incisional points delivered 2 Hz, 2-5 mA EA beginning 30 minutes preoperatively; control needles received no current."",""PMC full text, Results and Table 1/Figure 1: pain scores, rescue timing, six-hour PCA opioid consumption and opioid-related adverse effects were reported by randomized group; ages ranged 12-55.""]","Randomized inguinal-surgery EA trial under explicit general anaesthesia with eligible preoperative electrical needle stimulation, inactive-current control and pain/opioid outcomes; retained and flagged because mixed adult/pediatric results are not separable.",yes; complete PMC full-text HTML readable in Chrome,yes,2026-08-09T16:54:31+02:00,none,NEEDS_HUMAN_REVIEW - mixed adult/pediatric population. Exact duplicate #1556 should not be screened independently.
81,812,Needle-Free Electroacupuncture for Postoperative Pain Management.,"Lee, Daniel",2011,10.1155/2011/696754,not reported,INCLUDE,not_applicable,no,yes,OTHER_SPECIFIED_UNCERTAINTY: participants ranged from age 14 to 59 and adult results were not separately extractable; the protocol directs retention and human review for mixed adult/pediatric samples.,primary randomized participant-results report,yes,yes,Random-number table assigned hysterectomy patients to four blinded groups.,"mixed adult/pediatric; ages 14-59, adult subgroup not separately extractable",,,,Hysterectomy,yes,yes,All participants received propofol/atracurium induction and sevoflurane with nitrous oxide/oxygen general anaesthesia.,TEAS (called needle-free electroacupuncture),"Silver Spike Point surface-electrode stimulation at ST36, either continuous 100 Hz or dense-sparse 3/10/20 Hz, for 30 minutes before GA and once after regaining consciousness.",ST36; sham point near ST36,,,,yes,yes,30 minutes before general anaesthesia,yes,,No stimulation and sham surface electrodes at a nearby non-acupoint,yes; all groups received PCA,yes,"Pain VAS, time to first morphine, 24-hour PCA demand/delivery, ambulation, bowel movement and treatment side effects",yes,yes,yes,not a reported comparative endpoint,yes,no,PMCID PMC3118999,"[""PMC full text, Methodology section 2.1: hysterectomy patients under explicit general anaesthesia were randomized by random-number table to four blinded groups."",""PMC full text, Table 1 and Methodology: therapeutic SSP surface electrical stimulation at ST36 began 30 minutes before GA and was repeated after recovery; no-stimulation and sham-site controls were independently separable."",""PMC full text, Results sections 3.3-3.6 and Tables 5-8: 24-hour pain and PCA demand/dose outcomes were reported by group; Table 2 shows ages 14-59.""]","Randomized hysterectomy trial under explicit general anaesthesia with eligible preoperative therapeutic surface electrical acupoint stimulation, separable controls and 24-hour pain/opioid outcomes; retained and flagged because mixed adult/pediatric results are not separable.",yes; complete PMC full-text HTML readable in Chrome,yes,2026-08-09T16:55:40+02:00,none,NEEDS_HUMAN_REVIEW - mixed adult/pediatric population.
82,276,Electroacupuncture for Pain Relief After Endoscopic Sinus Surgery: A Randomized Controlled Trial.,"Yue, Hongyu",2023,10.1016/j.jpain.2023.06.010,ChiCTR1900024183,INCLUDE,not_applicable,no,no,,primary randomized assessor-blinded participant-results report,yes,yes,"SAS-generated 1:1 randomization with opaque-envelope allocation, stratified by acupuncture-treatment history.",yes; ages 18-60,,,,Endoscopic sinus surgery,yes,yes,"Full report specifies general anaesthesia with midazolam, sufentanil, etomidate and cisatracurium induction, propofol/sufentanil maintenance and endotracheal intubation.",EA,"Inserted-needle EA at HT7, GV20, GV29, GV23 and bilateral ST36, LI4 and PC6 using HANS-200B, alternating 2/100 Hz at 0.1-2 mA for five 30-minute sessions beginning preoperatively.","HT7, GV20, GV29, GV23; bilateral ST36, LI4 and PC6",,,,yes,yes,Evening before surgery; another session 2 hours preoperatively,yes,,Nonpenetrating sham needles 3 cm adjacent to real points with an illuminated but current-free device,yes,yes,"Postoperative pain NRS through POD6, recovery time from anaesthesia, QoR-15, sleep, night wakings and adverse events",perioperative sufentanil regimen reported; no postoperative opioid endpoint central,no,yes,not central,yes; no severe adverse events,no,ChiCTR1900024183,"[""PDF p.2 / journal p.2015, Methods: adults aged 18-60 undergoing ESS under general anaesthesia were randomized 1:1 by SAS sequence with opaque envelopes."",""PDF p.3 / journal p.2016, Study Intervention: inserted-needle EA at defined acupoints with alternating 2/100 Hz current began the night before surgery and was repeated 2 hours before and after surgery; sham needles delivered no current."",""PDF pp.1,3-6 / journal pp.2014,2016-2019, Abstract, Outcome Measurement and Results: postoperative pain, recovery time, QoR-15, sleep and adverse-event outcomes were reported by randomized group.""]","Eligible randomized adult ESS trial under explicit general anaesthesia with therapeutic preoperative inserted-needle EA, inactive-current sham and clinical postoperative pain/recovery outcomes.",yes; complete ten-page open-access publisher PDF readable in Chrome,yes,2026-08-09T16:58:49+02:00,none,
83,326,Efficacy of electroacupuncture combined with intravenous patient-controlled analgesia after cesarean delivery: a randomized clinical trial.,"Jin, Ying",2023,10.1016/j.ajogmf.2022.100826,not reported,INCLUDE,not_applicable,no,yes,UNCERTAIN_GENERAL_ANAESTHESIA: the full report describes cesarean delivery and postoperative PCIA but does not positively state the intraoperative anaesthesia type or provide a GA airway/regimen; GA cannot be inferred from surgery type.,primary randomized single-blinded participant-results report,yes,yes,Four-hour strata after cesarean delivery used sealed-envelope randomization in a 1:1:1 ratio.,"yes; adult women, mean age about 31 years",,,,Cesarean delivery,yes,uncertain,The readable full report does not state the cesarean anaesthesia technique; postoperative intravenous fentanyl PCIA is detailed but does not establish GA.,EA,"Inserted-needle EA at bilateral ST36 and SP6, either continuous 2 Hz or alternating 20/100 Hz, for 25 minutes at 6, 12, 24 and 48 hours after surgery.",Bilateral ST36 and SP6,,,,yes,yes,6 hours after surgery,yes,,"Sham needles 20 mm from ST36/SP6 at <3 mm depth with no skin penetration, electricity or de qi",yes; all groups received fentanyl PCIA,yes,"Pain scores, PCIA pump compressions, fentanyl consumption through 48 hours, time to first exhaust and adverse events",yes,yes,yes,adverse events captured but PONV not highlighted,yes,no,not reported,"[""PDF p.2 / journal p.2, Materials and Methods: adult cesarean patients were randomized by sealed envelopes to 2-Hz EA, 20/100-Hz EA or sham; the page does not state intraoperative anaesthesia type."",""PDF p.2 / journal p.2, Interventions: bilateral ST36/SP6 inserted-needle EA began 6 hours postoperatively and was repeated through 48 hours; sham needles delivered no current or skin penetration; all groups had identical PCIA."",""PDF pp.1,3-6 / journal pp.1,3-6, Abstract and Results: pain, PCIA activations, fentanyl consumption, recovery and adverse-event outcomes were reported by randomized group.""]","Randomized adult cesarean EA trial with eligible <=24-hour timing, separable sham and pain/opioid outcomes; retained and flagged because the full report does not establish whether general anaesthesia was used.",yes; complete nine-page open-access publisher PDF readable in Chrome,yes,2026-08-09T17:00:26+02:00,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA.
84,1920,Effect of electroacupuncture stimulation combined with the enhanced recovery after surgery regimen on motor function recovery following total knee arthroplasty.,"Ma, Shiqiang",2025,10.1186/s12984-025-01693-x,not reported,EXCLUDE,EXCLUDE_INSEPARABLE_INTERVENTION,yes,no,,primary randomized participant-results report,yes,yes,Third-party SPSS random-number table with sealed group assignments.,yes; ages 59-85,,,,Primary total knee arthroplasty,yes,not assessed after definitive separability exclusion,Not required after the first definite exclusion criterion was established.,EA,"Postoperative inserted-needle EA plus an advanced ERAS programme, analgesic coordination and earlier/more intensive rehabilitation.","LI4, ST36, LR3, KI3, SP9 and GB34 on the operative side",,,,yes,yes,3-6 hours after surgery,yes,,Conventional programme with routine analgesia and rehabilitation beginning on postoperative day 2,no; advanced ERAS measures and rehabilitation differed between groups,no,"Pain, 72-hour morphine equivalent, knee scores, range of motion, hospital stay and complications",yes,no; 72-hour morphine equivalent,yes,not central,yes,no,not reported,"[""Publisher full-text HTML, Introduction immediately before Study participants: the study group received EA plus an advanced ERAS regimen including measures such as tranexamic acid, whereas control received standard care lacking those advanced measures."",""Publisher full-text HTML, Perioperative rehabilitation: control began standard exercises on postoperative day 2 with routine analgesia; study participants began broader early rehabilitation and received EA coordinated with analgesics/exercise starting 3-6 hours after surgery."",""Publisher full-text HTML, Abstract and Results: clinical outcomes were compared only between these multi-component programmes, so no independently separable EA effect exists.""]","Definite separability exclusion: EA was bundled with an advanced ERAS and earlier rehabilitation programme, while control received conventional care; multiple components differed and the EA effect cannot be isolated.",yes; complete open-access Springer full-text HTML and Covidence-uploaded PDF available,yes,2026-08-09T17:01:47+02:00,Covidence exclusion label 'Wrong intervention' was used for the authoritative private code EXCLUDE_INSEPARABLE_INTERVENTION.,Review stopped after direct inseparability evidence was established.
85,3715,TRANSCUTANEOUS ELECTRICAL ACUSTIMULATION ENHANCES POSTOPERATIVE RECOVERY AFTER OPEN APPENDECTOMY.,"Xiao, Y.",2018,10.1016/S0016-5085(18)32615-5,not reported,INCLUDE,not_applicable,no,yes,"UNCERTAIN_GENERAL_ANAESTHESIA; OTHER_SPECIFIED_UNCERTAINTY: this results-bearing conference report does not state anaesthesia type or participant ages, so adult-only enrollment and GA remain unresolved.",results-bearing randomized conference report,yes,yes,"Forty-five appendectomy patients were stated to be randomized to TEA, perioperative-only TEA or sham TEA.",uncertain; ages not reported in the conference report,,,,Open appendectomy,yes,uncertain,Anaesthesia type is not reported; GA was not inferred from appendectomy alone.,TEAS (described as needleless transcutaneous electrical acustimulation),Intraoperative TEA from start to finish plus daily one-hour bilateral ST36 stimulation on POD1-POD3; a perioperative-only arm and non-acupoint sham were included.,Bilateral ST36,,,,yes,yes,"Intraoperative, from start to finish",yes,,Same electrical stimulation at non-acupoints; an intraoperative-only TEA arm was also separable,not described in detail,yes; randomized arms differ in TEA timing/site,"Time to first flatus and defecation, ambulation, diet resumption, hospital stay and pain VAS POD1-POD3",no,no,yes,no,not reported,no,not reported,"[""Covidence conference-report abstract, Methods: 45 open-appendectomy patients were randomized to three TEA/sham arms; intraoperative and POD1-POD3 bilateral ST36 treatment schedules are stated."",""Covidence conference-report abstract, Results: flatus, defecation and autonomic results are reported numerically by randomized group."",""Covidence conference-report abstract, Methods/Results: ambulation, diet, hospital stay and POD1-POD3 pain were prespecified clinical outcomes; participant ages and anaesthesia type are not reported.""]","Results-bearing randomized conference report with operative surgery, therapeutic needleless ST36 stimulation beginning intraoperatively, separable sham and clinical recovery outcomes; retained and flagged because adult-only enrollment and general anaesthesia are unresolved.","yes; the complete results-bearing conference report is the Covidence abstract, with an Open Access library route also displayed",yes,2026-08-09T17:03:05+02:00,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and unreported adult-only population.
86,3157,EFFECTS AND MECHANISMS OF TRANSCUTANEOUS ELECTRICAL ACUSTIMULATION ON POSTOPERATIVE RECOVERY AFTER THORACOLUMBER VERTEBRAL FRACTURE.,"Kang, Y.",2023,10.1016/S0016-5085(23)01142-3,not reported,INCLUDE,not_applicable,no,yes,"UNCERTAIN_GENERAL_ANAESTHESIA; OTHER_SPECIFIED_UNCERTAINTY: this results-bearing conference report does not state anaesthesia type or participant ages, leaving adult-only enrollment and GA unresolved.",results-bearing randomized conference report,yes,yes,Eighty-one thoracolumbar-fracture patients were stated to be randomized to TEA or sham TEA.,uncertain; ages not reported in the conference report,,,,Elective posterior pedicle screw fixation for thoracolumbar vertebral fracture,yes,uncertain,Anaesthesia type is not reported; GA was not inferred from surgery type alone.,TEAS (described as non-invasive transcutaneous electrical acustimulation),One-hour ST36 surface electrical stimulation twice daily from 24 hours before surgery through POD3.,ST36,,,,yes,yes,24 hours before surgery,yes,,Sham TEA at non-acupoints,not described in detail,yes,"Time to defecation and flatus, stool score, bowel movements, GI symptoms and postoperative wound pain",no,no,yes,no,not reported,no,not reported,"[""Covidence conference-report abstract, Materials and Methods: 81 posterior-pedicle-fixation patients were randomized to ST36 TEA or non-acupoint sham; treatment began 24 hours preoperatively and continued through POD3."",""Covidence conference-report abstract, Results: flatus, defecation, bowel symptoms and wound-pain results are reported by randomized group with effect estimates and P values."",""Covidence conference-report abstract: participant ages and anaesthesia type are not reported.""]","Results-bearing randomized surgical conference report with therapeutic ST36 stimulation beginning preoperatively, non-acupoint sham and clinical bowel-recovery/pain outcomes; retained and flagged because adult-only enrollment and general anaesthesia are unresolved.","yes; the complete results-bearing conference report is the Covidence abstract, with an Open Access library route also displayed",yes,2026-08-09T17:03:58+02:00,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and unreported adult-only population.
87,3795,Needleless transcutaneous electrical acustimulation accelerates post-surgical recovery mediated via autonomic mechanisms in patients with gastrointestinal cancers.,"Zhang, B.",2017,not reported,not reported,INCLUDE,not_applicable,no,yes,UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING: anaesthesia type is not stated and the first TEA session was on postoperative day 1 without a clock time.,results-bearing randomized conference report,yes,yes,Thirty-two adults were stated to be randomized equally to TEA or sham TEA.,yes; mean age 65.4 years,,,,Major abdominal surgery for gastrointestinal cancers,yes,uncertain,Anaesthesia type is not reported; GA was not inferred from abdominal surgery alone.,TEAS (described as needleless transcutaneous electroacupuncture),One-hour surface electrical stimulation at ST36 and PC6 twice daily on postoperative days 1-3.,ST36 and PC6,,,,yes,yes,"Postoperative day 1, exact clock time unreported",uncertain,,Identical stimulation protocol at non-acupoints,not described in detail,yes,"Time to defecation, flatus, ambulation, diet resumption, hospital stay and postoperative pain",no,no,yes,no,not reported,yes,Possible related pilot/full reports Covidence #3690 and #556; 32 gastrointestinal-cancer surgery patients,"[""Covidence conference-report abstract, Methods: 32 adults undergoing major GI-cancer surgery were randomized to ST36/PC6 TEA or non-acupoint sham, beginning POD1."",""Covidence conference-report abstract, Results: flatus, defecation, diet, hospital stay and pain outcomes are reported numerically by randomized group."",""Covidence conference-report abstract: anaesthesia type and exact POD1 treatment clock time are not reported.""]","Results-bearing randomized adult surgical conference report with therapeutic ST36/PC6 electrical acustimulation, non-acupoint sham and clinical recovery/pain outcomes; retained and flagged because GA and <=24-hour POD1 timing are unresolved.",yes; the complete results-bearing conference report is the Covidence abstract,yes,2026-08-09T17:04:45+02:00,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and UNCERTAIN_TIMING; possible companion publication.
88,3690,Needleless transcutaneous electrical acustimulation: A pilot study evaluating improvement in post-operative recovery.,"Zhang, B.",2018,10.1111/1751-2980.12664,not reported,INCLUDE,not_applicable,no,yes,UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING: anaesthesia type is not stated and the first TEA session was on postoperative day 1 without a clock time.,results-bearing randomized conference report,yes,yes,Forty-two adults were stated to be randomized equally to TEA or sham TEA.,yes; mean age 69.5 years,,,,Abdominal surgical removal of gastrointestinal cancers,yes,uncertain,Anaesthesia type is not reported; GA was not inferred from surgery type alone.,TEAS (described as needleless transcutaneous electrical acustimulation),One-hour ST36 and PC6 surface electrical stimulation twice daily on postoperative days 1-3.,ST36 and PC6,,,,yes,yes,"Postoperative day 1, exact clock time unreported",uncertain,,Sham TEA at non-acupoints,not described in detail,yes,"Time to defecation, flatus, ambulation, diet resumption, hospital stay and pain",no,no,yes,no,not reported,yes,Possible related reports Covidence #3795 and #556; 42 gastrointestinal-cancer surgery patients,"[""Covidence conference-report abstract, Methods: 42 adults undergoing GI-cancer resection were randomized to ST36/PC6 TEA or non-acupoint sham, beginning POD1."",""Covidence conference-report abstract, Results: defecation, flatus, ambulation, diet, hospital stay and pain effects are reported numerically by group."",""Covidence conference-report abstract: anaesthesia type and exact POD1 treatment clock time are not reported.""]","Results-bearing randomized adult surgical conference report with therapeutic ST36/PC6 electrical acustimulation, non-acupoint sham and clinical recovery/pain outcomes; retained and flagged because GA and <=24-hour POD1 timing are unresolved.",yes; the complete results-bearing conference report is the Covidence abstract,yes,2026-08-09T17:05:36+02:00,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and UNCERTAIN_TIMING; possible companion publication.
89,3984,Transcutaneous Electrical Acupoint Stimulation Decreases Remifentanil Consumption and Postoperative Pain in Patients Undergoing Radical Mastectomy: Dual Acupoints Versus Single Acupoint in a Prospective Randomized Controlled Trial.,not reported,2014,not reported,ClinicalTrials.gov record; identifier not displayed in the Covidence citation,EXCLUDE,EXCLUDE_TRIAL_REGISTRATION,yes,no,,trial registration without participant results,no,planned prospective randomized trial,not applicable to a results-free registry record,not assessed after definitive publication-type exclusion,,,,Planned radical mastectomy,planned only,not assessed after definitive publication-type exclusion,Not required after the first definite exclusion criterion was established.,planned TEAS,Registry title/summary describes planned single- versus dual-acupoint TEAS.,not reported in the displayed registry summary,,,,planned,planned,not assessed,not assessed,,planned trial arms only,not assessed,not assessed,Remifentanil consumption and postoperative pain were planned aims; no participant outcome results are reported,planned only,planned only,planned only,no results,no results,no,not reported,"[""Covidence registry record, source line: publication source is clinicaltrials.gov (2014), not a participant-results publication."",""Covidence registry record, Brief Summary: wording states that the purpose is to evaluate planned TEAS effects; no enrollment flow, analyzed participants or results are present.""]",Definite trial-registration exclusion: this is a ClinicalTrials.gov record describing the purpose of a planned study and contains no participant results.,yes; complete displayed registry report and brief summary readable in Covidence,yes,2026-08-09T17:06:21+02:00,Covidence exclusion label 'Wrong study design' was used for the authoritative private code EXCLUDE_TRIAL_REGISTRATION.,Review stopped after direct registry/no-results evidence was established.
90,3737,The Effects of Two Different Electrical Stimulation Methods on the Pain Intensity of the Patients Who Had Undergone Abdominal Surgery With a Midline Incision: Randomized Controlled Clinical Trial.,not reported,2018,not reported,ClinicalTrials.gov record; identifier not displayed in the Covidence citation,EXCLUDE,EXCLUDE_TRIAL_REGISTRATION,yes,no,,trial registration without participant outcome results,no,planned/reported randomized allocation in registry description,"Registry description states that 48 participants were randomized across TENS, TAES and control groups.",not assessed after definitive publication-type exclusion,,,,Abdominal surgery with midline incision for gastric or colorectal cancer,described in registry only,not assessed after definitive publication-type exclusion,Not required after the first definite exclusion criterion was established.,planned TAES and non-acupoint TENS arms,"Registry description lists postoperative TAES at ST25, PC6, ST36 and LI4 at six time points through 45 hours.","ST25, PC6, ST36 and LI4",,,,planned/reported in registry description,planned,30 minutes after surgery in registry description,planned yes,,TENS around incision and no-stimulation control,not assessable from registry record,planned multi-arm comparison only,"Pain and analgesic consumption were assessed/planned, but no numerical or comparative participant results are reported",planned/assessed only; no results,no results,planned/assessed only; no results,no results,no results,no,not reported,"[""Covidence registry record, source line: publication source is clinicaltrials.gov (2018)."",""Covidence registry record, Brief Summary and Detailed Description: purpose, sample, arms, stimulation schedule and outcomes are described, but there are no participant outcome values, between-group effects or results section.""]",Definite trial-registration exclusion: the ClinicalTrials.gov record describes design and assessed outcomes but contains no actual participant outcome results.,yes; complete displayed registry report and detailed description readable in Covidence,yes,2026-08-09T17:07:06+02:00,Covidence exclusion label 'Wrong study design' was used for the authoritative private code EXCLUDE_TRIAL_REGISTRATION.,Review stopped after direct registry/no-results evidence was established.
91,2726,Clinical Study on Transcutaneous Electrical Acupoint Stimulation (TEAS) for the Prevention and Treatment of Perioperative Sleep Disturbances in Cancer Patients.,not reported,2026,not reported,ClinicalTrials.gov record; identifier not displayed in the Covidence citation,EXCLUDE,EXCLUDE_TRIAL_REGISTRATION,yes,no,,trial registration without participant results,no,planned randomized trial,Planned 1:1 sealed opaque-envelope randomization.,planned adults ages 18-75,,,,Planned gastrointestinal or gynecologic cancer resection,planned only,planned yes,Registry states planned elective cancer resection under general anaesthesia.,planned TEAS,Planned HT7/PC6/LI4 surface electrical stimulation from pre-anaesthesia through surgery.,"HT7, PC6 and LI4",,,,planned,planned,planned pre-anaesthesia,planned yes,,Planned identical electrodes without electrical output,planned standardized anaesthesia and analgesia,planned yes,"Sleep scales, pain, QoR-15 and cortisol are planned; no participant results",no results,no results,planned only,no results,no results,no,not reported,"[""Covidence registry record, source line: publication source is clinicaltrials.gov (2026)."",""Covidence registry record, Brief Summary and Detailed Description: repeated future-tense wording states that 176 patients 'will be enrolled' and lists planned interventions and outcomes; no participant flow or results are reported.""]",Definite trial-registration exclusion: the ClinicalTrials.gov record describes a future planned trial and contains no participant results.,yes; complete displayed registry report and detailed description readable in Covidence,yes,2026-08-09T17:08:19+02:00,Covidence exclusion label 'Wrong study design' was used for the authoritative private code EXCLUDE_TRIAL_REGISTRATION.,Review stopped after direct registry/no-results evidence was established.
92,2754,Electroacupuncture Combined With 5-HT3 Receptor Inhibitor for the Prevention of Postoperative Nausea and Vomiting in High-risk Patients Undergoing Thoracoscopic Surgery for Lung Cancer.,not reported,2026,not reported,ClinicalTrials.gov record; identifier not displayed in the Covidence citation,EXCLUDE,EXCLUDE_TRIAL_REGISTRATION,yes,no,,trial registration without participant results,no,planned randomized trial,Planned prospective randomized sham-controlled blinded allocation.,planned high-risk thoracic-surgery patients,,,,Planned VATS lung resection for lung cancer,planned only,not assessed after definitive publication-type exclusion,Not required after the first definite exclusion criterion was established.,planned EA,Planned two perioperative EA or sham-EA sessions with shared dolasetron and dexamethasone prophylaxis.,not reported in displayed registry summary,,,,planned,planned,planned perioperative period,planned but not analyzed,,Planned sham EA with shared antiemetics,planned yes,planned yes,"PONV through 48 hours, rescue antiemetics, opioid intensity, bowel recovery, hospital stay and adverse events are planned; no results",planned only,planned only,no results,planned only,planned only,no,not reported,"[""Covidence registry record, source line: publication source is clinicaltrials.gov (2026)."",""Covidence registry record, Brief Summary and Detailed Description: future-tense wording states the study 'aims to evaluate,' 'is designed to enroll,' patients 'will be randomly assigned' and outcomes 'will be' measured; no participant results are present.""]",Definite trial-registration exclusion: the ClinicalTrials.gov record describes a planned randomized trial and contains no participant results.,yes; complete displayed registry report and detailed description readable in Covidence,yes,2026-08-09T17:09:04+02:00,Covidence exclusion label 'Wrong study design' was used for the authoritative private code EXCLUDE_TRIAL_REGISTRATION.,Review stopped after direct registry/no-results evidence was established.
